,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.1425,0.16,0.1503,0.155,32315624
1,2021-12-19,0.14721,0.15623,0.155,0.15042,21633817
2,2021-12-18,0.154,0.16249,0.15597,0.155,17555222
3,2021-12-17,0.1542,0.17895,0.16556,0.15626,32980187
4,2021-12-16,0.16411,0.18363,0.17812,0.16505,41780175
5,2021-12-15,0.15654,0.22395,0.16615,0.17811,185379047
6,2021-12-14,0.13598,0.19,0.13599,0.16594,106932068
7,2021-12-13,0.13263,0.15593,0.15566,0.13599,33225752
8,2021-12-12,0.15213,0.16171,0.15621,0.15565,25383869
9,2021-12-11,0.15327,0.16129,0.15697,0.1562,20751635
10,2021-12-10,0.15482,0.17188,0.16584,0.157,37990845
11,2021-12-09,0.16,0.18229,0.17806,0.16584,33437263
12,2021-12-08,0.1712,0.188,0.17721,0.17848,21137741
13,2021-12-07,0.17483,0.18781,0.18492,0.17722,23984784
14,2021-12-06,0.16608,0.19241,0.17863,0.18491,42083386
15,2021-12-05,0.17436,0.19006,0.18961,0.17853,30350537
16,2021-12-04,0.1666,0.21,0.20776,0.18937,74960538
17,2021-12-03,0.20515,0.24752,0.21731,0.2075,105212223
18,2021-12-02,0.20181,0.28801,0.22987,0.21731,282678774
19,2021-12-01,0.19129,0.235,0.19442,0.2296,83799269
20,2021-11-30,0.188,0.20681,0.2,0.19441,42576574
21,2021-11-29,0.19817,0.21326,0.20401,0.20001,36010501
22,2021-11-28,0.19406,0.23124,0.20056,0.20428,72653378
23,2021-11-27,0.19275,0.2358,0.19612,0.20014,76524867
24,2021-11-26,0.18498,0.2225,0.21685,0.19584,60637517
25,2021-11-25,0.19237,0.238,0.20551,0.21678,93343793
26,2021-11-24,0.19501,0.2264,0.22604,0.20509,76233477
27,2021-11-23,0.2205,0.24,0.23,0.22624,65213005
28,2021-11-22,0.22603,0.24999,0.24975,0.22965,61230521
29,2021-11-21,0.22956,0.26627,0.2543,0.24926,82736798
30,2021-11-20,0.24234,0.28,0.24243,0.2543,71928444
31,2021-11-19,0.21853,0.28888,0.21999,0.24243,132196301
32,2021-11-18,0.217,0.27933,0.26393,0.21999,149517654
33,2021-11-17,0.2568,0.30737,0.30017,0.26453,144899892
34,2021-11-16,0.26262,0.3325,0.3,0.30067,147302852
35,2021-11-15,0.29335,0.33113,0.32994,0.30001,104211225
36,2021-11-14,0.30512,0.355,0.32549,0.32985,153802026
37,2021-11-13,0.28669,0.3755,0.32667,0.32523,322957331
38,2021-11-12,0.261,0.3375,0.28182,0.32706,281711342
39,2021-11-11,0.281,0.385,0.37549,0.28171,384562051
40,2021-11-10,0.2666,0.44,0.28159,0.37547,1198792572
41,2021-11-09,0.15508,0.299,0.1566,0.28159,816478433
