,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.212,0.22771,0.22118,0.21336,43530131
1,2021-11-05,0.20857,0.26,0.20949,0.22118,455721517
2,2021-11-04,0.18525,0.25,0.214,0.20949,480078415
3,2021-11-03,0.1856,0.33998,0.27862,0.214,923731087
4,2021-11-02,0.15651,0.35,0.16913,0.2785,1657826915
5,2021-11-01,0.11489,0.189,0.1209,0.16952,862568728
6,2021-10-31,0.10399,0.1285,0.11314,0.12091,363570466
7,2021-10-30,0.10107,0.13,0.1039,0.11336,595617129
8,2021-10-29,0.09597,0.109,0.10084,0.1039,289542334
9,2021-10-28,0.085,0.11,0.09649,0.10086,535786276
10,2021-10-27,0.081,0.1252,0.11272,0.09635,765056566
11,2021-10-26,0.09106,0.12841,0.09199,0.11273,1270282180
12,2021-10-25,0.07278,0.097,0.07363,0.09199,606918486
13,2021-10-24,0.06805,0.07989,0.07479,0.07363,395909549
14,2021-10-23,0.068,0.08351,0.07044,0.07462,751943705
15,2021-10-22,0.05979,0.075,0.06089,0.07044,241701347
16,2021-10-21,0.05986,0.0665,0.063,0.06089,240143567
17,2021-10-20,0.06,0.073,0.06636,0.06341,435873824
18,2021-10-19,0.05457,0.07,0.05619,0.06695,369713708
19,2021-10-18,0.0555,0.0605,0.05709,0.05593,174043063
20,2021-10-17,0.05475,0.0646,0.05971,0.057,310742431
21,2021-10-16,0.05207,0.0745,0.05604,0.05971,549761657
22,2021-10-15,0.05,0.06823,0.06567,0.05604,600526173
23,2021-10-14,0.06254,0.07815,0.07641,0.06573,411611281
24,2021-10-13,0.06952,0.0847,0.07484,0.0764,452337245
25,2021-10-12,0.0673,0.09395,0.08915,0.07484,806681682
26,2021-10-11,0.06116,0.0974,0.0615,0.0892,1697342651
27,2021-10-10,0.0475,0.0625,0.04862,0.0615,587368446
28,2021-10-09,0.0435,0.05889,0.04996,0.04862,631706886
29,2021-10-08,0.0397,0.0745,0.06596,0.04996,789493373
30,2021-10-07,0.0475,0.099,0.0475,0.06581,417390368
