,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.06135,0.07133,0.07086,0.06558,300784251
1,2021-12-19,0.06994,0.08044,0.07277,0.0709,329058336
2,2021-12-18,0.06888,0.07405,0.07169,0.07277,163870099
3,2021-12-17,0.06778,0.08497,0.08113,0.07174,308269389
4,2021-12-16,0.081,0.09496,0.09281,0.08112,216413371
5,2021-12-15,0.08468,0.0955,0.08675,0.09288,175224850
6,2021-12-14,0.08218,0.08974,0.08418,0.08676,141631946
7,2021-12-13,0.08206,0.09815,0.09815,0.0842,192596174
8,2021-12-12,0.09527,0.10217,0.10215,0.0981,115309825
9,2021-12-11,0.091,0.10413,0.0951,0.10199,203794361
10,2021-12-10,0.095,0.1063,0.10361,0.09512,222731549
11,2021-12-09,0.10159,0.12161,0.11976,0.10361,222832864
12,2021-12-08,0.112,0.12457,0.1168,0.11976,137375529
13,2021-12-07,0.11364,0.13093,0.12677,0.11708,145383749
14,2021-12-06,0.10306,0.13402,0.13185,0.12695,251433505
15,2021-12-05,0.12602,0.14165,0.13998,0.13198,139840613
16,2021-12-04,0.1203,0.1628,0.16199,0.14,236169183
17,2021-12-03,0.158,0.19,0.17593,0.16199,184629884
18,2021-12-02,0.16432,0.18077,0.16758,0.17619,195723530
19,2021-12-01,0.16356,0.18187,0.16634,0.16768,169792139
20,2021-11-30,0.16249,0.16977,0.16823,0.16616,104024941
21,2021-11-29,0.16629,0.182,0.16939,0.16823,124356865
22,2021-11-28,0.16008,0.17753,0.17673,0.16939,149622985
23,2021-11-27,0.17,0.18998,0.17272,0.17666,137402004
24,2021-11-26,0.16819,0.20935,0.2061,0.17272,286812110
25,2021-11-25,0.173,0.23651,0.18742,0.20609,372108329
26,2021-11-24,0.17194,0.20086,0.20086,0.1873,252749005
27,2021-11-23,0.1905,0.2302,0.22302,0.20086,323928242
28,2021-11-22,0.13851,0.26,0.14448,0.22302,1085433304
29,2021-11-21,0.14401,0.16299,0.1534,0.14455,231176639
30,2021-11-20,0.147,0.16337,0.15643,0.1534,202656223
31,2021-11-19,0.15155,0.17877,0.1575,0.15642,337050129
32,2021-11-18,0.13842,0.2081,0.14051,0.15776,841640622
33,2021-11-17,0.1303,0.15689,0.15594,0.14051,463995994
34,2021-11-16,0.148,0.164,0.15661,0.15602,312081683
35,2021-11-15,0.14789,0.1816,0.17338,0.15661,231972317
36,2021-11-14,0.1647,0.188,0.17579,0.17338,177221731
37,2021-11-13,0.1724,0.1903,0.18516,0.1758,195960057
38,2021-11-12,0.163,0.2167,0.21429,0.18527,300838140
39,2021-11-11,0.20403,0.22273,0.21796,0.21405,146534190
40,2021-11-10,0.1968,0.24484,0.215,0.21833,367710870
41,2021-11-09,0.20819,0.22792,0.22501,0.215,187752904
42,2021-11-08,0.21537,0.25217,0.23821,0.22507,236192844
43,2021-11-07,0.198,0.265,0.20769,0.23821,341557977
44,2021-11-06,0.19002,0.22771,0.22118,0.20731,216587998
45,2021-11-05,0.20857,0.26,0.20949,0.22118,455721517
46,2021-11-04,0.18525,0.25,0.214,0.20949,480078415
47,2021-11-03,0.1856,0.33998,0.27862,0.214,923731087
48,2021-11-02,0.15651,0.35,0.16913,0.2785,1657826915
49,2021-11-01,0.11489,0.189,0.1209,0.16952,862568728
50,2021-10-31,0.10399,0.1285,0.11314,0.12091,363570466
51,2021-10-30,0.10107,0.13,0.1039,0.11336,595617129
52,2021-10-29,0.09597,0.109,0.10084,0.1039,289542334
53,2021-10-28,0.085,0.11,0.09649,0.10086,535786276
54,2021-10-27,0.081,0.1252,0.11272,0.09635,765056566
55,2021-10-26,0.09106,0.12841,0.09199,0.11273,1270282180
56,2021-10-25,0.07278,0.097,0.07363,0.09199,606918486
57,2021-10-24,0.06805,0.07989,0.07479,0.07363,395909549
58,2021-10-23,0.068,0.08351,0.07044,0.07462,751943705
59,2021-10-22,0.05979,0.075,0.06089,0.07044,241701347
60,2021-10-21,0.05986,0.0665,0.063,0.06089,240143567
61,2021-10-20,0.06,0.073,0.06636,0.06341,435873824
62,2021-10-19,0.05457,0.07,0.05619,0.06695,369713708
63,2021-10-18,0.0555,0.0605,0.05709,0.05593,174043063
64,2021-10-17,0.05475,0.0646,0.05971,0.057,310742431
65,2021-10-16,0.05207,0.0745,0.05604,0.05971,549761657
66,2021-10-15,0.05,0.06823,0.06567,0.05604,600526173
67,2021-10-14,0.06254,0.07815,0.07641,0.06573,411611281
68,2021-10-13,0.06952,0.0847,0.07484,0.0764,452337245
69,2021-10-12,0.0673,0.09395,0.08915,0.07484,806681682
70,2021-10-11,0.06116,0.0974,0.0615,0.0892,1697342651
71,2021-10-10,0.0475,0.0625,0.04862,0.0615,587368446
72,2021-10-09,0.0435,0.05889,0.04996,0.04862,631706886
73,2021-10-08,0.0397,0.0745,0.06596,0.04996,789493373
74,2021-10-07,0.0475,0.099,0.0475,0.06581,417390368
