,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.564,0.643,0.5999,0.5914,9867060.2
1,2021-12-19,0.5986,0.644,0.6035,0.6015,4018378.2
2,2021-12-18,0.5827,0.6153,0.5923,0.6024,1417211.7
3,2021-12-17,0.5717,0.6318,0.6193,0.5924,3680726.9
4,2021-12-16,0.6155,0.6568,0.642,0.618,1812423.8
5,2021-12-15,0.5803,0.667,0.6162,0.6416,3292659.8
6,2021-12-14,0.5794,0.6299,0.5925,0.6177,2988078.7
7,2021-12-13,0.5786,0.6768,0.67,0.5924,7687281.8
8,2021-12-12,0.6385,0.6822,0.664,0.6702,2045784.9
9,2021-12-11,0.598,0.6667,0.6114,0.6645,4853937.9
10,2021-12-10,0.6089,0.6679,0.6484,0.6118,4022800.7
11,2021-12-09,0.6445,0.7405,0.7279,0.6483,6202007.0
12,2021-12-08,0.6747,0.7327,0.7057,0.7281,3024696.3
13,2021-12-07,0.6819,0.7404,0.6927,0.7055,4605636.4
14,2021-12-06,0.6208,0.704,0.7002,0.6937,5405097.3
15,2021-12-05,0.6784,0.7595,0.738,0.7002,4601874.0
16,2021-12-04,0.613,0.8107,0.8034,0.738,14100971.4
17,2021-12-03,0.78,0.8668,0.8416,0.8034,9844171.6
18,2021-12-02,0.7701,0.8445,0.8156,0.8416,8145250.3
19,2021-12-01,0.8042,0.8492,0.8187,0.8158,5439345.3
20,2021-11-30,0.8171,0.897,0.8468,0.8204,13043286.8
21,2021-11-29,0.7939,0.9034,0.8173,0.8468,19563878.2
22,2021-11-28,0.7503,0.9074,0.839,0.8176,20933215.2
23,2021-11-27,0.7228,0.9188,0.7287,0.8407,44583957.4
24,2021-11-26,0.7028,0.7972,0.792,0.7294,12987664.7
25,2021-11-25,0.785,0.8533,0.8015,0.7909,20974071.6
26,2021-11-24,0.6985,0.8143,0.745,0.8015,14718531.8
27,2021-11-23,0.7076,0.796,0.7236,0.745,15023884.1
28,2021-11-22,0.686,0.742,0.7158,0.7238,10082380.1
29,2021-11-21,0.7137,0.7934,0.7413,0.715,11963264.6
30,2021-11-20,0.7122,0.7816,0.7136,0.7418,12958149.5
31,2021-11-19,0.6408,0.8149,0.6449,0.7136,29054915.6
32,2021-11-18,0.6251,0.7291,0.7162,0.644,9465122.4
33,2021-11-17,0.7023,0.7455,0.7296,0.7171,8607109.3
34,2021-11-16,0.6756,0.8127,0.8122,0.731,18000665.2
35,2021-11-15,0.8065,0.8928,0.8679,0.8121,20983339.3
36,2021-11-14,0.8474,1.0503,1.0136,0.8679,62020911.6
37,2021-11-13,0.6501,1.1426,0.654,1.0133,87978791.5
38,2021-11-12,0.6304,0.691,0.6777,0.6534,4381715.8
39,2021-11-11,0.639,0.6918,0.6519,0.6778,6008799.0
40,2021-11-10,0.573,0.7311,0.7043,0.6541,12783071.7
41,2021-11-09,0.7031,0.7494,0.7265,0.7038,9865186.5
42,2021-11-08,0.7152,0.7687,0.7318,0.727,9756333.7
43,2021-11-07,0.7193,0.7355,0.7273,0.7323,3038626.0
44,2021-11-06,0.681,0.7335,0.7115,0.7275,4964514.2
45,2021-11-05,0.7018,0.763,0.7354,0.7119,8606302.8
46,2021-11-04,0.6805,0.8295,0.6888,0.7361,25510136.8
47,2021-11-03,0.6723,0.734,0.7231,0.6883,12398383.7
48,2021-11-02,0.6652,0.85,0.6759,0.7227,22337934.9
49,2021-11-01,0.6248,0.7278,0.6532,0.6757,14487504.0
50,2021-10-31,0.6293,0.6712,0.6515,0.6529,11257320.7
51,2021-10-30,0.6419,0.7583,0.6696,0.6516,22864773.7
52,2021-10-29,0.6402,0.6977,0.6435,0.6689,10821635.6
53,2021-10-28,0.6225,0.6749,0.6348,0.6435,12570514.2
54,2021-10-27,0.6187,0.745,0.7347,0.634,20285710.9
55,2021-10-26,0.7205,0.843,0.8049,0.7346,19324030.7
56,2021-10-25,0.6964,0.8196,0.7003,0.8044,27595992.1
57,2021-10-24,0.6837,0.741,0.729,0.7003,11919785.5
58,2021-10-23,0.7156,0.7454,0.7398,0.7292,9335580.0
59,2021-10-22,0.7021,0.7543,0.7296,0.7403,7201155.2
60,2021-10-21,0.7226,0.805,0.7702,0.7288,16585038.8
61,2021-10-20,0.725,0.8101,0.7776,0.7699,19491644.6
62,2021-10-19,0.7601,0.8703,0.8273,0.778,24125737.7
