,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.1933,1.2818,1.2719,1.239,306955.8
1,2021-12-19,1.2704,1.3339,1.3191,1.2732,346805.9
2,2021-12-18,1.2566,1.3539,1.287,1.3191,292766.2
3,2021-12-17,1.2352,1.3481,1.2872,1.2854,588351.4
4,2021-12-16,1.2806,1.3608,1.3213,1.2871,445216.2
5,2021-12-15,1.2044,1.3339,1.2684,1.3201,735185.1
6,2021-12-14,1.1904,1.2956,1.2442,1.2708,991121.5
7,2021-12-13,1.2173,1.3819,1.3763,1.2442,805600.9
8,2021-12-12,1.3353,1.4294,1.38,1.3777,1010495.1
9,2021-12-11,1.3031,1.4207,1.325,1.379,1287187.2
10,2021-12-10,1.325,1.4518,1.3622,1.325,1085486.9
11,2021-12-09,1.3506,1.5341,1.5233,1.3593,1656135.9
12,2021-12-08,1.4179,1.5778,1.5778,1.5241,1095131.9
13,2021-12-07,1.3993,1.6322,1.42,1.5819,1863819.6
14,2021-12-06,1.2017,1.4236,1.3771,1.4205,1229839.8
15,2021-12-05,1.3202,1.5885,1.5276,1.377,944471.0
16,2021-12-04,1.2276,1.7558,1.7534,1.4891,2777366.1
17,2021-12-03,1.7023,1.9197,1.8732,1.7567,1469893.9
18,2021-12-02,1.8346,1.9368,1.9368,1.8707,542015.5
19,2021-12-01,1.9005,2.0135,1.9365,1.9342,722131.2
20,2021-11-30,1.909,2.0473,2.0465,1.9351,1074838.3
21,2021-11-29,1.9769,2.0718,2.0471,2.0487,1431563.9
22,2021-11-28,1.8264,2.0917,2.0917,2.0482,1604173.3
23,2021-11-27,1.9778,2.341,2.0383,2.0896,6471661.8
24,2021-11-26,1.65,2.1101,1.8434,2.0383,5538348.2
25,2021-11-25,1.6943,1.8681,1.7162,1.8421,1162352.9
26,2021-11-24,1.6663,1.8072,1.7983,1.7179,911387.8
27,2021-11-23,1.6526,1.8195,1.6687,1.7955,1441571.1
28,2021-11-22,1.6466,1.7596,1.7582,1.6687,1109789.1
29,2021-11-21,1.724,1.7981,1.7787,1.7558,474080.5
30,2021-11-20,1.6901,1.7999,1.7285,1.7787,767349.3
31,2021-11-19,1.5848,1.7342,1.6265,1.727,905045.2
32,2021-11-18,1.5842,1.8729,1.7956,1.6222,1950522.2
33,2021-11-17,1.6393,1.8047,1.7136,1.7962,683772.4
34,2021-11-16,1.612,1.8908,1.8908,1.7108,1281022.8
35,2021-11-15,1.8577,1.964,1.8839,1.8898,1105768.7
36,2021-11-14,1.819,1.8912,1.8818,1.881,490793.4
37,2021-11-13,1.8145,1.9254,1.8572,1.8839,418477.7
38,2021-11-12,1.7772,1.9243,1.866,1.8517,1838724.8
39,2021-11-11,1.8054,1.8956,1.8465,1.866,1069157.0
40,2021-11-10,1.765,2.049,1.9864,1.8489,2478466.5
41,2021-11-09,1.9649,2.0722,2.0604,1.9853,1014507.5
42,2021-11-08,1.9193,2.0605,1.9872,2.0605,1129008.0
43,2021-11-07,1.8908,1.9995,1.9109,1.9913,1221611.7
44,2021-11-06,1.8121,1.9317,1.9216,1.9132,1073475.1
45,2021-11-05,1.8965,1.9936,1.993,1.9199,577251.1
46,2021-11-04,1.9427,2.0953,2.0946,1.9935,1039056.5
47,2021-11-03,1.9849,2.2897,2.2847,2.0983,1354447.6
