,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.2802,1.429,1.429,1.3215,961661.4
1,2021-12-19,1.379,1.5596,1.4446,1.4291,1450411.1
2,2021-12-18,1.2801,1.68,1.299,1.4482,1867413.2
3,2021-12-17,1.26,1.34,1.3192,1.2919,698093.7
4,2021-12-16,1.3051,1.5925,1.3281,1.3194,1725629.8
5,2021-12-15,1.2349,1.3732,1.2776,1.3305,1046629.2
6,2021-12-14,1.2381,1.3689,1.3351,1.278,996596.7
7,2021-12-13,1.3248,1.5185,1.473,1.3351,490347.6
8,2021-12-12,1.4491,1.54,1.4721,1.4729,592910.1
9,2021-12-11,1.38,1.5,1.4041,1.4647,888571.6
10,2021-12-10,1.36,1.5477,1.5455,1.4124,1309959.6
11,2021-12-09,1.4828,1.6946,1.6617,1.5434,1055673.6
12,2021-12-08,1.5744,1.6681,1.597,1.6617,674528.3
13,2021-12-07,1.566,1.7069,1.6662,1.597,1292040.6
14,2021-12-06,1.4899,1.7368,1.6386,1.6656,1407769.5
15,2021-12-05,1.6101,1.7769,1.7433,1.6343,840521.1
16,2021-12-04,1.614,1.8938,1.8799,1.7509,1511339.6
17,2021-12-03,1.84,1.9822,1.9401,1.8837,1209643.0
18,2021-12-02,1.92,2.1543,1.9717,1.9454,1895428.1
19,2021-12-01,1.92,2.1,2.0022,1.9717,1788458.3
20,2021-11-30,1.95,2.1633,2.0488,2.0084,2262532.9
21,2021-11-29,1.9138,2.311,2.2825,2.0491,6299965.4
22,2021-11-28,1.7175,2.85,1.8681,2.2825,12392106.0
23,2021-11-27,1.8275,1.9503,1.8667,1.8687,1774908.8
24,2021-11-26,1.8242,2.1885,2.049,1.8682,2138648.9
25,2021-11-25,1.9202,2.1896,2.0145,2.049,2197816.7
26,2021-11-24,1.8718,2.1975,2.0633,2.014,1628674.5
27,2021-11-23,2.0002,2.1289,2.1004,2.0686,1259173.5
28,2021-11-22,1.9525,2.2523,1.9961,2.1004,1985131.9
29,2021-11-21,1.9825,2.2458,2.1514,1.9999,1667137.9
30,2021-11-20,2.0981,2.4171,2.1708,2.1472,2581125.4
31,2021-11-19,1.8312,2.4348,1.9419,2.1705,4838347.8
32,2021-11-18,1.9019,2.18,2.0927,1.9501,3092591.2
33,2021-11-17,2.0619,2.3764,2.3056,2.0932,4284655.1
34,2021-11-16,2.2741,2.6362,2.6075,2.3052,2238722.1
35,2021-11-15,2.5279,2.8446,2.7785,2.6189,1906053.9
36,2021-11-14,2.6667,2.92,2.7193,2.7769,1679218.6
37,2021-11-13,2.59,3.0,2.6958,2.7195,2753435.1
38,2021-11-12,2.65,2.9794,2.9695,2.6994,2399075.1
39,2021-11-11,2.68,3.2,2.7429,2.9796,5558715.5
40,2021-11-10,2.59,3.15,2.8229,2.743,7176822.6
41,2021-11-09,2.82,3.2,3.0996,2.8311,6455674.1
42,2021-11-08,2.822,3.75,3.3118,3.0996,11236073.7
43,2021-11-07,3.1,4.688,4.688,3.3117,21420687.4
44,2021-11-06,2.49,4.9592,2.5,4.688,32656523.0
45,2021-11-05,1.983,2.9,2.1949,2.5,7277044.5
46,2021-11-04,2.0252,2.4738,2.2306,2.1892,4706578.6
47,2021-11-03,2.1,3.82,3.0896,2.2542,15025229.5
48,2021-11-02,1.8997,4.3,2.23,3.0896,10076493.0
