,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.0988,0.1089,0.1069,0.1003,2063967.7
1,2021-12-19,0.105,0.1104,0.11,0.1072,1537038.4
2,2021-12-18,0.102,0.1151,0.1107,0.1099,4082999.3
3,2021-12-17,0.1026,0.125,0.1044,0.1112,13194613.1
4,2021-12-16,0.102,0.1229,0.118,0.1045,10818085.8
5,2021-12-15,0.0918,0.1343,0.0938,0.1181,7229304.0
6,2021-12-14,0.0901,0.097,0.0952,0.0933,1708547.8
7,2021-12-13,0.0941,0.1095,0.1073,0.0952,2733489.9
8,2021-12-12,0.1027,0.109,0.1075,0.1072,2131110.1
9,2021-12-11,0.1028,0.111,0.1093,0.1075,3696623.0
10,2021-12-10,0.108,0.1183,0.114,0.1093,1692389.5
11,2021-12-09,0.1134,0.1257,0.1238,0.1142,1403977.0
12,2021-12-08,0.121,0.1306,0.1254,0.1238,2625577.1
13,2021-12-07,0.1145,0.15,0.115,0.1256,17435334.6
14,2021-12-06,0.109,0.1229,0.1196,0.115,4657993.2
15,2021-12-05,0.1157,0.1336,0.1224,0.1189,3452792.6
16,2021-12-04,0.106,0.1428,0.1406,0.1222,5384227.1
17,2021-12-03,0.14,0.1521,0.1467,0.1406,3298265.4
18,2021-12-02,0.1448,0.1532,0.15,0.1468,2817389.7
19,2021-12-01,0.1483,0.1575,0.1537,0.15,4515837.3
20,2021-11-30,0.15,0.158,0.1565,0.1544,5568349.6
21,2021-11-29,0.153,0.1624,0.1586,0.1565,6356859.5
22,2021-11-28,0.151,0.17,0.1572,0.159,10792644.4
23,2021-11-27,0.1502,0.1655,0.1558,0.1569,6920244.1
24,2021-11-26,0.1426,0.1787,0.1579,0.1545,17631909.9
25,2021-11-25,0.1494,0.1624,0.1573,0.1566,10570497.6
26,2021-11-24,0.1505,0.1662,0.1652,0.1578,6941534.4
27,2021-11-23,0.1561,0.1825,0.1615,0.1653,16553541.1
28,2021-11-22,0.15,0.1674,0.167,0.1618,8220880.9
29,2021-11-21,0.1505,0.1806,0.1578,0.1677,19696863.5
30,2021-11-20,0.1416,0.1729,0.1507,0.1578,10652131.2
31,2021-11-19,0.1359,0.1566,0.1392,0.1507,7208989.0
32,2021-11-18,0.135,0.1586,0.153,0.1392,7950380.3
33,2021-11-17,0.1522,0.1735,0.1624,0.153,11794974.0
34,2021-11-16,0.1576,0.1838,0.1672,0.1625,13641168.4
35,2021-11-15,0.1625,0.1861,0.1673,0.1663,16463633.6
36,2021-11-14,0.1606,0.1848,0.1709,0.1664,8461582.2
37,2021-11-13,0.1654,0.1804,0.1764,0.1709,10327119.8
38,2021-11-12,0.1632,0.2012,0.2012,0.1774,18731184.2
39,2021-11-11,0.1942,0.2235,0.2148,0.2011,22320199.8
40,2021-11-10,0.1663,0.27,0.169,0.213,141897273.6
41,2021-11-09,0.1513,0.18,0.1585,0.1679,22939103.2
42,2021-11-08,0.143,0.188,0.1449,0.159,33820463.3
43,2021-11-07,0.135,0.19,0.1437,0.1449,38081362.9
44,2021-11-06,0.13,0.15,0.141,0.1429,8868991.4
45,2021-11-05,0.14,0.152,0.149,0.1414,6800598.8
46,2021-11-04,0.142,0.1775,0.155,0.149,22818465.7
47,2021-11-03,0.13,0.1799,0.1799,0.1568,14225364.0
