,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.8733,2.0792,2.0444,2.0158,14578411.10675
1,2021-12-19,2.0204,2.122,2.0744,2.0452,7784177.47275
2,2021-12-18,1.9902,2.12,2.0546,2.0739,10383532.694571
3,2021-12-17,1.9932,2.1589,2.1059,2.0547,11811457.399997
4,2021-12-16,2.0938,2.3592,2.2454,2.1066,13319159.988353
5,2021-12-15,2.0048,2.2895,2.184,2.2455,20146508.920543
6,2021-12-14,2.0371,2.2857,2.0971,2.184,19442437.875915
7,2021-12-13,2.05,2.4736,2.4557,2.0972,18370199.489549
8,2021-12-12,2.3268,2.4947,2.4241,2.4562,9130556.855458
9,2021-12-11,2.2608,2.4542,2.3024,2.4234,14676774.689074
10,2021-12-10,2.2905,2.6014,2.4929,2.3026,28671664.208646
11,2021-12-09,2.3549,2.7307,2.5631,2.4947,40659433.676664
12,2021-12-08,2.2708,2.985,2.4643,2.5631,48510090.58129
13,2021-12-07,2.362,2.6609,2.4632,2.4632,33392173.722321
14,2021-12-06,1.8002,2.5406,2.0388,2.4634,41706678.32891
15,2021-12-05,1.9672,2.3483,2.2688,2.0414,22252376.077055
16,2021-12-04,1.7257,2.3881,2.3816,2.2685,54251304.231996
17,2021-12-03,2.2424,2.6459,2.6322,2.3828,23186046.721906
18,2021-12-02,2.5805,2.7819,2.7819,2.6333,14636685.624006
19,2021-12-01,2.703,2.9677,2.7727,2.7815,19866686.860981
20,2021-11-30,2.7108,2.9612,2.8658,2.7725,22871850.756567
21,2021-11-29,2.8539,3.1808,2.9323,2.8653,23691653.168156
22,2021-11-28,2.6557,2.98,2.8959,2.9324,19768285.966138
23,2021-11-27,2.7685,3.1227,2.8176,2.8945,21232828.909672
24,2021-11-26,2.6516,3.64,3.2055,2.8225,52998941.788126
25,2021-11-25,3.1217,3.78,3.4145,3.2046,56147439.592074
26,2021-11-24,2.9,3.4636,3.3366,3.4136,55168794.728053
27,2021-11-23,2.537,3.478,2.6501,3.3353,89929127.564451
28,2021-11-22,2.3226,2.8638,2.381,2.6502,39888065.019165
29,2021-11-21,2.3571,2.6365,2.5835,2.3799,23412490.150195
30,2021-11-20,2.5,2.7515,2.6628,2.5811,22968067.251381
31,2021-11-19,2.1753,2.8992,2.2158,2.6627,67473193.925999
32,2021-11-18,2.1605,2.5963,2.5254,2.2151,56602005.220736
33,2021-11-17,2.4715,2.8954,2.6357,2.5263,47421722.826151
34,2021-11-16,2.34,2.91,2.9082,2.6343,53403928.502735
35,2021-11-15,2.8469,3.1169,3.061,2.908,38727625.807364
36,2021-11-14,2.6527,3.372,2.6791,3.061,76329579.776466
37,2021-11-13,2.6104,3.0924,3.0385,2.6815,48511800.969744
