,Date,Open,High,Low,Close,Volume
0,2021-12-20,145.29,157.49,153.32,152.71,321920.67543599
1,2021-12-19,147.59,161.05,148.75,153.31,377860.30185905
2,2021-12-18,142.87,150.38,143.99,148.75,183272.66082718
3,2021-12-17,141.27,150.35,148.86,144.12,284096.57222804
4,2021-12-16,148.54,156.72,153.62,148.79,246670.00476091
5,2021-12-15,141.78,155.1,150.45,153.65,323015.76167421
6,2021-12-14,143.0,152.0,144.66,150.5,285504.24307695
7,2021-12-13,142.74,159.97,159.04,144.62,420783.47603601
8,2021-12-12,153.34,162.98,158.17,159.0,216389.8609043
9,2021-12-11,145.75,159.61,148.45,158.07,335773.95991684
10,2021-12-10,147.69,159.86,151.44,148.49,375902.00824309
11,2021-12-09,151.32,167.26,165.24,151.4,454912.66185153
12,2021-12-08,156.18,170.48,162.08,165.21,526582.0890391
13,2021-12-07,158.39,166.0,161.65,162.03,459475.98663549
14,2021-12-06,141.48,164.76,156.6,161.61,650531.51184137
15,2021-12-05,148.4,165.28,162.91,156.63,746975.39586435
16,2021-12-04,141.65,189.28,188.1,162.9,745196.09454796
17,2021-12-03,180.0,208.24,203.52,188.21,392607.9334132
18,2021-12-02,200.14,210.29,208.97,203.63,322037.42044499
19,2021-12-01,205.29,217.97,208.01,208.91,315917.89629455
20,2021-11-30,197.65,220.18,205.81,207.97,471626.64730961
21,2021-11-29,195.48,209.69,199.68,205.8,288375.39715305
22,2021-11-28,182.0,200.09,195.24,199.64,377797.30242457
23,2021-11-27,190.87,201.13,195.76,195.36,263655.64810942
24,2021-11-26,190.12,224.96,223.13,195.78,558189.44101309
25,2021-11-25,210.77,229.82,212.21,223.05,378729.96937452
26,2021-11-24,206.01,216.65,216.28,212.21,281906.88901599
27,2021-11-23,205.28,218.89,209.13,216.32,279859.57859184
28,2021-11-22,205.31,221.96,221.49,209.22,411426.62220519
29,2021-11-21,219.81,230.87,227.01,221.48,271287.02279284
30,2021-11-20,212.8,228.01,218.12,227.0,350247.65923721
31,2021-11-19,199.75,221.65,204.15,218.12,466660.7643226
32,2021-11-18,199.95,232.31,229.64,204.24,790594.7304001
33,2021-11-17,218.23,235.49,230.48,229.57,537422.03605793
34,2021-11-16,223.13,263.2,262.97,230.37,816802.47016915
35,2021-11-15,259.2,281.46,279.39,263.05,420366.82395619
36,2021-11-14,248.4,279.7,257.74,279.36,472688.51836669
37,2021-11-13,245.4,264.11,251.23,257.74,443198.67673785
38,2021-11-12,243.86,282.92,262.3,251.23,872535.61730782
39,2021-11-11,250.61,274.27,260.17,262.3,629822.53674174
40,2021-11-10,252.3,302.08,262.08,260.18,1432536.98780613
41,2021-11-09,226.75,274.72,229.12,262.16,1335377.57431193
42,2021-11-08,202.18,229.7,202.23,229.11,648494.43176405
43,2021-11-07,197.12,202.28,197.8,202.23,193687.26843786
44,2021-11-06,191.22,201.36,199.07,197.77,222980.0091007
45,2021-11-05,196.87,203.48,202.78,199.13,258443.93790015
46,2021-11-04,196.31,207.33,207.26,202.9,362029.63020698
47,2021-11-03,197.51,209.44,201.07,207.31,491021.72313062
48,2021-11-02,195.24,204.75,197.7,201.03,316484.83292612
49,2021-11-01,188.02,201.31,192.01,197.65,340593.92941113
