,Date,Open,High,Low,Close,Volume
0,2021-11-06,2.592,3.05,2.592,2.945,46129887.59
1,2021-11-05,2.338,2.74,2.504,2.592,73610569.36
2,2021-11-04,2.401,2.935,2.842,2.504,88057002.55
3,2021-11-03,2.705,3.183,3.094,2.842,108534347.45
4,2021-11-02,2.92,3.448,3.035,3.099,146137885.38
5,2021-11-01,2.6,3.5,2.893,3.037,197503301.13
6,2021-10-31,2.557,4.19,3.589,2.892,466263505.61
7,2021-10-30,1.284,4.99,1.395,3.589,616379645.87
8,2021-10-29,0.923,1.69,0.925,1.397,226679446.11
9,2021-10-28,0.744,1.04,0.756,0.926,44309543.42
10,2021-10-27,0.708,0.857,0.814,0.756,17263518.41
11,2021-10-26,0.798,0.857,0.809,0.814,10867121.16
12,2021-10-25,0.771,0.813,0.778,0.81,7024233.46
13,2021-10-24,0.753,0.801,0.794,0.778,5455800.14
14,2021-10-23,0.78,0.799,0.791,0.793,3645004.91
15,2021-10-22,0.776,0.814,0.789,0.79,4901800.77
16,2021-10-21,0.78,0.834,0.814,0.789,7711595.84
17,2021-10-20,0.768,0.845,0.773,0.814,8997520.99
18,2021-10-19,0.739,0.778,0.75,0.772,4981355.57
19,2021-10-18,0.737,0.772,0.765,0.75,3767470.35
20,2021-10-17,0.738,0.814,0.809,0.765,5778689.83
21,2021-10-16,0.756,0.871,0.756,0.81,15092560.72
22,2021-10-15,0.736,0.776,0.775,0.756,8430480.57
23,2021-10-14,0.759,0.789,0.769,0.774,4322401.41
24,2021-10-13,0.731,0.769,0.753,0.769,3649027.09
25,2021-10-12,0.712,0.761,0.761,0.753,3707265.42
26,2021-10-11,0.745,0.799,0.768,0.76,5088003.53
27,2021-10-10,0.766,0.842,0.84,0.77,3556584.57
28,2021-10-09,0.797,0.841,0.812,0.841,7109682.35
29,2021-10-08,0.769,0.816,0.772,0.811,7384247.62
30,2021-10-07,0.746,0.781,0.775,0.772,5834359.69
31,2021-10-06,0.721,0.795,0.781,0.775,7749349.62
32,2021-10-05,0.742,0.784,0.767,0.78,7386630.84
33,2021-10-04,0.722,0.829,0.768,0.767,16258863.2
34,2021-10-03,0.738,0.772,0.752,0.767,5328339.5
35,2021-10-02,0.738,0.782,0.754,0.751,6467945.39
36,2021-10-01,0.679,0.759,0.69,0.753,6777488.26
37,2021-09-30,0.641,0.699,0.645,0.69,5793570.33
38,2021-09-29,0.616,0.662,0.619,0.645,5652863.08
39,2021-09-28,0.616,0.684,0.661,0.619,7198840.89
40,2021-09-27,0.661,0.72,0.711,0.661,4784123.14
41,2021-09-26,0.658,0.764,0.692,0.712,10252396.98
42,2021-09-25,0.664,0.714,0.703,0.693,3068018.93
43,2021-09-24,0.638,0.776,0.765,0.702,15157671.19
44,2021-09-23,0.704,0.779,0.734,0.764,7782783.36
45,2021-09-22,0.601,0.739,0.613,0.733,6598850.71
46,2021-09-21,0.597,0.695,0.68,0.614,11126902.67
47,2021-09-20,0.664,0.801,0.8,0.68,12484488.77
48,2021-09-19,0.786,0.824,0.822,0.8,2585901.69
49,2021-09-18,0.806,0.838,0.818,0.822,2149942.18
50,2021-09-17,0.804,0.853,0.842,0.817,3131632.82
51,2021-09-16,0.827,0.882,0.862,0.841,6013692.02
52,2021-09-15,0.828,0.864,0.846,0.862,3743111.49
53,2021-09-14,0.81,0.86,0.819,0.845,3337099.27
54,2021-09-13,0.762,0.852,0.846,0.819,6511823.32
55,2021-09-12,0.812,0.9,0.83,0.846,4951540.63
56,2021-09-11,0.813,0.852,0.818,0.832,2396648.05
57,2021-09-10,0.792,0.9,0.871,0.817,6025667.7
58,2021-09-09,0.829,0.895,0.853,0.871,7095506.21
59,2021-09-08,0.757,0.884,0.835,0.854,14412954.54
60,2021-09-07,0.722,1.044,1.044,0.835,27495482.42
61,2021-09-06,1.008,1.079,1.078,1.044,6680723.97
62,2021-09-05,1.021,1.082,1.057,1.078,5635601.83
63,2021-09-04,0.991,1.07,0.995,1.056,8817405.13
64,2021-09-03,0.944,1.069,0.967,0.996,9509581.86
65,2021-09-02,0.952,0.992,0.981,0.966,5890870.48
66,2021-09-01,0.917,0.985,0.941,0.981,6789625.65
67,2021-08-31,0.919,0.983,0.946,0.941,8183983.39
68,2021-08-30,0.937,1.107,1.025,0.948,24158402.74
69,2021-08-29,0.88,1.052,0.925,1.024,16216699.22
70,2021-08-28,0.913,0.944,0.931,0.923,5658772.62
