,Date,Open,High,Low,Close,Volume
0,2021-11-06,11.64,12.35,11.75,11.73,50079.2
1,2021-11-05,11.52,12.53,12.09,11.79,134527.86
2,2021-11-04,11.65,13.23,13.21,12.07,202676.79
3,2021-11-03,12.12,14.39,12.57,13.2,838874.22
4,2021-11-02,11.04,13.02,11.42,12.55,454738.66
5,2021-11-01,10.55,12.7,10.77,11.41,597883.78
6,2021-10-31,9.92,11.54,10.56,10.76,413441.5
7,2021-10-30,10.22,11.34,11.22,10.55,200572.47
8,2021-10-29,11.16,12.08,11.44,11.22,207570.7
9,2021-10-28,10.6,12.64,10.61,11.44,1190365.48
10,2021-10-27,9.42,17.79,9.47,10.59,2405923.83
11,2021-10-26,9.34,9.87,9.76,9.48,156719.98
12,2021-10-25,9.27,9.76,9.34,9.75,119750.73
13,2021-10-24,9.15,9.88,9.87,9.32,101493.36
14,2021-10-23,9.66,9.99,9.89,9.87,46731.38
15,2021-10-22,9.62,10.41,9.95,9.91,152013.69
16,2021-10-21,9.91,10.84,10.12,9.94,329024.82
17,2021-10-20,9.74,10.47,9.94,10.12,174568.78
18,2021-10-19,9.73,10.31,10.07,9.93,173102.35
19,2021-10-18,9.82,10.86,10.67,10.05,160479.49
20,2021-10-17,9.97,11.38,10.14,10.66,481179.83
21,2021-10-16,9.91,11.25,10.05,10.16,560991.08
22,2021-10-15,9.04,10.65,9.41,10.07,536898.01
23,2021-10-14,9.25,9.82,9.29,9.42,240352.64
24,2021-10-13,8.89,9.6,9.3,9.27,422957.83
25,2021-10-12,8.75,9.72,9.72,9.32,458513.01
26,2021-10-11,9.44,10.22,9.79,9.75,254891.53
27,2021-10-10,9.72,10.97,10.55,9.78,441032.58
28,2021-10-09,10.33,10.91,10.8,10.57,254244.19
29,2021-10-08,10.63,11.64,11.64,10.8,412305.85
30,2021-10-07,10.3,12.22,10.71,11.61,669040.0
31,2021-10-06,10.27,11.83,11.22,10.7,491772.29
32,2021-10-05,9.64,11.81,9.73,11.22,1269192.63
33,2021-10-04,9.37,10.13,10.12,9.72,284358.19
34,2021-10-03,9.9,10.49,10.25,10.16,291339.3
35,2021-10-02,9.33,10.92,9.56,10.24,780221.24
36,2021-10-01,8.83,9.76,8.99,9.56,495888.77
37,2021-09-30,8.36,9.3,8.53,8.98,316657.79
38,2021-09-29,8.06,8.94,8.17,8.53,320510.65
39,2021-09-28,8.04,8.68,8.11,8.17,428614.53
40,2021-09-27,7.93,9.45,8.1,8.14,622137.84
41,2021-09-26,7.39,8.88,8.88,8.12,381151.6
42,2021-09-25,8.7,9.51,9.32,8.86,225749.4
43,2021-09-24,8.55,11.14,9.77,9.32,1100334.25
44,2021-09-23,8.91,9.85,9.36,9.79,275445.27
45,2021-09-22,8.21,9.62,8.46,9.36,332402.35
46,2021-09-21,8.0,9.55,9.37,8.43,325954.15
47,2021-09-20,9.0,11.22,11.2,9.4,507654.0
48,2021-09-19,10.61,12.56,10.96,11.18,676941.91
49,2021-09-18,10.69,11.69,11.19,10.96,216114.83
50,2021-09-17,10.92,12.64,12.34,11.2,374358.95
51,2021-09-16,10.56,13.26,10.95,12.33,1105414.42
52,2021-09-15,10.27,11.36,10.56,10.97,397149.57
53,2021-09-14,10.22,11.59,11.39,10.58,533122.12
54,2021-09-13,9.81,13.18,12.97,11.39,1923195.64
55,2021-09-12,8.3,13.91,8.53,12.98,2025755.32
56,2021-09-11,8.23,9.07,8.59,8.55,222294.23
57,2021-09-10,8.26,9.48,9.13,8.57,367207.33
58,2021-09-09,8.56,9.75,9.01,9.15,778855.69
59,2021-09-08,7.95,9.84,9.07,9.03,1581509.02
60,2021-09-07,7.72,12.78,11.99,9.06,1736814.18
61,2021-09-06,11.2,12.98,12.32,12.02,639333.92
62,2021-09-05,11.81,12.85,11.97,12.31,485042.99
63,2021-09-04,11.81,12.92,11.95,11.97,660628.83
64,2021-09-03,11.44,12.89,12.36,11.96,696774.47
65,2021-09-02,11.79,13.66,11.95,12.38,1307931.59
66,2021-09-01,10.95,12.59,11.23,11.94,1231746.25
67,2021-08-31,10.91,12.83,11.98,11.23,1041290.66
68,2021-08-30,11.86,14.0,13.96,11.96,980745.21
69,2021-08-29,13.66,15.74,14.64,13.94,925648.77
70,2021-08-28,13.78,16.83,13.99,14.65,1891221.9
71,2021-08-27,12.71,14.95,13.55,13.97,1896469.88
72,2021-08-26,13.3,18.46,17.91,13.56,4124307.31
73,2021-08-25,12.44,21.0,12.54,17.92,5301126.65
74,2021-08-24,9.15,15.1,9.57,12.54,3003000.76
75,2021-08-23,7.09,11.22,7.09,9.57,2470418.41
76,2021-08-22,6.41,7.49,6.48,7.07,553572.57
77,2021-08-21,6.46,6.88,6.86,6.49,107758.56
78,2021-08-20,6.52,6.88,6.67,6.86,177133.29
79,2021-08-19,6.12,6.79,6.17,6.67,156010.54
80,2021-08-18,6.08,6.56,6.36,6.16,183264.72
81,2021-08-17,6.34,7.25,6.99,6.36,337263.29
82,2021-08-16,6.67,7.53,7.07,6.99,570182.53
83,2021-08-15,6.47,7.11,6.95,7.06,265027.39
84,2021-08-14,6.65,7.77,6.7,6.96,1067095.52
85,2021-08-13,6.19,6.79,6.3,6.69,388270.8
86,2021-08-12,5.93,6.99,6.76,6.3,503652.71
87,2021-08-11,6.65,7.39,6.77,6.75,703964.06
88,2021-08-10,6.43,7.11,7.08,6.79,359615.0
89,2021-08-09,6.42,7.5,6.75,7.07,463175.2
90,2021-08-08,6.75,7.89,7.66,6.75,967881.43
91,2021-08-07,5.78,8.2,6.1,7.66,1461554.32
92,2021-08-06,5.96,6.65,6.65,6.08,543895.02
93,2021-08-05,5.92,7.33,6.2,6.64,1018057.94
94,2021-08-04,5.23,6.5,5.26,6.18,932213.28
95,2021-08-03,4.54,5.9,4.65,5.26,975300.97
96,2021-08-02,4.42,4.99,4.65,4.67,311751.95
97,2021-08-01,4.57,5.54,5.54,4.66,655186.94
98,2021-07-31,3.97,5.69,4.04,5.53,1659917.06
99,2021-07-30,3.8,4.28,3.97,4.03,288056.31
100,2021-07-29,3.84,4.02,4.02,3.96,198802.62
101,2021-07-28,3.89,4.19,3.97,4.01,189203.01
102,2021-07-27,3.75,4.18,4.09,3.98,183277.16
103,2021-07-26,4.0,4.86,4.22,4.08,628787.98
104,2021-07-25,3.54,4.74,3.65,4.22,782405.13
105,2021-07-24,3.6,4.18,3.87,3.65,667593.59
106,2021-07-23,3.21,4.22,3.24,3.86,881787.26
107,2021-07-22,3.17,3.37,3.27,3.24,189912.57
108,2021-07-21,3.05,3.44,3.08,3.28,425037.81
109,2021-07-20,3.0,3.64,3.44,3.08,382819.07
110,2021-07-19,3.39,3.88,3.83,3.47,301004.5
111,2021-07-18,3.76,4.19,3.9,3.84,234155.24
112,2021-07-17,3.78,4.37,3.9,3.93,817148.82
113,2021-07-16,3.9,5.14,4.82,3.92,736200.63
114,2021-07-15,4.72,5.35,4.8,4.83,270424.83
