,Date,Open,High,Low,Close,Volume
0,2021-12-20,10.15,12.4,11.45,10.36,119489.46
1,2021-12-19,11.07,11.91,11.2,11.49,68548.41
2,2021-12-18,11.0,12.61,11.19,11.2,121689.46
3,2021-12-17,11.1,12.91,12.24,11.19,191204.04
4,2021-12-16,12.06,13.19,12.1,12.22,79043.64
5,2021-12-15,11.11,14.01,11.13,12.1,142242.04
6,2021-12-14,11.04,12.33,12.17,11.13,65781.12
7,2021-12-13,12.08,13.11,12.31,12.17,59197.51
8,2021-12-12,12.24,14.6,12.99,12.28,48956.16
9,2021-12-11,11.86,16.32,11.99,12.94,169009.94
10,2021-12-10,11.12,12.71,11.4,12.0,101452.59
11,2021-12-09,11.2,14.59,13.21,11.48,144762.38
12,2021-12-08,11.35,17.7,17.7,13.21,395219.61
13,2021-12-07,17.16,21.7,21.7,17.71,133496.91
