,Date,Open,High,Low,Close,Volume
0,2021-11-06,3.257,3.374,3.34,3.34,396886.07
1,2021-11-05,3.323,3.551,3.528,3.336,1447442.66
2,2021-11-04,3.383,3.919,3.768,3.524,3373117.69
3,2021-11-03,3.148,4.136,3.191,3.774,7147677.65
4,2021-11-02,3.061,3.299,3.117,3.193,1368120.78
5,2021-11-01,3.02,3.168,3.145,3.118,1059817.73
6,2021-10-31,3.051,3.354,3.261,3.146,1394706.37
7,2021-10-30,3.07,3.384,3.08,3.259,1816960.63
8,2021-10-29,2.92,3.293,2.981,3.081,2366244.24
9,2021-10-28,2.772,3.03,2.783,2.981,1771504.22
10,2021-10-27,2.759,3.031,3.022,2.783,1302344.15
11,2021-10-26,2.99,3.15,3.044,3.021,1467277.69
12,2021-10-25,2.959,3.083,2.982,3.044,1237659.88
13,2021-10-24,2.932,3.148,3.135,2.982,963311.66
14,2021-10-23,3.065,3.37,3.284,3.131,1329140.42
15,2021-10-22,2.989,3.442,2.991,3.287,3641489.1
16,2021-10-21,2.944,3.1,3.037,2.994,1044309.5
17,2021-10-20,2.912,3.12,2.932,3.035,1064686.14
18,2021-10-19,2.884,3.022,2.932,2.93,1041488.82
19,2021-10-18,2.88,3.065,2.947,2.933,1218956.69
20,2021-10-17,2.869,3.107,3.084,2.946,1249909.19
21,2021-10-16,3.006,3.52,3.047,3.079,4316052.47
22,2021-10-15,2.758,3.089,2.904,3.05,2593492.52
23,2021-10-14,2.794,2.954,2.808,2.908,1122309.24
24,2021-10-13,2.732,2.896,2.831,2.806,891308.77
25,2021-10-12,2.684,2.845,2.832,2.829,1094448.69
26,2021-10-11,2.791,3.03,2.973,2.832,1369930.96
27,2021-10-10,2.959,3.292,3.285,2.974,987908.5
28,2021-10-09,3.111,3.336,3.168,3.285,1554207.67
29,2021-10-08,3.083,3.234,3.102,3.169,1427543.1
30,2021-10-07,3.01,3.786,3.085,3.101,6515560.35
31,2021-10-06,2.911,3.17,3.055,3.09,1406223.26
32,2021-10-05,2.96,3.068,2.979,3.053,830262.84
33,2021-10-04,2.923,3.056,3.045,2.979,579809.5
34,2021-10-03,3.006,3.103,3.077,3.043,657397.86
35,2021-10-02,2.985,3.127,3.046,3.076,824967.22
36,2021-10-01,2.837,3.381,2.862,3.047,848287.84
37,2021-09-30,2.764,2.91,2.764,2.862,603430.0
38,2021-09-29,2.756,2.86,2.756,2.768,490382.78
39,2021-09-28,2.75,2.932,2.905,2.758,714976.91
40,2021-09-27,2.899,3.016,2.922,2.904,418972.47
41,2021-09-26,2.83,3.039,3.039,2.919,1254487.92
42,2021-09-25,3.004,3.111,3.028,3.042,554465.84
43,2021-09-24,2.927,3.348,3.203,3.029,1887458.08
44,2021-09-23,3.133,3.248,3.207,3.201,795101.07
45,2021-09-22,2.99,3.397,3.011,3.208,867292.27
46,2021-09-21,2.983,3.24,3.17,3.011,1045027.29
47,2021-09-20,3.08,3.613,3.613,3.17,1279908.89
48,2021-09-19,3.606,3.849,3.743,3.61,835256.51
49,2021-09-18,3.483,4.29,3.494,3.74,1953059.12
50,2021-09-17,3.456,3.625,3.583,3.496,675979.85
51,2021-09-16,3.529,3.792,3.741,3.585,963643.05
52,2021-09-15,3.625,3.849,3.66,3.752,971840.76
53,2021-09-14,3.443,3.705,3.485,3.66,899177.51
54,2021-09-13,3.418,3.651,3.631,3.486,628043.1
55,2021-09-12,3.585,3.762,3.639,3.63,1063742.54
56,2021-09-11,3.602,4.139,4.001,3.639,1753262.03
57,2021-09-10,3.462,4.393,3.509,3.997,3729171.94
58,2021-09-09,3.405,3.565,3.485,3.509,2896237.25
59,2021-09-08,3.393,3.617,3.592,3.484,906975.44
60,2021-09-07,3.519,4.289,4.149,3.591,1023452.17
61,2021-09-06,4.073,4.366,4.231,4.146,844147.21
62,2021-09-05,4.109,4.272,4.11,4.233,654728.01
63,2021-09-04,4.063,4.218,4.16,4.109,421784.43
64,2021-09-03,3.9,4.5,3.954,4.16,1769225.77
65,2021-09-02,3.943,4.112,4.064,3.951,619291.94
66,2021-09-01,3.897,4.108,3.954,4.065,1165439.61
67,2021-08-31,3.802,4.057,3.997,3.958,1582114.04
68,2021-08-30,3.973,4.24,4.235,3.997,952384.12
69,2021-08-29,4.07,4.51,4.127,4.235,1404632.83
70,2021-08-28,3.967,4.208,3.994,4.124,988814.78
71,2021-08-27,3.564,4.065,3.702,3.989,1111300.22
72,2021-08-26,3.682,4.095,4.028,3.706,687192.45
73,2021-08-25,3.86,4.102,3.991,4.028,724374.58
74,2021-08-24,3.952,4.438,4.13,3.99,1221123.69
75,2021-08-23,4.108,4.291,4.238,4.13,660074.55
76,2021-08-22,4.084,4.354,4.279,4.246,631647.53
77,2021-08-21,4.243,4.517,4.51,4.284,551892.24
78,2021-08-20,4.41,4.99,4.491,4.507,968994.9
79,2021-08-19,4.427,4.93,4.443,4.495,1844341.97
80,2021-08-18,3.969,4.79,4.145,4.444,1783713.74
81,2021-08-17,3.855,4.859,3.922,4.142,2840793.92
82,2021-08-16,3.9,4.208,4.027,3.922,818268.56
83,2021-08-15,3.806,4.062,4.015,4.02,488372.84
84,2021-08-14,3.695,4.183,3.807,4.005,1089843.18
85,2021-08-13,3.393,3.86,3.405,3.807,795824.45
86,2021-08-12,3.328,3.785,3.631,3.405,731509.39
87,2021-08-11,3.374,3.896,3.423,3.631,911930.07
88,2021-08-10,3.301,3.754,3.431,3.421,734885.14
89,2021-08-09,3.15,3.51,3.213,3.439,536932.53
90,2021-08-08,3.192,3.443,3.438,3.215,275146.98
91,2021-08-07,3.315,3.578,3.326,3.44,522689.19
92,2021-08-06,3.091,3.374,3.136,3.328,681270.45
93,2021-08-05,2.962,3.148,3.071,3.136,450079.71
94,2021-08-04,2.891,3.25,2.923,3.072,648103.23
95,2021-08-03,2.833,2.987,2.964,2.924,159293.8
96,2021-08-02,2.897,3.002,2.946,2.962,241364.04
97,2021-08-01,2.931,3.27,2.969,2.946,689917.25
98,2021-07-31,2.91,3.02,2.959,2.964,361245.01
99,2021-07-30,2.869,2.984,2.928,2.959,367173.02
100,2021-07-29,2.879,2.979,2.905,2.928,261837.56
101,2021-07-28,2.86,2.96,2.912,2.908,181289.73
102,2021-07-27,2.872,3.06,2.982,2.917,244629.62
103,2021-07-26,2.921,3.121,2.934,2.992,799955.86
104,2021-07-25,2.764,2.936,2.799,2.93,391954.53
105,2021-07-24,2.737,2.865,2.76,2.796,319297.82
106,2021-07-23,2.673,2.823,2.762,2.761,399313.36
107,2021-07-22,2.681,2.764,2.732,2.762,276315.2
108,2021-07-21,2.576,2.787,2.635,2.728,419140.33
109,2021-07-20,2.491,2.862,2.774,2.636,612561.49
110,2021-07-19,2.75,2.975,2.967,2.774,231199.59
111,2021-07-18,2.939,3.09,3.001,2.964,180089.37
112,2021-07-17,2.956,3.134,3.116,2.996,308539.39
113,2021-07-16,3.112,3.417,3.361,3.116,243171.98
114,2021-07-15,3.266,3.701,3.284,3.366,890566.93
115,2021-07-14,3.164,3.376,3.342,3.278,494226.93
116,2021-07-13,3.325,3.526,3.523,3.34,551426.43
117,2021-07-12,3.518,3.77,3.74,3.523,238799.04
118,2021-07-11,3.696,3.767,3.727,3.735,120557.81
119,2021-07-10,3.674,3.835,3.72,3.739,346508.23
120,2021-07-09,3.585,3.788,3.695,3.72,349153.97
121,2021-07-08,3.669,3.958,3.953,3.698,277199.99
122,2021-07-07,3.78,4.26,3.831,3.948,1032541.42
123,2021-07-06,3.762,3.99,3.79,3.839,561554.74
124,2021-07-05,3.679,3.904,3.904,3.791,407306.73
125,2021-07-04,3.764,3.935,3.814,3.907,368137.5
126,2021-07-03,3.724,3.922,3.742,3.818,471123.03
127,2021-07-02,3.681,3.868,3.802,3.738,453236.62
128,2021-07-01,3.777,4.021,3.988,3.806,365544.72
129,2021-06-30,3.9,4.14,4.138,3.988,401400.2
130,2021-06-29,4.067,4.288,4.091,4.129,655178.87
131,2021-06-28,4.05,4.257,4.1,4.087,679783.78
132,2021-06-27,3.986,4.19,4.037,4.1,410859.68
133,2021-06-26,3.953,4.168,4.152,4.04,459680.71
134,2021-06-25,4.124,4.671,4.655,4.154,400613.79
135,2021-06-24,4.571,4.83,4.818,4.66,495683.93
136,2021-06-23,4.624,5.176,4.686,4.82,1088983.12
137,2021-06-22,4.419,5.116,4.561,4.686,2709328.68
138,2021-06-21,4.341,5.455,4.493,4.561,4299070.72
139,2021-06-20,4.307,4.688,4.608,4.497,499765.32
140,2021-06-19,4.594,5.167,5.141,4.612,1362876.76
141,2021-06-18,4.695,7.9,4.7,5.148,9458678.31
142,2021-06-17,3.871,4.99,3.871,4.697,2338666.13
143,2021-06-16,3.825,4.056,4.023,3.873,276545.47
144,2021-06-15,3.921,4.377,3.939,4.027,790560.56
145,2021-06-14,3.819,4.003,3.821,3.94,228336.33
146,2021-06-13,3.662,3.824,3.744,3.824,188075.26
147,2021-06-12,3.702,3.853,3.852,3.74,175464.83
148,2021-06-11,3.826,4.08,3.995,3.847,226878.99
149,2021-06-10,3.974,4.198,4.178,3.996,374131.6
150,2021-06-09,4.158,4.406,4.216,4.181,324765.98
151,2021-06-08,4.103,4.557,4.521,4.217,293295.5
152,2021-06-07,4.509,4.811,4.767,4.524,379979.67
153,2021-06-06,4.703,4.867,4.818,4.767,216056.96
154,2021-06-05,4.768,5.158,5.01,4.821,298110.64
155,2021-06-04,4.61,5.407,4.92,5.02,1587140.32
156,2021-06-03,4.77,4.955,4.898,4.92,796936.14
157,2021-06-02,4.737,4.989,4.789,4.9,478589.78
158,2021-06-01,4.75,5.077,4.968,4.789,528168.96
159,2021-05-31,4.579,5.184,4.695,4.968,963451.0
160,2021-05-30,4.507,4.795,4.64,4.69,978894.0
161,2021-05-29,4.516,5.238,5.171,4.646,1424567.79
162,2021-05-28,4.474,6.5,4.856,5.169,2907794.47
163,2021-05-27,4.819,5.475,5.415,4.855,1035819.31
164,2021-05-26,4.515,5.471,4.536,5.414,1526799.87
165,2021-05-25,3.9,4.716,4.178,4.54,1715626.42
166,2021-05-24,3.401,4.395,3.535,4.178,2151973.1
167,2021-05-23,3.273,4.98,4.691,3.562,1727645.98
168,2021-05-22,4.648,5.785,5.741,4.69,905866.49
169,2021-05-21,5.561,6.479,6.272,5.737,754731.68
170,2021-05-20,5.936,6.415,6.275,6.272,556164.97
171,2021-05-19,5.25,7.541,7.489,6.274,805949.62
172,2021-05-18,7.353,7.817,7.747,7.489,370528.3
173,2021-05-17,6.85,8.039,7.426,7.727,793343.51
174,2021-05-16,7.255,8.33,7.727,7.423,502332.11
175,2021-05-15,7.705,8.431,8.215,7.712,477938.05
176,2021-05-14,7.958,8.98,7.98,8.212,901439.59
177,2021-05-13,7.751,8.55,7.945,7.985,539367.0
178,2021-05-12,7.9,9.113,8.958,7.959,776243.7
179,2021-05-11,8.847,9.402,9.381,8.955,528734.77
180,2021-05-10,8.539,10.74,10.324,9.381,1288555.74
181,2021-05-09,9.8,11.0,10.096,10.314,2083079.35
182,2021-05-08,9.638,10.258,9.824,10.096,586589.68
183,2021-05-07,9.65,10.426,10.351,9.824,666984.24
184,2021-05-06,10.343,11.3,11.14,10.376,416879.3
