,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.997,1.0,0.999,1.0,81029.58
1,2021-12-19,0.998,1.003,1.0,1.0,146942.35
2,2021-12-18,0.992,1.003,0.999,1.0,688174.62
3,2021-12-17,0.998,1.002,1.0,0.999,193379.78
4,2021-12-16,0.997,1.001,0.999,1.0,146569.35
5,2021-12-15,0.99,1.001,0.998,0.999,223651.8
6,2021-12-14,0.981,1.003,1.0,0.998,640637.2
7,2021-12-13,0.996,1.003,0.998,1.0,204685.68
8,2021-12-12,0.995,1.003,1.0,0.998,282850.07
9,2021-12-11,0.993,1.01,1.002,1.002,307506.84
10,2021-12-10,0.991,1.004,0.997,1.002,412361.24
11,2021-12-09,0.995,0.998,0.998,0.995,4823.59
12,2021-12-08,0.995,0.998,0.995,0.996,211646.08
13,2021-12-07,0.995,1.002,0.996,0.997,4328.96
14,2021-12-06,0.995,1.005,0.996,0.996,46941.39
15,2021-12-05,0.995,0.996,0.996,0.996,5207.52
16,2021-12-04,0.995,0.997,0.995,0.995,22281.15
17,2021-12-03,0.996,1.001,1.0,0.996,9063.44
18,2021-12-02,0.996,1.003,0.999,1.0,119621.06
19,2021-12-01,0.993,0.999,0.995,0.997,201029.63
20,2021-11-30,0.995,0.999,0.997,0.995,77420.96
21,2021-11-29,0.995,1.0,0.996,0.996,63497.57
22,2021-11-28,0.994,0.996,0.995,0.995,90005.9
23,2021-11-27,0.995,0.997,0.996,0.995,25381.29
24,2021-11-26,0.995,0.997,0.996,0.996,18112.06
25,2021-11-25,0.995,0.997,0.995,0.996,208823.21
26,2021-11-24,0.994,0.996,0.995,0.995,36431.51
27,2021-11-23,0.994,1.0,0.999,0.995,1308948.62
28,2021-11-22,0.995,1.004,0.996,0.999,400372.52
29,2021-11-21,0.994,0.997,0.995,0.994,369463.89
30,2021-11-20,0.993,1.0,0.994,0.995,613851.6
31,2021-11-19,0.985,1.017,0.995,0.994,4226872.02
32,2021-11-18,0.994,3.89,1.031,0.995,9059454.94
