,Date,Open,High,Low,Close,Volume
0,2021-11-06,44.4918,46.2474,44.4918,45.9912,11099.375
1,2021-11-05,43.8022,45.0394,44.2377,44.5009,14725.817
2,2021-11-04,43.5,45.4991,45.2695,44.2147,22955.722
3,2021-11-03,43.676,45.9465,44.532,45.2695,38153.27
4,2021-11-02,43.4646,46.2999,43.8601,44.532,39107.394
5,2021-11-01,42.2716,44.68,43.0324,43.8459,27775.172
6,2021-10-31,42.2613,43.5346,42.6573,43.0947,28070.842
7,2021-10-30,41.1996,43.4731,42.1409,42.6543,29230.234
8,2021-10-29,41.3814,42.8217,41.9257,42.0552,21162.252
9,2021-10-28,40.095,42.2507,40.563,41.9063,47100.66
10,2021-10-27,40.3409,44.1673,43.1356,40.563,46821.589
11,2021-10-26,42.93,46.4999,43.6876,43.1311,36073.584
12,2021-10-25,42.61,44.3571,42.9801,43.7133,34231.718
13,2021-10-24,42.5102,48.2004,43.5698,43.03,84980.456
14,2021-10-23,43.06,44.096,43.3616,43.5985,12825.076
15,2021-10-22,43.0751,44.8424,43.462,43.3617,23365.847
16,2021-10-21,42.82,45.0923,43.4646,43.4414,40857.112
17,2021-10-20,42.42,44.1283,43.0368,43.4589,25817.027
18,2021-10-19,42.4672,43.9244,42.962,43.0347,24428.906
19,2021-10-18,42.356,45.3243,44.1418,43.0007,37842.572
20,2021-10-17,42.542,45.0,43.1175,44.0945,66177.668
21,2021-10-16,42.81,45.42,44.1491,43.1154,55804.667
22,2021-10-15,42.405,44.2877,43.3768,44.1502,43439.835
23,2021-10-14,43.2473,45.4659,45.0999,43.3397,46412.813
24,2021-10-13,44.48,46.0885,45.4459,45.1095,38308.871
25,2021-10-12,42.5244,47.2101,43.2344,45.3924,94647.045
26,2021-10-11,42.25,45.0139,43.3887,43.2548,106595.284
27,2021-10-10,43.099,47.2609,45.8833,43.3887,59767.538
28,2021-10-09,44.7452,48.8461,44.9492,45.8849,75578.696
29,2021-10-08,43.4593,46.0082,45.347,44.9487,79016.724
30,2021-10-07,44.249,45.8913,45.1277,45.2934,64318.945
31,2021-10-06,43.3589,46.1001,45.3475,45.1189,128530.205
32,2021-10-05,44.0327,45.5617,45.3255,45.3404,83658.863
33,2021-10-04,42.8654,46.0998,43.9521,45.2968,93201.66
34,2021-10-03,43.5062,45.1147,44.422,43.9473,45061.265
35,2021-10-02,44.0,45.4857,44.9333,44.5066,54241.007
36,2021-10-01,40.85,48.4013,41.3373,44.8798,118189.414
37,2021-09-30,39.9117,41.9581,39.9995,41.339,49302.8
38,2021-09-29,38.7373,41.5023,39.1658,40.0517,44366.442
39,2021-09-28,39.0481,43.6987,39.7811,39.1658,115218.351
40,2021-09-27,39.58,42.663,41.2328,39.8418,58627.463
41,2021-09-26,39.207,42.2503,41.7702,41.2484,43123.764
42,2021-09-25,40.1006,44.6907,41.3449,41.7626,59249.826
43,2021-09-24,38.7583,43.3366,42.6753,41.3262,71352.583
44,2021-09-23,41.0493,46.0,41.5061,42.675,116492.033
45,2021-09-22,36.4002,57.84,37.5704,41.5101,572686.542
46,2021-09-21,36.2865,42.368,39.1755,37.5243,88683.698
47,2021-09-20,38.65,45.5954,44.7946,39.1415,84755.059
48,2021-09-19,44.53,47.7142,46.1001,44.8075,49256.973
49,2021-09-18,44.2774,62.5635,44.9813,46.0338,245359.641
50,2021-09-17,42.32,44.9712,44.0798,44.9307,52340.632
51,2021-09-16,43.84,46.3535,45.1936,44.0814,52252.866
52,2021-09-15,43.417,45.6573,43.7688,45.1536,33285.067
53,2021-09-14,42.89,44.8364,43.3226,43.8461,44719.058
54,2021-09-13,42.2001,46.0508,45.6,43.3578,38418.021
55,2021-09-12,44.315,47.9301,47.3912,45.6,40984.138
56,2021-09-11,46.2074,53.5853,51.6596,47.4086,105107.632
57,2021-09-10,41.2483,55.4557,41.2483,51.5915,382746.851
58,2021-09-09,39.7398,43.0133,41.4399,41.2283,73384.414
59,2021-09-08,37.477,42.822,42.3791,41.4399,63877.427
60,2021-09-07,41.0,51.1538,50.2494,42.3791,45451.43
61,2021-09-06,47.8941,51.179,48.6713,50.3543,39406.147
62,2021-09-05,46.2147,49.2211,48.0675,48.7474,23128.227
63,2021-09-04,46.7372,50.2584,47.7544,48.0654,27510.154
64,2021-09-03,45.92,50.5,46.7126,47.7398,51325.617
65,2021-09-02,45.4837,47.4934,46.5004,46.5484,17173.265
66,2021-09-01,43.3197,48.0323,43.9412,46.5049,57540.912
67,2021-08-31,42.2036,45.4656,42.7964,43.9025,23401.959
68,2021-08-30,42.1759,45.8459,43.0873,42.7603,55349.784
69,2021-08-29,41.5694,43.7214,42.7838,43.0905,25388.452
70,2021-08-28,42.3056,44.7389,43.3032,42.7917,23181.328
71,2021-08-27,40.8341,43.4044,41.4633,43.2903,12735.039
72,2021-08-26,41.0414,44.6153,44.3712,41.4654,31384.424
73,2021-08-25,42.1071,44.7052,42.5297,44.351,23604.216
74,2021-08-24,42.042,44.9711,44.7256,42.5008,23087.248
75,2021-08-23,43.5862,45.4113,44.5388,44.6508,26879.464
76,2021-08-22,42.57,45.4418,42.7163,44.4853,35066.413
77,2021-08-21,42.0159,45.8685,42.8791,42.6952,53285.736
78,2021-08-20,40.7718,43.6937,40.9408,42.9176,56097.26
79,2021-08-19,37.7611,41.0398,38.508,40.9619,26533.239
80,2021-08-18,38.0,40.2992,39.3148,38.5283,39865.978
81,2021-08-17,39.0219,42.4386,40.66,39.3399,34418.37
82,2021-08-16,40.6574,43.7707,42.2606,40.7275,42494.962
83,2021-08-15,40.5807,42.2999,41.6927,42.2052,32606.196
84,2021-08-14,40.2105,43.155,42.8976,41.6927,21585.68
85,2021-08-13,39.41,43.2,39.5835,42.8837,29561.651
86,2021-08-12,38.5825,42.9904,41.3671,39.6042,40441.048
87,2021-08-11,39.5578,44.2,39.6479,41.4379,89636.81
88,2021-08-10,38.8054,40.9545,39.2608,39.6826,48731.817
89,2021-08-09,37.085,40.0,38.3026,39.2052,38416.874
90,2021-08-08,37.9809,40.4197,39.599,38.2566,52675.199
91,2021-08-07,38.7969,42.256,39.0133,39.6517,137293.742
92,2021-08-06,37.9119,39.5,39.1329,39.0263,39834.613
93,2021-08-05,37.5283,39.6438,38.8732,39.1962,41120.078
94,2021-08-04,37.2838,41.7421,37.7988,38.8646,110469.388
95,2021-08-03,37.51,52.818,38.5811,37.8338,384591.184
96,2021-08-02,36.86,38.9978,38.592,38.5319,34718.756
97,2021-08-01,38.0755,39.7809,38.4003,38.6173,45112.637
98,2021-07-31,37.7393,40.6322,38.7658,38.3502,71642.749
99,2021-07-30,36.0748,38.7658,38.1046,38.7136,35295.531
100,2021-07-29,35.8,38.7865,36.7991,38.1155,56725.864
101,2021-07-28,35.0543,37.1223,37.1223,36.7719,46157.309
102,2021-07-27,33.5416,37.9999,33.8401,37.1601,88293.671
103,2021-07-26,33.4896,37.6678,34.9847,33.8401,150800.877
104,2021-07-25,32.6066,39.0636,32.8479,35.0082,219519.61
105,2021-07-24,31.789,33.3317,32.3688,32.8479,39084.753
106,2021-07-23,30.61,32.3587,31.1834,32.3587,25620.294
107,2021-07-22,30.5641,31.4708,30.96,31.2244,29669.85
108,2021-07-21,29.0363,33.0,29.7628,30.97,52426.314
109,2021-07-20,26.9965,31.9223,28.6481,29.7682,105331.215
110,2021-07-19,28.4687,30.6183,30.4699,28.6215,22819.934
111,2021-07-18,30.3116,31.9995,30.5759,30.5323,22882.853
112,2021-07-17,30.06,33.0088,33.0088,30.5667,54887.726
113,2021-07-16,29.6775,33.9115,30.3179,33.0185,72996.722
114,2021-07-15,29.9,31.8945,31.4305,30.3179,51152.767
115,2021-07-14,28.8405,31.9876,31.6328,31.407,73099.998
116,2021-07-13,30.9758,36.7202,31.1657,31.5931,270747.036
117,2021-07-12,29.4785,32.1367,31.4259,31.1657,57464.113
118,2021-07-11,31.028,32.4627,31.3126,31.477,65597.672
119,2021-07-10,30.7268,32.8914,32.0746,31.3154,38609.4
120,2021-07-09,29.9985,34.6994,30.3424,32.076,92720.006
121,2021-07-08,29.98,33.1564,33.023,30.29,50406.436
122,2021-07-07,32.71,34.4125,32.9099,33.023,74312.834
123,2021-07-06,32.4698,35.0,33.4529,32.91,68101.153
124,2021-07-05,31.2037,35.5,32.1947,33.4744,129118.187
125,2021-07-04,31.2028,33.9553,31.8981,32.22,67422.957
126,2021-07-03,31.0704,33.1502,31.7216,31.8872,53724.565
127,2021-07-02,30.5773,33.4755,33.0672,31.6975,57244.43
128,2021-07-01,31.9326,37.857,36.1423,33.01,162253.507
129,2021-06-30,27.9,43.4285,29.3071,36.0999,433533.849
130,2021-06-29,28.6201,30.9939,29.2152,29.2534,43039.51
131,2021-06-28,27.62,29.9732,28.4842,29.1864,54804.656
132,2021-06-27,26.7004,28.8625,27.1516,28.5403,31083.747
133,2021-06-26,25.5612,28.188,26.7207,27.1027,50580.528
134,2021-06-25,26.6364,29.5,28.627,26.7733,32813.296
135,2021-06-24,27.3799,29.5,28.6761,28.6,28310.815
136,2021-06-23,26.6561,31.1508,27.3871,28.6646,65473.636
137,2021-06-22,24.0,33.3668,30.2229,27.4521,102706.415
138,2021-06-21,30.08,36.6684,36.6,30.1701,40409.258
139,2021-06-20,35.0491,37.3533,36.5609,36.5508,18645.095
140,2021-06-19,36.39,38.8908,38.6768,36.613,42477.386
141,2021-06-18,38.0044,40.7198,38.6479,38.6571,59869.279
142,2021-06-17,38.2888,42.2586,38.4075,38.7123,43325.39
143,2021-06-16,38.0228,42.211,40.7089,38.3323,39800.905
144,2021-06-15,40.2771,43.1177,40.7339,40.737,36486.813
145,2021-06-14,38.99,41.5714,39.5522,40.6699,46448.579
146,2021-06-13,36.6591,40.0,38.3376,39.5513,48088.195
147,2021-06-12,36.21,39.96,38.8743,38.339,64477.499
148,2021-06-11,38.5927,42.7629,41.0218,38.9708,60123.674
149,2021-06-10,40.2232,46.2402,45.9521,40.8629,72117.555
150,2021-06-09,40.6109,50.12,42.601,45.962,138886.289
151,2021-06-08,40.0,45.0285,43.6404,42.5972,90726.467
152,2021-06-07,43.0331,49.6549,48.3238,43.6473,88382.138
153,2021-06-06,47.554,52.7416,48.6006,48.2031,203806.747
154,2021-06-05,46.1678,56.4322,47.2924,48.6332,366309.324
155,2021-06-04,45.021,50.2653,50.0496,47.2413,103705.804
156,2021-06-03,48.6,54.0,49.2099,50.0411,194793.353
157,2021-06-02,48.35,50.7018,49.1332,49.2059,74857.602
158,2021-06-01,48.3485,53.5449,52.2003,49.1508,166903.611
159,2021-05-31,50.1989,54.9,52.66,52.1711,180010.851
160,2021-05-30,49.9188,62.0,54.5749,52.69,643397.02
161,2021-05-29,39.7453,68.8638,40.558,54.5367,1213574.558
162,2021-05-28,39.845,48.5008,47.8699,40.4791,78273.42
163,2021-05-27,45.1,54.3251,53.3753,47.8344,306012.159
164,2021-05-26,41.2388,60.0367,42.5467,53.3752,274918.845
165,2021-05-25,38.3436,43.5606,40.5056,42.5377,70263.788
166,2021-05-24,33.0373,43.7,34.4393,40.4772,158489.055
167,2021-05-23,28.0,42.9999,37.8,34.3424,246184.271
168,2021-05-22,35.3708,42.5655,40.3747,37.9687,68880.698
169,2021-05-21,37.5429,53.0,48.851,40.3612,97790.975
170,2021-05-20,36.4844,51.5875,40.5646,48.854,144910.234
171,2021-05-19,37.839,62.8051,61.923,40.5532,231313.543
172,2021-05-18,60.4429,72.9999,66.8759,61.93,242243.495
173,2021-05-17,63.0,88.7,76.0,66.9217,828561.836
