,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.6949,0.7465,0.7323,0.7173,2050087.137105
1,2021-12-19,0.7222,0.7732,0.7222,0.7321,5977569.468506
2,2021-12-18,0.7023,0.7275,0.7097,0.7215,977678.17066
3,2021-12-17,0.6917,0.7381,0.7248,0.709,2236553.086
4,2021-12-16,0.7189,0.7508,0.7439,0.7248,2744934.477473
5,2021-12-15,0.6815,0.7483,0.7314,0.7437,3096967.94315
6,2021-12-14,0.7031,0.76,0.7508,0.7315,3970185.060874
7,2021-12-13,0.7087,0.8186,0.7532,0.75,13943432.75606
8,2021-12-12,0.73,0.7741,0.7556,0.7532,2087134.308881
9,2021-12-11,0.7245,0.7745,0.7307,0.7556,2219027.695839
10,2021-12-10,0.7211,0.7621,0.7458,0.7307,3037432.010276
11,2021-12-09,0.7372,0.8074,0.8068,0.7459,3573282.435837
12,2021-12-08,0.7468,0.82,0.7972,0.8066,4238562.440642
13,2021-12-07,0.7721,0.8148,0.7811,0.7967,3808879.101324
14,2021-12-06,0.7003,0.7969,0.7675,0.7812,7665619.354126
15,2021-12-05,0.7318,0.8098,0.7966,0.7676,8173505.050611
16,2021-12-04,0.7117,0.8811,0.8472,0.797,13496670.920392
17,2021-12-03,0.8026,0.9053,0.8883,0.8481,10602416.194155
18,2021-12-02,0.8685,0.9498,0.9498,0.8881,10748529.243539
19,2021-12-01,0.8961,1.0,0.9081,0.9495,21189800.866177
20,2021-11-30,0.86,0.94,0.9266,0.9078,12433315.472046
21,2021-11-29,0.8965,0.9795,0.9287,0.926,13549589.726862
22,2021-11-28,0.8668,1.19,0.9915,0.9289,60809216.844526
23,2021-11-27,0.7875,1.3,0.7936,0.9918,111913801.66144
24,2021-11-26,0.7512,0.8922,0.836,0.7943,14021731.971548
25,2021-11-25,0.8096,0.8478,0.8236,0.8358,4989761.373526
26,2021-11-24,0.7967,0.8486,0.8486,0.8236,5246417.928649
27,2021-11-23,0.8145,0.859,0.8364,0.8478,5142073.181415
28,2021-11-22,0.8213,0.8949,0.8894,0.8366,4849680.584528
29,2021-11-21,0.8869,0.9546,0.8994,0.8896,11419999.92028
30,2021-11-20,0.8379,0.9645,0.8468,0.8985,14725161.067266
31,2021-11-19,0.7847,0.865,0.8107,0.8468,11014069.655315
32,2021-11-18,0.786,0.9222,0.8955,0.8093,11122780.423287
33,2021-11-17,0.83,0.9276,0.8818,0.8957,14558908.235572
34,2021-11-16,0.8202,0.9597,0.9592,0.8818,16397186.676006
35,2021-11-15,0.95,1.0596,1.0394,0.9585,26838063.547256
36,2021-11-14,1.01,1.2678,1.1188,1.0389,104565871.082787
37,2021-11-13,0.8512,1.35,0.8571,1.1189,91004996.582396
38,2021-11-12,0.8333,0.8744,0.8705,0.8571,4712064.63562
39,2021-11-11,0.835,0.8848,0.8532,0.8707,3652527.094522
40,2021-11-10,0.8053,0.9226,0.8965,0.8541,8692935.972789
41,2021-11-09,0.8944,0.9188,0.916,0.8965,5801646.451067
42,2021-11-08,0.9001,0.9224,0.9223,0.9166,4603730.666278
