,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.989,1.016,0.997,1.012,445719.44
1,2021-11-05,0.984,1.087,1.054,0.997,5272276.99
2,2021-11-04,1.024,1.136,1.055,1.054,7240248.69
3,2021-11-03,1.013,1.14,1.133,1.054,9152602.09
4,2021-11-02,1.017,1.245,1.029,1.133,14560890.51
5,2021-11-01,0.955,1.094,1.01,1.028,11346156.74
6,2021-10-31,0.949,1.299,1.119,1.011,30130277.58
7,2021-10-30,0.861,1.21,0.895,1.121,33843155.61
8,2021-10-29,0.793,0.93,0.8,0.895,11625521.9
9,2021-10-28,0.745,0.809,0.75,0.8,5324307.44
10,2021-10-27,0.729,0.894,0.882,0.75,8987051.69
11,2021-10-26,0.821,0.89,0.837,0.881,5758906.7
12,2021-10-25,0.804,0.838,0.812,0.835,2153456.62
13,2021-10-24,0.788,0.836,0.831,0.812,2323597.25
14,2021-10-23,0.816,0.842,0.836,0.83,1695764.19
15,2021-10-22,0.823,0.868,0.831,0.837,2547450.15
16,2021-10-21,0.821,0.895,0.867,0.832,6307030.46
17,2021-10-20,0.821,0.878,0.833,0.869,5237381.75
18,2021-10-19,0.809,0.844,0.822,0.831,3647710.34
19,2021-10-18,0.792,0.846,0.837,0.822,4138762.29
20,2021-10-17,0.803,0.893,0.862,0.836,4918381.03
21,2021-10-16,0.826,0.925,0.835,0.861,9887727.83
22,2021-10-15,0.783,0.842,0.821,0.834,6340696.45
23,2021-10-14,0.802,0.846,0.821,0.819,3188031.73
24,2021-10-13,0.768,0.821,0.797,0.82,3980049.11
25,2021-10-12,0.744,0.805,0.804,0.796,4469961.65
26,2021-10-11,0.779,0.867,0.826,0.806,3915867.71
27,2021-10-10,0.82,0.896,0.896,0.825,3503036.43
28,2021-10-09,0.882,0.928,0.893,0.894,3769914.51
29,2021-10-08,0.885,0.944,0.902,0.892,4719290.44
30,2021-10-07,0.871,0.931,0.901,0.902,6148094.37
31,2021-10-06,0.851,0.935,0.932,0.9,6187850.42
32,2021-10-05,0.887,0.964,0.944,0.932,5819971.01
33,2021-10-04,0.81,0.956,0.853,0.944,14383222.08
34,2021-10-03,0.826,0.877,0.85,0.854,4408619.45
35,2021-10-02,0.812,0.906,0.853,0.849,5963569.28
36,2021-10-01,0.728,0.857,0.743,0.853,6910483.91
37,2021-09-30,0.704,0.746,0.707,0.743,2404315.94
38,2021-09-29,0.687,0.747,0.692,0.708,3248891.51
39,2021-09-28,0.688,0.743,0.715,0.693,3804932.81
40,2021-09-27,0.714,0.779,0.733,0.714,3163259.12
41,2021-09-26,0.681,0.768,0.759,0.733,4299911.31
42,2021-09-25,0.728,0.784,0.772,0.76,2804884.8
43,2021-09-24,0.706,0.882,0.866,0.771,7849077.97
44,2021-09-23,0.79,0.881,0.808,0.865,5114514.32
45,2021-09-22,0.698,0.816,0.719,0.806,5588566.63
46,2021-09-21,0.706,0.862,0.836,0.718,8254725.95
47,2021-09-20,0.801,1.017,1.015,0.836,8671790.65
48,2021-09-19,0.997,1.087,1.068,1.014,3462664.89
49,2021-09-18,1.034,1.144,1.061,1.068,5165743.88
50,2021-09-17,1.04,1.141,1.131,1.062,5914807.9
51,2021-09-16,1.01,1.24,1.038,1.132,15226411.69
52,2021-09-15,0.966,1.051,0.978,1.037,4883051.54
53,2021-09-14,0.912,0.99,0.921,0.979,3402086.02
54,2021-09-13,0.871,1.008,0.998,0.92,4253887.44
55,2021-09-12,0.92,1.029,0.949,0.996,3162131.35
56,2021-09-11,0.913,0.986,0.932,0.946,2841854.31
57,2021-09-10,0.903,1.049,1.004,0.93,5398115.23
58,2021-09-09,0.954,1.051,0.992,1.005,7595465.73
