,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.34,0.3689,0.3659,0.3532,17588282
1,2021-12-19,0.3607,0.3913,0.3615,0.3659,40732165
2,2021-12-18,0.3475,0.3815,0.354,0.3615,27814594
3,2021-12-17,0.3421,0.3738,0.3647,0.3546,6459765
4,2021-12-16,0.3641,0.3835,0.3721,0.365,3036941
5,2021-12-15,0.3479,0.3804,0.3724,0.3717,11557817
6,2021-12-14,0.359,0.3801,0.3801,0.3725,9943684
7,2021-12-13,0.3747,0.4367,0.4281,0.3804,36001432
8,2021-12-12,0.3781,0.4593,0.3801,0.4282,22552488
9,2021-12-11,0.3668,0.3874,0.3675,0.38,4784357
10,2021-12-10,0.3655,0.3988,0.383,0.3678,5574321
11,2021-12-09,0.379,0.4275,0.418,0.3827,7776405
12,2021-12-08,0.3967,0.4246,0.4026,0.4181,10578864
13,2021-12-07,0.3981,0.4222,0.4089,0.4027,9128335
14,2021-12-06,0.3671,0.412,0.401,0.4087,16041358
15,2021-12-05,0.382,0.4321,0.4249,0.4008,10221553
16,2021-12-04,0.3824,0.471,0.4661,0.4248,15801197
17,2021-12-03,0.4517,0.5309,0.4814,0.4658,21760234
18,2021-12-02,0.4688,0.4899,0.4899,0.4812,8977963
19,2021-12-01,0.4862,0.5124,0.4958,0.4907,14056264
20,2021-11-30,0.4951,0.5327,0.5154,0.4958,15659982
21,2021-11-29,0.5,0.5518,0.5036,0.5154,16226523
22,2021-11-28,0.4661,0.5115,0.5115,0.5036,12396792
23,2021-11-27,0.4814,0.5473,0.483,0.5117,25929317
24,2021-11-26,0.469,0.579,0.5203,0.4831,62360192
25,2021-11-25,0.4748,0.537,0.4779,0.5205,24716944
26,2021-11-24,0.4629,0.5032,0.5017,0.4775,15831285
27,2021-11-23,0.4864,0.523,0.5057,0.5015,15820750
28,2021-11-22,0.4995,0.5394,0.5153,0.5057,16675288
29,2021-11-21,0.5136,0.5467,0.5394,0.5151,15185099
30,2021-11-20,0.52,0.5566,0.5291,0.5382,13196242
31,2021-11-19,0.4894,0.5426,0.4976,0.529,16892021
32,2021-11-18,0.4924,0.5728,0.5607,0.4973,18502074
33,2021-11-17,0.532,0.5918,0.555,0.5608,22967390
34,2021-11-16,0.537,0.6182,0.6176,0.556,23013110
35,2021-11-15,0.6114,0.6629,0.6568,0.6154,19261500
36,2021-11-14,0.6351,0.725,0.6686,0.6566,39575653
37,2021-11-13,0.5907,0.722,0.6059,0.6695,50066997
38,2021-11-12,0.5721,0.659,0.6419,0.6058,27483572
39,2021-11-11,0.6413,0.7593,0.6875,0.6426,76480282
40,2021-11-10,0.5832,0.77,0.6193,0.6875,111282612
41,2021-11-09,0.56,0.6895,0.5937,0.6198,80098001
42,2021-11-08,0.5091,0.6791,0.5105,0.5939,133087416
43,2021-11-07,0.4935,0.5207,0.4961,0.51,19164670
44,2021-11-06,0.4776,0.5156,0.4898,0.4964,12512864
45,2021-11-05,0.4748,0.5375,0.484,0.49,30597237
46,2021-11-04,0.48,0.5295,0.5153,0.4836,31397343
47,2021-11-03,0.512,0.6618,0.5721,0.5151,74273043
48,2021-11-02,0.4532,0.748,0.4726,0.5721,234758896
49,2021-11-01,0.4126,0.4846,0.4263,0.4727,42980389
50,2021-10-31,0.4101,0.47,0.4107,0.4262,33000545
51,2021-10-30,0.4065,0.437,0.4231,0.4107,12527972
52,2021-10-29,0.4118,0.4391,0.4175,0.4231,8545254
53,2021-10-28,0.3822,0.4474,0.392,0.4173,20092715
54,2021-10-27,0.3877,0.4458,0.442,0.3919,21847168
55,2021-10-26,0.4394,0.4717,0.4499,0.4417,16018871
56,2021-10-25,0.4297,0.4636,0.4326,0.4498,14481005
57,2021-10-24,0.4299,0.4767,0.4652,0.4326,17982895
