,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.0,1.01,1.0,1.0,26692.67
1,2021-11-05,1.0,1.01,1.01,1.0,127045.48
2,2021-11-04,1.0,1.01,1.01,1.01,513174.35
3,2021-11-03,0.99,1.01,1.01,1.0,286573.76
4,2021-11-02,1.0,1.01,1.0,1.01,281328.61
5,2021-11-01,0.99,1.01,1.01,1.01,135231.87
6,2021-10-31,1.0,1.01,1.0,1.01,189221.41
7,2021-10-30,0.99,1.01,1.0,1.0,156612.23
8,2021-10-29,0.99,1.0,0.99,1.0,205303.9
9,2021-10-28,0.99,1.0,1.0,1.0,518485.21
10,2021-10-27,0.99,1.0,1.0,0.99,176752.23
11,2021-10-26,0.99,1.0,1.0,0.99,173610.7
12,2021-10-25,0.99,1.0,0.99,1.0,182320.47
13,2021-10-24,0.99,1.0,0.99,0.99,323848.26
14,2021-10-23,0.99,1.0,1.0,1.0,216681.79
15,2021-10-22,0.99,1.01,1.0,0.99,237214.98
16,2021-10-21,0.99,1.01,1.01,1.0,180384.57
17,2021-10-20,0.99,1.01,1.01,1.0,258257.01
18,2021-10-19,0.99,1.01,1.0,1.01,116417.62
19,2021-10-18,0.99,1.0,0.99,1.0,122105.33
20,2021-10-17,0.99,1.0,0.99,1.0,138345.06
21,2021-10-16,0.99,1.0,0.99,0.99,135699.26
22,2021-10-15,0.99,1.0,0.99,1.0,253886.67
23,2021-10-14,0.99,1.0,1.0,0.99,150267.59
24,2021-10-13,0.99,1.0,1.0,0.99,68228.4
25,2021-10-12,0.99,1.0,0.99,1.0,83878.38
26,2021-10-11,0.99,1.0,1.0,1.0,173069.99
27,2021-10-10,0.99,1.0,1.0,1.0,170473.49
28,2021-10-09,0.99,1.01,1.0,0.99,60264.12
29,2021-10-08,0.99,1.01,1.0,0.99,298343.28
30,2021-10-07,0.99,1.01,1.0,1.0,138194.93
31,2021-10-06,0.99,1.01,1.0,1.0,127316.49
32,2021-10-05,0.99,1.01,0.99,1.0,154920.4
33,2021-10-04,0.99,1.01,1.0,0.99,139670.19
