,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.99,1.0,0.99,0.99,108043.76
1,2021-12-19,0.99,1.0,1.0,1.0,63690.82
2,2021-12-18,0.99,1.0,0.99,0.99,49572.74
3,2021-12-17,0.99,1.0,1.0,1.0,84232.3
4,2021-12-16,0.99,1.0,0.99,0.99,62739.55
5,2021-12-15,0.99,1.01,1.0,1.0,95650.84
6,2021-12-14,0.99,1.01,1.0,1.0,98490.18
7,2021-12-13,0.99,1.0,1.0,1.0,302093.36
8,2021-12-12,0.99,1.0,0.99,0.99,25441.11
9,2021-12-11,0.99,1.0,1.0,0.99,54054.19
10,2021-12-10,0.99,1.01,0.99,0.99,155994.31
11,2021-12-09,0.99,1.01,1.0,0.99,75502.5
12,2021-12-08,0.99,1.01,1.0,1.01,86903.84
13,2021-12-07,0.99,1.01,0.99,1.0,149806.96
14,2021-12-06,0.99,1.0,0.99,1.0,189695.89
15,2021-12-05,0.99,1.0,0.99,0.99,208985.7
16,2021-12-04,0.99,1.01,1.0,0.99,519982.6
17,2021-12-03,0.99,1.01,1.0,0.99,134586.07
18,2021-12-02,0.99,1.0,0.99,0.99,161439.74
19,2021-12-01,0.99,1.0,1.0,0.99,182656.85
20,2021-11-30,0.99,1.0,1.0,0.99,206440.56
21,2021-11-29,0.99,1.01,1.01,1.0,274643.77
22,2021-11-28,0.99,1.01,1.01,1.01,89437.96
23,2021-11-27,0.99,1.01,1.0,1.0,38694.5
24,2021-11-26,0.99,1.01,1.0,0.99,349903.48
25,2021-11-25,1.0,1.01,1.01,1.0,267186.01
26,2021-11-24,1.0,1.01,1.01,1.01,308080.99
27,2021-11-23,1.0,1.01,1.0,1.0,179621.88
28,2021-11-22,1.0,1.01,1.0,1.01,424832.94
29,2021-11-21,1.0,1.01,1.01,1.01,121367.8
30,2021-11-20,0.99,1.01,0.99,1.0,158171.05
31,2021-11-19,0.99,1.01,1.0,1.01,193942.54
32,2021-11-18,1.0,1.01,1.0,1.0,340365.89
33,2021-11-17,1.0,1.01,1.0,1.01,418995.55
34,2021-11-16,1.0,1.01,1.01,1.0,498363.64
35,2021-11-15,1.0,1.01,1.01,1.01,246851.35
36,2021-11-14,1.0,1.01,1.0,1.01,150248.92
37,2021-11-13,1.0,1.01,1.01,1.0,108481.74
38,2021-11-12,1.0,1.01,1.0,1.01,104585.41
39,2021-11-11,1.0,1.01,1.01,1.01,111014.71
40,2021-11-10,1.0,1.01,1.0,1.01,144097.78
41,2021-11-09,1.0,1.01,1.01,1.0,198484.51
42,2021-11-08,1.0,1.01,1.0,1.01,121941.51
43,2021-11-07,0.99,1.01,1.01,1.01,89560.38
44,2021-11-06,0.99,1.01,1.0,1.01,130492.98
45,2021-11-05,1.0,1.01,1.01,1.0,127045.48
46,2021-11-04,1.0,1.01,1.01,1.01,513174.35
47,2021-11-03,0.99,1.01,1.01,1.0,286573.76
48,2021-11-02,1.0,1.01,1.0,1.01,281328.61
49,2021-11-01,0.99,1.01,1.01,1.01,135231.87
50,2021-10-31,1.0,1.01,1.0,1.01,189221.41
51,2021-10-30,0.99,1.01,1.0,1.0,156612.23
52,2021-10-29,0.99,1.0,0.99,1.0,205303.9
53,2021-10-28,0.99,1.0,1.0,1.0,518485.21
54,2021-10-27,0.99,1.0,1.0,0.99,176752.23
55,2021-10-26,0.99,1.0,1.0,0.99,173610.7
56,2021-10-25,0.99,1.0,0.99,1.0,182320.47
57,2021-10-24,0.99,1.0,0.99,0.99,323848.26
58,2021-10-23,0.99,1.0,1.0,1.0,216681.79
59,2021-10-22,0.99,1.01,1.0,0.99,237214.98
60,2021-10-21,0.99,1.01,1.01,1.0,180384.57
61,2021-10-20,0.99,1.01,1.01,1.0,258257.01
62,2021-10-19,0.99,1.01,1.0,1.01,116417.62
63,2021-10-18,0.99,1.0,0.99,1.0,122105.33
64,2021-10-17,0.99,1.0,0.99,1.0,138345.06
65,2021-10-16,0.99,1.0,0.99,0.99,135699.26
66,2021-10-15,0.99,1.0,0.99,1.0,253886.67
67,2021-10-14,0.99,1.0,1.0,0.99,150267.59
68,2021-10-13,0.99,1.0,1.0,0.99,68228.4
69,2021-10-12,0.99,1.0,0.99,1.0,83878.38
70,2021-10-11,0.99,1.0,1.0,1.0,173069.99
71,2021-10-10,0.99,1.0,1.0,1.0,170473.49
72,2021-10-09,0.99,1.01,1.0,0.99,60264.12
73,2021-10-08,0.99,1.01,1.0,0.99,298343.28
74,2021-10-07,0.99,1.01,1.0,1.0,138194.93
75,2021-10-06,0.99,1.01,1.0,1.0,127316.49
76,2021-10-05,0.99,1.01,0.99,1.0,154920.4
77,2021-10-04,0.99,1.01,1.0,0.99,139670.19
78,2021-10-03,0.99,1.01,1.0,1.01,105870.45
79,2021-10-02,0.99,1.01,1.0,0.99,174501.48
80,2021-10-01,0.99,1.0,1.0,1.0,465784.89
81,2021-09-30,0.99,1.01,1.01,1.0,114544.29
82,2021-09-29,1.0,1.01,1.0,1.0,51355.29
83,2021-09-28,0.99,1.01,1.0,1.0,154962.97
84,2021-09-27,0.99,1.01,1.0,0.99,188428.46
85,2021-09-26,1.0,1.01,1.01,1.01,164322.04
86,2021-09-25,1.0,1.01,1.01,1.0,253668.11
87,2021-09-24,1.0,1.01,1.01,1.01,274065.53
88,2021-09-23,1.0,1.01,1.0,1.01,191760.31
89,2021-09-22,1.0,1.01,1.01,1.01,313329.37
90,2021-09-21,1.0,1.01,1.01,1.01,336491.76
91,2021-09-20,0.99,1.01,0.99,1.0,545501.81
92,2021-09-19,0.99,1.0,1.0,1.0,87671.92
93,2021-09-18,0.99,1.0,0.99,0.99,101149.81
94,2021-09-17,0.99,1.0,0.99,0.99,171347.87
95,2021-09-16,0.99,1.0,1.0,0.99,79143.13
96,2021-09-15,0.99,1.0,1.0,0.99,127399.13
97,2021-09-14,0.99,1.01,1.01,1.0,324594.0
98,2021-09-13,1.0,1.01,1.01,1.01,246679.7
99,2021-09-12,1.0,1.01,1.01,1.01,65772.66
100,2021-09-11,1.0,1.01,1.01,1.01,114947.67
101,2021-09-10,1.0,1.01,1.0,1.0,129541.81
102,2021-09-09,1.0,1.01,1.0,1.0,325679.53
103,2021-09-08,1.0,1.01,1.0,1.01,307888.41
104,2021-09-07,1.0,1.01,1.0,1.01,270472.23
105,2021-09-06,1.0,1.01,1.0,1.0,88775.64
106,2021-09-05,1.0,1.01,1.0,1.0,71484.82
107,2021-09-04,1.0,1.01,1.01,1.01,244461.83
108,2021-09-03,1.0,1.01,1.01,1.01,106158.02
109,2021-09-02,1.0,1.01,1.0,1.0,250342.15
110,2021-09-01,1.0,1.01,1.01,1.01,127658.38
111,2021-08-31,1.0,1.01,1.0,1.01,166464.93
112,2021-08-30,1.0,1.01,1.01,1.0,194002.02
113,2021-08-29,1.0,1.01,1.0,1.01,93009.36
114,2021-08-28,1.0,1.01,1.0,1.01,97463.1
115,2021-08-27,1.0,1.01,1.0,1.01,102403.56
116,2021-08-26,1.0,1.01,1.01,1.01,87497.93
117,2021-08-25,1.0,1.01,1.0,1.01,198764.01
118,2021-08-24,1.0,1.01,1.0,1.01,269719.44
119,2021-08-23,1.0,1.01,1.01,1.0,112749.63
120,2021-08-22,1.0,1.01,1.01,1.01,69294.96
121,2021-08-21,1.0,1.01,1.0,1.01,108146.76
122,2021-08-20,1.0,1.01,1.01,1.01,149038.12
123,2021-08-19,1.0,1.01,1.01,1.01,163791.37
124,2021-08-18,1.0,1.01,1.01,1.0,308950.21
125,2021-08-17,1.0,1.01,1.0,1.0,129781.96
126,2021-08-16,1.0,1.01,1.01,1.01,342890.25
127,2021-08-15,1.0,1.01,1.01,1.01,112993.02
128,2021-08-14,1.0,1.01,1.01,1.01,101960.01
129,2021-08-13,1.0,1.01,1.01,1.0,158733.21
130,2021-08-12,1.0,1.01,1.0,1.0,336739.04
131,2021-08-11,1.0,1.01,1.01,1.0,250500.35
132,2021-08-10,1.0,1.01,1.01,1.0,268107.57
133,2021-08-09,1.0,1.01,1.01,1.0,346859.74
134,2021-08-08,1.0,1.01,1.0,1.0,250209.15
135,2021-08-07,1.0,1.01,1.01,1.0,275848.57
136,2021-08-06,1.0,1.01,1.01,1.0,265013.22
137,2021-08-05,1.0,1.01,1.0,1.01,115917.98
138,2021-08-04,1.0,1.01,1.0,1.01,70145.14
139,2021-08-03,1.0,1.01,1.0,1.01,71940.65
140,2021-08-02,1.0,1.01,1.0,1.0,102762.38
141,2021-08-01,1.0,1.01,1.01,1.0,236649.88
142,2021-07-31,1.0,1.01,1.01,1.0,186591.49
143,2021-07-30,1.0,1.03,1.01,1.01,301924.77
144,2021-07-29,0.99,1.02,1.01,1.01,176525.38
