,Date,Open,High,Low,Close,Volume
0,2021-11-06,17.05,17.45,17.33,17.07,6520.696
1,2021-11-05,16.71,17.53,17.03,17.34,77822.122
2,2021-11-04,16.33,17.24,16.99,17.03,100268.298
3,2021-11-03,16.24,18.69,17.38,17.0,177583.621
4,2021-11-02,15.96,17.58,16.36,17.36,109250.069
5,2021-11-01,15.69,17.02,16.43,16.33,98564.266
6,2021-10-31,16.21,17.55,16.98,16.44,111148.858
7,2021-10-30,16.32,17.03,16.79,16.98,126430.999
8,2021-10-29,15.7,16.83,16.47,16.81,124161.184
9,2021-10-28,15.65,16.55,15.81,16.5,107998.659
10,2021-10-27,15.39,18.05,17.01,15.76,325947.025
11,2021-10-26,16.35,17.79,16.42,17.05,146725.23
12,2021-10-25,16.12,16.62,16.18,16.42,84554.644
13,2021-10-24,15.45,16.37,16.22,16.18,54190.97
14,2021-10-23,15.85,16.57,15.98,16.25,73969.694
15,2021-10-22,15.42,16.73,16.16,15.98,150703.311
16,2021-10-21,15.52,16.77,16.2,16.16,221744.431
17,2021-10-20,15.31,16.34,16.14,16.2,114056.239
18,2021-10-19,15.83,16.59,16.3,16.14,100466.804
