,Date,Open,High,Low,Close,Volume
0,2021-12-20,9.42,10.26,9.81,10.04,213506.391
1,2021-12-19,9.12,9.9,9.43,9.81,46896.744
2,2021-12-18,8.96,9.58,9.26,9.46,102301.776
3,2021-12-17,8.24,9.33,9.08,9.25,103804.324
4,2021-12-16,8.65,9.21,8.96,9.07,51320.46
5,2021-12-15,8.16,8.99,8.72,8.95,61322.657
6,2021-12-14,8.32,8.91,8.63,8.75,73830.622
7,2021-12-13,8.35,9.43,9.34,8.63,67705.858
8,2021-12-12,9.34,9.68,9.65,9.35,40773.978
9,2021-12-11,8.89,9.79,9.12,9.64,85011.228
10,2021-12-10,9.08,10.11,9.94,9.12,76872.272
11,2021-12-09,9.8,11.31,11.11,9.95,75671.082
12,2021-12-08,10.4,11.21,11.11,11.1,94343.106
13,2021-12-07,10.99,11.71,11.34,11.09,62645.988
14,2021-12-06,10.27,11.5,11.02,11.36,155154.771
15,2021-12-05,10.72,11.91,11.7,11.07,87520.306
16,2021-12-04,10.53,12.62,12.55,11.65,155299.935
17,2021-12-03,12.25,13.18,13.16,12.57,97206.941
18,2021-12-02,12.39,13.4,13.05,13.17,153115.745
19,2021-12-01,12.48,13.2,12.61,13.05,217426.452
20,2021-11-30,12.32,13.47,12.98,12.64,160466.089
21,2021-11-29,12.45,13.01,12.82,13.01,110288.31
22,2021-11-28,11.3,12.85,12.74,12.78,314363.107
23,2021-11-27,11.85,12.74,12.42,12.72,504252.436
24,2021-11-26,12.36,14.91,14.89,12.42,99946.278
25,2021-11-25,14.09,14.99,14.43,14.88,67127.892
26,2021-11-24,14.29,15.23,15.07,14.41,37795.753
27,2021-11-23,14.78,15.47,14.85,15.13,51124.715
28,2021-11-22,14.52,15.62,15.25,14.85,84837.149
29,2021-11-21,14.79,15.69,15.28,15.29,87024.494
30,2021-11-20,14.5,15.46,15.04,15.23,55200.858
31,2021-11-19,13.62,15.08,14.03,15.03,180592.673
32,2021-11-18,13.77,15.63,15.47,14.03,135036.393
33,2021-11-17,14.64,15.67,15.31,15.47,156385.004
34,2021-11-16,14.75,16.4,16.4,15.3,98656.781
35,2021-11-15,16.4,17.66,17.26,16.4,90276.056
36,2021-11-14,16.91,17.86,17.35,17.27,107922.136
37,2021-11-13,17.25,18.73,17.52,17.29,381256.018
38,2021-11-12,14.6,23.67,16.74,17.52,685095.918
39,2021-11-11,16.55,17.25,16.76,16.77,49969.624
40,2021-11-10,16.29,17.71,17.7,16.76,127156.533
41,2021-11-09,17.65,19.03,17.99,17.65,118060.003
42,2021-11-08,17.35,18.5,17.43,17.99,123712.967
43,2021-11-07,17.26,17.76,17.34,17.44,71215.069
44,2021-11-06,16.51,17.58,17.33,17.32,62835.873
45,2021-11-05,16.71,17.53,17.03,17.34,77822.122
46,2021-11-04,16.33,17.24,16.99,17.03,100268.298
47,2021-11-03,16.24,18.69,17.38,17.0,177583.621
48,2021-11-02,15.96,17.58,16.36,17.36,109250.069
49,2021-11-01,15.69,17.02,16.43,16.33,98564.266
50,2021-10-31,16.21,17.55,16.98,16.44,111148.858
51,2021-10-30,16.32,17.03,16.79,16.98,126430.999
52,2021-10-29,15.7,16.83,16.47,16.81,124161.184
53,2021-10-28,15.65,16.55,15.81,16.5,107998.659
54,2021-10-27,15.39,18.05,17.01,15.76,325947.025
55,2021-10-26,16.35,17.79,16.42,17.05,146725.23
56,2021-10-25,16.12,16.62,16.18,16.42,84554.644
57,2021-10-24,15.45,16.37,16.22,16.18,54190.97
58,2021-10-23,15.85,16.57,15.98,16.25,73969.694
59,2021-10-22,15.42,16.73,16.16,15.98,150703.311
60,2021-10-21,15.52,16.77,16.2,16.16,221744.431
61,2021-10-20,15.31,16.34,16.14,16.2,114056.239
62,2021-10-19,15.83,16.59,16.3,16.14,100466.804
