,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.5234,1.61,1.5698,1.5714,1322891.4
1,2021-11-05,1.4688,1.6,1.4837,1.5698,3410433.1
2,2021-11-04,1.4763,1.6686,1.6296,1.4811,5393324.1
3,2021-11-03,1.4391,1.78,1.6994,1.6315,11895974.7
4,2021-11-02,1.3373,1.85,1.3508,1.6994,33487706.9
5,2021-11-01,1.1886,1.45,1.3261,1.3535,19405144.5
6,2021-10-31,1.2157,4.9,1.4861,1.3261,62989800.0
7,2021-10-30,0.97,1.9,1.0404,1.4861,20809520.3
8,2021-10-29,0.9601,1.07,0.9662,1.0379,2970029.2
9,2021-10-28,0.8406,1.1,0.8438,0.9662,7739049.7
10,2021-10-27,0.7848,0.97,0.8323,0.8459,8145159.6
11,2021-10-26,0.8,0.8615,0.8012,0.8333,1344748.8
12,2021-10-25,0.7865,0.812,0.7891,0.8016,794090.0
13,2021-10-24,0.7725,0.8149,0.8025,0.7889,574161.1
14,2021-10-23,0.7895,0.82,0.801,0.8023,899324.6
15,2021-10-22,0.7837,0.817,0.794,0.801,538572.4
16,2021-10-21,0.7829,0.8216,0.8054,0.7933,888334.7
17,2021-10-20,0.7739,0.8144,0.7846,0.8057,2381651.1
18,2021-10-19,0.7694,0.7998,0.7818,0.7846,806856.1
19,2021-10-18,0.77,0.7991,0.78,0.7818,1139680.1
20,2021-10-17,0.7445,0.81,0.8,0.78,1968132.4
21,2021-10-16,0.79,0.82,0.7944,0.801,2859382.1
22,2021-10-15,0.7806,0.8459,0.8447,0.7944,2274815.9
23,2021-10-14,0.83,0.8542,0.8391,0.8443,1382264.1
24,2021-10-13,0.7917,0.84,0.8038,0.8383,1049462.1
25,2021-10-12,0.7661,0.9409,0.835,0.8038,3037156.5
26,2021-10-11,0.812,0.8577,0.8386,0.835,1507837.9
27,2021-10-10,0.8375,0.9028,0.8976,0.8379,715397.8
28,2021-10-09,0.8792,0.956,0.9541,0.8969,1238379.1
29,2021-10-08,0.91,0.98,0.9513,0.9545,1603869.4
30,2021-10-07,0.8451,0.97,0.8828,0.9532,3359668.2
31,2021-10-06,0.8353,0.9352,0.8692,0.8828,4099527.8
32,2021-10-05,0.8302,0.8852,0.8499,0.8669,2504872.3
33,2021-10-04,0.8138,0.9158,0.8396,0.8481,5052830.6
34,2021-10-03,0.7846,0.8552,0.8268,0.8396,7175034.7
35,2021-10-02,0.7855,0.8433,0.8304,0.827,10251578.7
36,2021-10-01,0.6991,0.85,0.7058,0.83,18431316.8
37,2021-09-30,0.6563,0.7337,0.6618,0.7066,17277635.5
38,2021-09-29,0.6475,0.7049,0.6618,0.6617,17310423.1
39,2021-09-28,0.6505,0.705,0.6766,0.6637,14769276.1
40,2021-09-27,0.6767,0.7448,0.7054,0.6767,12413056.0
41,2021-09-26,0.6671,0.7294,0.7173,0.7036,14882852.3
42,2021-09-25,0.69,0.741,0.7329,0.7174,12196717.4
43,2021-09-24,0.6701,0.8096,0.8096,0.7321,8277612.5
44,2021-09-23,0.7508,0.84,0.7997,0.8108,9488214.4
45,2021-09-22,0.6521,0.8798,0.6611,0.8,11590487.2
46,2021-09-21,0.648,0.7664,0.7466,0.6558,6601454.4
47,2021-09-20,0.7049,0.8746,0.8614,0.7427,8068653.3
48,2021-09-19,0.8585,0.9036,0.8988,0.8632,674540.8
