,Date,Open,High,Low,Close,Volume
0,2021-12-20,2.5,2.76,2.76,2.61,155323.31
1,2021-12-19,2.74,2.95,2.82,2.76,155261.76
2,2021-12-18,2.78,2.94,2.84,2.82,85386.32
3,2021-12-17,2.79,3.09,3.06,2.84,175569.9
4,2021-12-16,3.05,3.29,3.27,3.07,231268.19
5,2021-12-15,2.89,3.5,3.18,3.26,676113.89
6,2021-12-14,3.0,3.32,3.13,3.18,549949.59
7,2021-12-13,3.09,3.67,3.45,3.13,335120.89
8,2021-12-12,3.27,3.5,3.42,3.45,181994.58
9,2021-12-11,3.23,3.57,3.31,3.41,193056.59
10,2021-12-10,3.29,3.56,3.37,3.32,266291.09
11,2021-12-09,3.33,3.77,3.71,3.37,357645.95
12,2021-12-08,3.63,4.07,3.9,3.72,625412.39
13,2021-12-07,3.81,4.77,4.69,3.9,769076.78
