,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.6831,0.6907,0.6907,0.6869,1056360
1,2021-11-05,0.6841,0.7125,0.7051,0.6902,6318973
2,2021-11-04,0.6825,0.7371,0.6903,0.7056,13564176
3,2021-11-03,0.6805,0.7135,0.7119,0.6901,11655530
4,2021-11-02,0.6815,0.7193,0.7073,0.712,9403936
5,2021-11-01,0.6678,0.75,0.7105,0.7066,11363052
6,2021-10-31,0.673,0.72,0.7172,0.7105,11683636
7,2021-10-30,0.6695,0.7443,0.698,0.7173,17180726
8,2021-10-29,0.6665,0.7,0.6929,0.6979,8352523
9,2021-10-28,0.6082,0.7163,0.6178,0.6936,16863137
10,2021-10-27,0.6002,0.708,0.7017,0.6178,15427059
11,2021-10-26,0.6942,0.7215,0.7215,0.701,7579762
12,2021-10-25,0.6951,0.75,0.7051,0.7216,9183226
13,2021-10-24,0.6769,0.7098,0.7098,0.705,5565469
14,2021-10-23,0.6968,0.7212,0.713,0.7103,5215489
15,2021-10-22,0.6909,0.7178,0.7029,0.7127,4496294
16,2021-10-21,0.7,0.7358,0.7353,0.7028,8817306
17,2021-10-20,0.698,0.74,0.7379,0.7353,15268341
18,2021-10-19,0.6827,0.8504,0.6827,0.7374,48090132
19,2021-10-18,0.661,0.6979,0.6914,0.6822,6192505
20,2021-10-17,0.674,0.735,0.7107,0.6917,9234608
21,2021-10-16,0.6994,0.7363,0.7085,0.7124,11706544
22,2021-10-15,0.6902,0.7981,0.7687,0.7083,17827106
23,2021-10-14,0.7308,0.8022,0.7507,0.7687,13006205
24,2021-10-13,0.7065,0.7513,0.7231,0.7513,7885473
25,2021-10-12,0.6925,0.7698,0.7688,0.7239,13759977
26,2021-10-11,0.7456,0.8123,0.7893,0.771,12451899
27,2021-10-10,0.7778,0.8779,0.7892,0.7878,20581050
28,2021-10-09,0.7675,0.8073,0.8045,0.7892,8670617
29,2021-10-08,0.7878,0.8579,0.8457,0.8037,12164841
30,2021-10-07,0.8121,0.8763,0.8745,0.8457,15515851
31,2021-10-06,0.8273,1.0773,0.8603,0.8741,39061873
32,2021-10-05,0.8273,0.9324,0.9178,0.8603,26018953
33,2021-10-04,0.824,1.05,0.8372,0.9163,51326108
34,2021-10-03,0.7307,0.855,0.7405,0.8394,22065323
35,2021-10-02,0.6983,0.7706,0.7308,0.7406,13008130
36,2021-10-01,0.673,0.7633,0.6737,0.7335,32919282
37,2021-09-30,0.5297,0.7711,0.5322,0.6737,58691780
38,2021-09-29,0.5104,0.5677,0.516,0.5329,5771218
39,2021-09-28,0.5145,0.563,0.558,0.5152,5013684
40,2021-09-27,0.5567,0.6395,0.5768,0.558,5915203
41,2021-09-26,0.5384,0.6087,0.6024,0.5767,7214337
42,2021-09-25,0.5754,0.6345,0.5969,0.6021,9714642
43,2021-09-24,0.5593,0.66,0.6569,0.5967,14694430
44,2021-09-23,0.5822,0.7,0.6137,0.6563,12610532
45,2021-09-22,0.5085,0.6236,0.5287,0.6138,14261966
46,2021-09-21,0.5171,0.6144,0.5951,0.5288,18862103
47,2021-09-20,0.5417,0.7135,0.68,0.5952,29944725
48,2021-09-19,0.6759,0.7135,0.7131,0.6798,5902523
49,2021-09-18,0.7031,0.7631,0.7347,0.7134,9389085
50,2021-09-17,0.6724,0.79,0.6804,0.7347,37269923
51,2021-09-16,0.6626,0.7094,0.7066,0.6795,13622401
52,2021-09-15,0.64,0.7229,0.721,0.7059,15733155
53,2021-09-14,0.6858,0.81,0.8079,0.7212,34178374
54,2021-09-13,0.6419,0.905,0.6419,0.8069,96573518
55,2021-09-12,0.6141,0.6522,0.6456,0.6426,12054277
56,2021-09-11,0.6272,0.6769,0.6636,0.6449,11747991
57,2021-09-10,0.62,0.7575,0.737,0.6624,23201100
58,2021-09-09,0.7058,0.7798,0.7425,0.737,43392279
59,2021-09-08,0.6818,0.8318,0.7409,0.7426,48354422
60,2021-09-07,0.6006,0.8874,0.7475,0.7402,95807509
61,2021-09-06,0.7039,0.825,0.7449,0.7458,59777505
62,2021-09-05,0.7151,0.8966,0.8791,0.7449,99775015
63,2021-09-04,0.68,1.35,0.6948,0.8815,346888039
64,2021-09-03,0.3736,0.96,0.3866,0.6948,198800223
65,2021-09-02,0.368,0.4,0.3749,0.386,10055750
66,2021-09-01,0.3464,0.38,0.3575,0.3749,9717904
67,2021-08-31,0.3409,0.3649,0.3485,0.3575,8465925
68,2021-08-30,0.3446,0.3628,0.36,0.3486,7809536
69,2021-08-29,0.3437,0.3915,0.3585,0.36,11567074
70,2021-08-28,0.3499,0.3717,0.3658,0.358,8874423
71,2021-08-27,0.3261,0.3658,0.348,0.3658,9016067
72,2021-08-26,0.329,0.3616,0.3598,0.348,10787525
73,2021-08-25,0.3266,0.38,0.3335,0.3598,27806469
74,2021-08-24,0.3177,0.3574,0.3446,0.3335,16230448
75,2021-08-23,0.3219,0.3555,0.3231,0.3447,13217424
76,2021-08-22,0.3159,0.334,0.3231,0.3231,7931942
77,2021-08-21,0.3158,0.3402,0.3225,0.3231,10573181
78,2021-08-20,0.3037,0.3625,0.3085,0.3225,33117608
79,2021-08-19,0.2851,0.34,0.2922,0.3084,13980547
80,2021-08-18,0.2874,0.3111,0.2989,0.2921,6961216
81,2021-08-17,0.2961,0.3399,0.3094,0.2989,11480516
82,2021-08-16,0.3054,0.3281,0.31,0.3094,10562522
83,2021-08-15,0.2969,0.3299,0.3095,0.3093,14268965
84,2021-08-14,0.2936,0.3189,0.3059,0.3097,9746494
85,2021-08-13,0.2835,0.306,0.2879,0.3051,13155419
86,2021-08-12,0.2767,0.3304,0.3043,0.2871,24719004
87,2021-08-11,0.2912,0.3854,0.3066,0.3043,81051165
88,2021-08-10,0.2707,0.5657,0.2817,0.3066,71125541
89,2021-08-09,0.2574,0.2846,0.2759,0.2817,8378656
90,2021-08-08,0.2701,0.2908,0.2908,0.2749,6913855
91,2021-08-07,0.2734,0.2934,0.2773,0.2908,10239099
