,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.4623,0.5,0.4889,0.4825,2781179
1,2021-12-19,0.4876,0.5016,0.4984,0.4895,1666695
2,2021-12-18,0.4785,0.5056,0.4849,0.4985,1582007
3,2021-12-17,0.4736,0.5188,0.4983,0.4854,2555500
4,2021-12-16,0.4985,0.5297,0.5106,0.4985,3053972
5,2021-12-15,0.4663,0.5137,0.4952,0.51,4641642
6,2021-12-14,0.4719,0.5016,0.4895,0.4949,5844140
7,2021-12-13,0.4886,0.5955,0.5437,0.498,8237232
8,2021-12-12,0.5255,0.5595,0.5394,0.5433,3917952
9,2021-12-11,0.5059,0.5597,0.5178,0.5401,3672944
10,2021-12-10,0.5149,0.5584,0.5433,0.5178,4690209
11,2021-12-09,0.5388,0.5981,0.5964,0.5423,5027189
12,2021-12-08,0.5606,0.604,0.5937,0.5959,3544463
13,2021-12-07,0.5757,0.6298,0.5806,0.5942,11755872
14,2021-12-06,0.4872,0.673,0.5523,0.5786,20977738
15,2021-12-05,0.5202,0.6009,0.5957,0.5518,7020307
16,2021-12-04,0.5121,0.7012,0.6932,0.5965,16129779
17,2021-12-03,0.69,0.7479,0.7444,0.6937,6809259
18,2021-12-02,0.7302,0.7738,0.758,0.7447,4050581
19,2021-12-01,0.7448,0.7858,0.769,0.7577,5309372
20,2021-11-30,0.75,0.8175,0.8158,0.769,7774415
21,2021-11-29,0.7956,0.8674,0.8544,0.8148,6028390
22,2021-11-28,0.7891,0.95,0.935,0.8543,16091967
23,2021-11-27,0.7593,0.94,0.7792,0.9359,22057449
24,2021-11-26,0.6956,0.9231,0.8019,0.779,45271037
25,2021-11-25,0.7135,0.8025,0.7278,0.8019,11228615
26,2021-11-24,0.7053,0.7567,0.7407,0.7278,5192808
27,2021-11-23,0.7113,0.7658,0.7204,0.7343,9057527
28,2021-11-22,0.7098,0.7651,0.7643,0.7208,6551879
29,2021-11-21,0.7622,0.844,0.8133,0.7636,23141469
30,2021-11-20,0.6557,0.8466,0.6614,0.8124,46280997
31,2021-11-19,0.5976,0.6753,0.631,0.6618,8991406
32,2021-11-18,0.618,0.7373,0.7366,0.631,21415261
33,2021-11-17,0.6928,0.829,0.7942,0.736,47482262
34,2021-11-16,0.663,0.8644,0.7454,0.7942,136012162
35,2021-11-15,0.652,0.95,0.656,0.7455,68591043
36,2021-11-14,0.6435,0.6663,0.6643,0.6563,2325440
37,2021-11-13,0.642,0.6671,0.6512,0.6642,2745720
38,2021-11-12,0.6317,0.6661,0.6641,0.6515,3908645
39,2021-11-11,0.6451,0.6756,0.6577,0.6663,4134860
40,2021-11-10,0.6403,0.706,0.7003,0.6586,7041777
41,2021-11-09,0.6796,0.7085,0.6863,0.7006,7933204
42,2021-11-08,0.6743,0.6905,0.6903,0.6869,4022906
43,2021-11-07,0.6758,0.7,0.6861,0.6897,3719983
44,2021-11-06,0.6672,0.6927,0.6907,0.6865,4629875
45,2021-11-05,0.6841,0.7125,0.7051,0.6902,6318973
46,2021-11-04,0.6825,0.7371,0.6903,0.7056,13564176
47,2021-11-03,0.6805,0.7135,0.7119,0.6901,11655530
48,2021-11-02,0.6815,0.7193,0.7073,0.712,9403936
49,2021-11-01,0.6678,0.75,0.7105,0.7066,11363052
50,2021-10-31,0.673,0.72,0.7172,0.7105,11683636
51,2021-10-30,0.6695,0.7443,0.698,0.7173,17180726
52,2021-10-29,0.6665,0.7,0.6929,0.6979,8352523
53,2021-10-28,0.6082,0.7163,0.6178,0.6936,16863137
54,2021-10-27,0.6002,0.708,0.7017,0.6178,15427059
55,2021-10-26,0.6942,0.7215,0.7215,0.701,7579762
56,2021-10-25,0.6951,0.75,0.7051,0.7216,9183226
57,2021-10-24,0.6769,0.7098,0.7098,0.705,5565469
58,2021-10-23,0.6968,0.7212,0.713,0.7103,5215489
59,2021-10-22,0.6909,0.7178,0.7029,0.7127,4496294
60,2021-10-21,0.7,0.7358,0.7353,0.7028,8817306
61,2021-10-20,0.698,0.74,0.7379,0.7353,15268341
62,2021-10-19,0.6827,0.8504,0.6827,0.7374,48090132
63,2021-10-18,0.661,0.6979,0.6914,0.6822,6192505
64,2021-10-17,0.674,0.735,0.7107,0.6917,9234608
65,2021-10-16,0.6994,0.7363,0.7085,0.7124,11706544
66,2021-10-15,0.6902,0.7981,0.7687,0.7083,17827106
67,2021-10-14,0.7308,0.8022,0.7507,0.7687,13006205
68,2021-10-13,0.7065,0.7513,0.7231,0.7513,7885473
69,2021-10-12,0.6925,0.7698,0.7688,0.7239,13759977
70,2021-10-11,0.7456,0.8123,0.7893,0.771,12451899
