,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.405,0.4352,0.4349,0.4224,1259366.3
1,2021-12-19,0.4339,0.4579,0.4501,0.4349,828700.0
2,2021-12-18,0.4297,0.4523,0.4435,0.4501,1353599.0
3,2021-12-17,0.4232,0.4524,0.4366,0.4424,1784465.6
4,2021-12-16,0.4283,0.4681,0.432,0.4363,2319510.0
5,2021-12-15,0.3859,0.4336,0.4174,0.4322,2379635.4
6,2021-12-14,0.3866,0.4308,0.4092,0.4171,4306823.4
7,2021-12-13,0.4034,0.4817,0.4737,0.4092,2662522.4
8,2021-12-12,0.4573,0.4757,0.4752,0.475,1164713.1
9,2021-12-11,0.4552,0.4776,0.4724,0.4753,2189823.4
10,2021-12-10,0.4594,0.5222,0.4594,0.4724,9512618.5
11,2021-12-09,0.4473,0.4991,0.4991,0.4596,2495668.1
12,2021-12-08,0.4658,0.5083,0.5072,0.4987,1567211.2
13,2021-12-07,0.4635,0.5276,0.473,0.5063,6102941.3
14,2021-12-06,0.3765,0.5167,0.4457,0.4729,6685151.8
15,2021-12-05,0.426,0.495,0.4883,0.4462,2662450.1
16,2021-12-04,0.3721,0.5554,0.5544,0.4872,4426153.8
17,2021-12-03,0.5446,0.6223,0.6223,0.5564,4077067.8
18,2021-12-02,0.5985,0.74,0.5985,0.6227,17233945.3
19,2021-12-01,0.5825,0.6203,0.6076,0.5981,3225281.9
20,2021-11-30,0.5997,0.6469,0.6469,0.6072,3709354.4
21,2021-11-29,0.6226,0.6887,0.6323,0.6521,4949278.5
22,2021-11-28,0.5789,0.6605,0.6568,0.6323,2181637.0
23,2021-11-27,0.6152,0.6697,0.6257,0.6559,2828215.0
24,2021-11-26,0.5956,0.7254,0.7139,0.6259,3956854.2
25,2021-11-25,0.6744,0.7681,0.7666,0.717,5182758.0
26,2021-11-24,0.709,0.7861,0.7612,0.7658,11419655.7
27,2021-11-23,0.7,0.8113,0.745,0.7612,9929429.5
28,2021-11-19,0.4742,0.745,0.5173,0.7447,31748035.3
29,2021-11-18,0.5083,0.7131,0.7111,0.5169,39195576.0
30,2021-11-17,0.6238,0.885,0.715,0.7135,99184367.7
31,2021-11-16,0.59,0.849,0.849,0.7178,30554794.8
