,Date,Open,High,Low,Close,Volume
0,2021-11-06,255.35,259.73,259.73,257.61,5574.83
1,2021-11-05,254.45,269.99,264.56,259.97,40848.235
2,2021-11-04,256.29,274.93,266.86,264.55,61373.051
3,2021-11-03,265.69,279.75,278.88,266.86,57165.859
4,2021-11-02,270.1,281.54,274.47,278.99,62382.975
5,2021-11-01,272.0,284.4,284.09,274.69,32387.163
6,2021-10-31,271.0,285.0,279.31,283.97,48394.061
7,2021-10-30,275.23,292.98,288.55,279.29,41045.76
8,2021-10-29,282.16,295.45,291.61,288.53,40560.5
9,2021-10-28,280.04,302.66,282.86,291.61,55629.902
10,2021-10-27,280.01,316.75,315.85,283.02,66564.79
11,2021-10-26,306.46,325.69,312.51,315.82,51706.072
12,2021-10-25,290.38,320.19,290.71,312.31,67626.174
13,2021-10-24,287.0,307.46,296.87,290.52,40700.214
14,2021-10-23,285.82,302.9,288.0,296.97,31113.768
15,2021-10-22,280.5,292.93,286.49,287.92,28418.006
16,2021-10-21,285.0,296.82,295.14,286.73,32010.887
17,2021-10-20,279.74,302.75,285.14,295.14,42498.1
18,2021-10-19,279.7,294.74,290.28,285.12,35698.185
19,2021-10-18,288.52,306.51,301.2,290.37,30215.04
20,2021-10-17,291.48,322.49,308.64,301.3,60230.011
21,2021-10-16,285.18,329.98,289.63,308.77,67283.406
22,2021-10-15,275.13,298.27,290.69,289.66,51500.723
23,2021-10-14,275.11,300.25,281.78,290.64,42677.625
24,2021-10-13,269.29,288.81,280.95,281.78,36308.661
25,2021-10-12,265.22,289.13,288.5,281.14,64272.47
26,2021-10-11,283.89,301.08,294.0,288.79,54491.737
27,2021-10-10,291.01,309.03,299.28,294.0,48211.471
28,2021-10-09,294.0,315.81,311.39,299.72,66854.414
29,2021-10-08,287.63,336.14,288.54,311.24,103073.825
30,2021-10-07,285.27,301.8,291.29,288.45,56342.364
31,2021-10-06,288.58,309.3,303.99,290.96,60742.12
32,2021-10-05,298.18,315.53,305.81,303.72,45670.139
33,2021-10-04,290.5,316.39,316.39,305.78,54580.813
34,2021-10-03,313.03,330.19,317.19,316.49,45231.678
35,2021-10-02,303.26,344.98,310.83,317.51,64724.017
36,2021-10-01,281.6,314.0,290.28,310.73,61540.796
37,2021-09-30,271.81,293.48,272.36,290.33,47458.802
38,2021-09-29,267.2,294.94,277.06,272.06,51897.0
39,2021-09-28,275.58,303.91,294.6,276.81,52418.931
40,2021-09-27,291.13,328.28,293.84,294.42,71156.094
41,2021-09-26,280.02,306.46,300.51,293.75,56944.835
42,2021-09-25,292.75,317.23,317.03,300.57,42395.344
43,2021-09-24,282.12,339.19,336.53,317.02,104781.029
44,2021-09-23,305.0,350.0,312.63,336.53,93191.774
45,2021-09-22,259.76,316.98,265.28,312.27,136293.356
46,2021-09-21,252.78,320.0,290.9,265.11,149640.673
47,2021-09-20,264.52,348.03,347.69,290.83,260490.629
48,2021-09-19,342.57,365.84,362.82,347.19,45189.897
49,2021-09-18,343.5,378.34,346.41,362.92,61284.561
50,2021-09-17,340.11,368.8,367.21,346.41,67040.266
51,2021-09-16,352.85,376.93,367.2,367.22,81785.15
52,2021-09-15,351.45,377.0,372.8,367.2,67285.688
53,2021-09-14,353.24,418.99,382.78,372.8,201476.141
54,2021-09-13,323.43,383.7,354.21,382.79,136261.314
55,2021-09-12,350.03,387.0,384.81,354.22,83731.065
56,2021-09-11,360.79,428.45,394.97,384.33,241848.194
57,2021-09-10,307.28,409.42,313.6,394.2,285150.381
58,2021-09-09,294.0,337.5,311.32,313.4,210153.931
