,Date,Open,High,Low,Close,Volume
0,2021-12-20,167.17,183.01,182.22,174.01,52073.003
1,2021-12-19,179.0,188.39,185.62,182.22,21836.865
2,2021-12-18,176.5,191.55,181.28,185.67,28598.429
3,2021-12-17,175.85,189.44,183.4,181.55,41896.615
4,2021-12-16,177.02,200.03,199.34,183.62,53185.801
5,2021-12-15,171.75,216.08,172.38,199.23,107258.258
6,2021-12-14,165.04,183.16,179.23,172.38,56783.405
7,2021-12-13,169.53,201.05,198.9,179.23,96504.558
8,2021-12-12,195.63,228.16,204.56,199.05,149117.593
9,2021-12-11,161.56,209.68,164.12,204.81,140634.871
10,2021-12-10,157.47,176.19,162.39,164.39,105634.621
11,2021-12-09,150.64,172.7,171.47,162.76,93338.515
12,2021-12-08,155.1,186.13,164.01,171.46,127214.096
13,2021-12-07,160.83,180.12,174.64,164.16,71777.576
14,2021-12-06,146.57,179.94,173.31,174.47,151178.643
15,2021-12-05,168.19,202.29,188.78,173.21,71230.778
16,2021-12-04,150.03,210.0,189.32,188.32,145209.151
17,2021-12-03,185.77,207.84,198.92,189.4,59250.57
18,2021-12-02,185.15,200.0,196.96,199.08,71966.918
19,2021-12-01,194.12,208.32,202.21,196.68,64058.231
20,2021-11-30,200.85,217.95,214.43,202.1,59208.532
21,2021-11-29,200.13,215.91,208.05,214.24,55889.812
22,2021-11-28,195.0,210.5,207.76,207.87,58487.107
23,2021-11-27,206.53,220.39,207.79,208.1,44928.012
24,2021-11-26,197.0,230.96,227.73,207.98,87903.207
25,2021-11-25,224.11,233.92,232.7,228.0,29870.143
26,2021-11-24,222.3,238.9,238.9,232.82,48297.138
27,2021-11-23,217.56,272.0,219.51,238.49,129836.126
28,2021-11-22,212.0,227.0,226.35,219.48,60612.129
29,2021-11-21,224.98,238.09,238.09,226.3,33650.512
30,2021-11-20,228.07,240.34,237.73,238.16,27609.637
31,2021-11-19,222.33,244.09,227.27,237.44,58396.147
32,2021-11-18,220.05,254.63,251.76,227.27,101704.967
33,2021-11-17,244.65,255.92,252.47,251.72,50799.053
34,2021-11-16,247.65,277.67,277.64,252.31,55773.245
35,2021-11-15,264.61,293.95,270.03,277.88,60892.18
36,2021-11-14,255.01,274.13,261.18,269.54,39454.126
37,2021-11-13,252.3,268.51,257.26,261.63,35885.162
38,2021-11-12,251.19,274.51,270.4,257.28,36026.972
39,2021-11-11,266.5,287.05,276.88,270.39,38016.327
40,2021-11-10,266.0,308.86,293.88,277.05,101853.478
41,2021-11-09,250.5,315.0,254.91,293.89,156176.693
42,2021-11-08,250.37,266.21,262.45,254.91,54791.145
43,2021-11-07,254.8,279.11,256.92,262.42,61782.011
44,2021-11-06,236.4,259.74,259.73,256.88,61509.857
45,2021-11-05,254.45,269.99,264.56,259.97,40848.235
46,2021-11-04,256.29,274.93,266.86,264.55,61373.051
47,2021-11-03,265.69,279.75,278.88,266.86,57165.859
48,2021-11-02,270.1,281.54,274.47,278.99,62382.975
49,2021-11-01,272.0,284.4,284.09,274.69,32387.163
50,2021-10-31,271.0,285.0,279.31,283.97,48394.061
51,2021-10-30,275.23,292.98,288.55,279.29,41045.76
52,2021-10-29,282.16,295.45,291.61,288.53,40560.5
53,2021-10-28,280.04,302.66,282.86,291.61,55629.902
54,2021-10-27,280.01,316.75,315.85,283.02,66564.79
55,2021-10-26,306.46,325.69,312.51,315.82,51706.072
56,2021-10-25,290.38,320.19,290.71,312.31,67626.174
57,2021-10-24,287.0,307.46,296.87,290.52,40700.214
58,2021-10-23,285.82,302.9,288.0,296.97,31113.768
59,2021-10-22,280.5,292.93,286.49,287.92,28418.006
60,2021-10-21,285.0,296.82,295.14,286.73,32010.887
61,2021-10-20,279.74,302.75,285.14,295.14,42498.1
62,2021-10-19,279.7,294.74,290.28,285.12,35698.185
63,2021-10-18,288.52,306.51,301.2,290.37,30215.04
64,2021-10-17,291.48,322.49,308.64,301.3,60230.011
65,2021-10-16,285.18,329.98,289.63,308.77,67283.406
66,2021-10-15,275.13,298.27,290.69,289.66,51500.723
67,2021-10-14,275.11,300.25,281.78,290.64,42677.625
68,2021-10-13,269.29,288.81,280.95,281.78,36308.661
69,2021-10-12,265.22,289.13,288.5,281.14,64272.47
70,2021-10-11,283.89,301.08,294.0,288.79,54491.737
71,2021-10-10,291.01,309.03,299.28,294.0,48211.471
72,2021-10-09,294.0,315.81,311.39,299.72,66854.414
73,2021-10-08,287.63,336.14,288.54,311.24,103073.825
74,2021-10-07,285.27,301.8,291.29,288.45,56342.364
75,2021-10-06,288.58,309.3,303.99,290.96,60742.12
