,Date,Open,High,Low,Close,Volume
0,2021-11-06,10.64,11.15,10.7,10.89,42267.4
1,2021-11-05,10.64,11.22,11.09,10.71,67523.09
2,2021-11-04,10.96,12.5,11.78,11.09,152449.31
3,2021-11-03,10.95,12.5,11.45,11.76,388830.06
4,2021-11-02,10.92,12.6,11.88,11.45,195229.35
5,2021-11-01,10.0,11.98,10.45,11.9,325850.28
6,2021-10-31,10.18,10.64,10.35,10.45,64165.18
7,2021-10-30,10.24,11.42,10.68,10.33,232681.3
8,2021-10-29,10.19,10.8,10.51,10.67,203406.83
9,2021-10-28,9.81,10.86,9.89,10.5,228409.9
10,2021-10-27,9.87,11.55,11.35,9.89,130965.68
11,2021-10-26,11.31,11.97,11.69,11.33,135880.04
12,2021-10-25,11.32,12.57,11.4,11.7,251302.16
13,2021-10-24,11.3,12.21,12.16,11.42,78603.24
14,2021-10-23,11.95,12.45,12.45,12.16,84570.79
15,2021-10-22,12.29,13.01,12.65,12.46,98404.3
16,2021-10-21,12.58,13.36,13.3,12.68,120141.32
17,2021-10-20,12.88,13.76,12.95,13.33,210320.64
18,2021-10-19,12.7,14.2,13.12,12.97,254041.69
19,2021-10-18,12.59,13.83,13.11,13.1,333056.02
20,2021-10-17,12.58,17.98,12.91,13.11,1504315.62
21,2021-10-16,12.53,13.3,12.87,12.92,301737.02
22,2021-10-15,12.5,13.98,13.87,12.88,313052.72
23,2021-10-14,13.55,14.73,13.71,13.87,421460.39
24,2021-10-13,13.51,14.83,14.26,13.71,217579.95
25,2021-10-12,13.9,15.85,15.47,14.26,346636.23
26,2021-10-11,14.57,17.82,17.16,15.51,899431.77
27,2021-10-10,13.76,21.04,14.7,17.16,1281079.42
28,2021-10-09,13.91,16.92,15.7,14.68,416766.35
29,2021-10-08,15.13,21.13,17.98,15.74,794333.55
30,2021-10-07,9.44,29.37,9.8,18.04,2924736.95
31,2021-10-06,8.91,9.99,8.95,9.79,198584.82
32,2021-10-05,8.53,9.56,8.54,8.95,120202.91
33,2021-10-04,8.5,8.94,8.91,8.51,55283.55
34,2021-10-03,8.55,9.54,8.63,8.91,112500.89
35,2021-10-02,8.48,8.68,8.58,8.62,39826.27
36,2021-10-01,8.19,8.67,8.19,8.59,46467.88
37,2021-09-30,8.09,8.31,8.18,8.21,46835.68
38,2021-09-29,8.16,8.79,8.54,8.16,104189.68
39,2021-09-28,8.05,9.87,8.07,8.52,614438.24
40,2021-09-27,7.95,8.23,7.96,8.07,36409.71
41,2021-09-26,7.7,8.2,8.2,7.96,16479.69
42,2021-09-25,8.17,8.5,8.49,8.21,12795.6
43,2021-09-24,8.31,9.28,9.28,8.48,51035.27
44,2021-09-23,8.68,9.77,8.71,9.26,117067.17
45,2021-09-22,8.26,8.73,8.42,8.71,37267.78
46,2021-09-21,8.4,8.86,8.73,8.4,13252.31
47,2021-09-20,8.44,9.44,9.43,8.75,52819.59
48,2021-09-19,9.43,9.59,9.56,9.43,11447.0
49,2021-09-18,9.5,9.86,9.51,9.54,37196.82
50,2021-09-17,9.5,10.29,9.8,9.51,70963.84
51,2021-09-16,9.79,10.71,10.38,9.82,113622.41
52,2021-09-15,9.96,10.45,10.24,10.36,122181.24
53,2021-09-14,9.73,11.39,10.0,10.25,200135.3
54,2021-09-13,9.7,10.22,10.16,10.0,36069.98
55,2021-09-12,9.99,10.54,10.06,10.16,87812.87
56,2021-09-11,9.76,10.64,9.96,10.06,138968.77
57,2021-09-10,9.81,10.37,10.25,9.96,55717.9
58,2021-09-09,9.75,11.1,10.15,10.25,138634.16
59,2021-09-08,9.47,10.49,10.48,10.15,65234.26
60,2021-09-07,10.11,13.55,12.46,10.5,254618.64
61,2021-09-06,12.13,12.7,12.29,12.46,97777.16
62,2021-09-05,12.07,12.75,12.58,12.29,151542.97
63,2021-09-04,12.07,13.71,12.46,12.59,198967.71
64,2021-09-03,12.4,13.56,13.41,12.45,209796.69
65,2021-09-02,12.8,16.54,14.43,13.39,406570.22
66,2021-09-01,13.31,16.82,16.05,14.45,466463.54
