,Date,Open,High,Low,Close,Volume
0,2021-12-20,9.33,10.97,9.9,9.55,304149.35
1,2021-12-19,9.53,10.38,9.83,9.9,108090.02
2,2021-12-18,9.35,10.18,9.46,9.87,117951.76
3,2021-12-17,9.21,10.5,9.66,9.48,113418.23
4,2021-12-16,9.55,10.0,9.57,9.65,35536.91
5,2021-12-15,9.02,9.83,9.37,9.57,93298.31
6,2021-12-14,9.22,9.52,9.44,9.34,34506.4
7,2021-12-13,9.44,10.84,10.79,9.44,67577.98
8,2021-12-12,10.28,11.88,10.77,10.79,180278.09
9,2021-12-11,10.13,11.2,10.18,10.77,108346.42
10,2021-12-10,10.18,10.94,10.6,10.18,95282.21
11,2021-12-09,10.57,11.75,11.67,10.6,123000.66
12,2021-12-08,11.1,11.94,11.47,11.71,76020.06
13,2021-12-07,11.06,12.63,11.39,11.48,291189.33
14,2021-12-06,10.28,14.21,10.69,11.39,1634380.57
15,2021-12-05,10.28,11.58,11.01,10.72,258854.86
16,2021-12-04,10.06,11.95,11.94,11.01,233250.68
17,2021-12-03,11.57,13.39,12.94,11.93,360769.59
18,2021-12-02,12.69,13.98,13.97,12.93,313661.72
19,2021-12-01,13.44,15.32,13.97,13.96,645464.46
20,2021-11-30,13.49,14.82,14.46,13.98,228363.34
21,2021-11-29,14.05,15.48,14.77,14.49,330580.35
22,2021-11-28,14.03,17.63,17.04,14.74,831722.6
23,2021-11-27,11.44,23.8,11.45,17.11,5050880.57
24,2021-11-26,11.26,13.24,11.91,11.4,272749.9
25,2021-11-25,11.56,12.16,11.65,11.91,88404.54
26,2021-11-24,11.51,12.33,12.32,11.64,118557.73
27,2021-11-23,12.16,12.87,12.42,12.32,155438.33
28,2021-11-22,12.39,13.39,13.25,12.48,165505.67
29,2021-11-21,12.67,14.29,12.97,13.27,263799.75
30,2021-11-20,12.62,13.25,13.03,12.99,133970.92
31,2021-11-19,12.56,13.66,12.66,13.03,161877.24
32,2021-11-18,12.61,14.9,14.88,12.67,370318.68
33,2021-11-17,13.19,16.3,13.4,14.88,888603.85
34,2021-11-16,13.2,15.4,14.17,13.41,816189.03
35,2021-11-15,12.51,16.74,12.87,14.22,1190770.12
36,2021-11-14,12.52,13.49,13.2,12.86,119497.34
37,2021-11-13,12.65,14.1,12.84,13.19,233882.36
38,2021-11-12,12.51,14.58,13.91,12.84,444818.74
39,2021-11-11,12.0,16.85,12.37,13.91,1060468.19
40,2021-11-10,11.89,16.4,13.88,12.38,1113512.67
41,2021-11-09,11.17,17.1,11.22,13.88,1506266.45
42,2021-11-08,11.11,11.43,11.33,11.22,49984.79
43,2021-11-07,11.0,11.59,11.1,11.32,79313.61
44,2021-11-06,10.6,11.49,10.7,11.1,164974.35
45,2021-11-05,10.64,11.22,11.09,10.71,67523.09
46,2021-11-04,10.96,12.5,11.78,11.09,152449.31
47,2021-11-03,10.95,12.5,11.45,11.76,388830.06
48,2021-11-02,10.92,12.6,11.88,11.45,195229.35
49,2021-11-01,10.0,11.98,10.45,11.9,325850.28
50,2021-10-31,10.18,10.64,10.35,10.45,64165.18
51,2021-10-30,10.24,11.42,10.68,10.33,232681.3
52,2021-10-29,10.19,10.8,10.51,10.67,203406.83
53,2021-10-28,9.81,10.86,9.89,10.5,228409.9
54,2021-10-27,9.87,11.55,11.35,9.89,130965.68
55,2021-10-26,11.31,11.97,11.69,11.33,135880.04
56,2021-10-25,11.32,12.57,11.4,11.7,251302.16
57,2021-10-24,11.3,12.21,12.16,11.42,78603.24
58,2021-10-23,11.95,12.45,12.45,12.16,84570.79
59,2021-10-22,12.29,13.01,12.65,12.46,98404.3
60,2021-10-21,12.58,13.36,13.3,12.68,120141.32
61,2021-10-20,12.88,13.76,12.95,13.33,210320.64
62,2021-10-19,12.7,14.2,13.12,12.97,254041.69
63,2021-10-18,12.59,13.83,13.11,13.1,333056.02
64,2021-10-17,12.58,17.98,12.91,13.11,1504315.62
65,2021-10-16,12.53,13.3,12.87,12.92,301737.02
66,2021-10-15,12.5,13.98,13.87,12.88,313052.72
67,2021-10-14,13.55,14.73,13.71,13.87,421460.39
68,2021-10-13,13.51,14.83,14.26,13.71,217579.95
69,2021-10-12,13.9,15.85,15.47,14.26,346636.23
70,2021-10-11,14.57,17.82,17.16,15.51,899431.77
71,2021-10-10,13.76,21.04,14.7,17.16,1281079.42
72,2021-10-09,13.91,16.92,15.7,14.68,416766.35
73,2021-10-08,15.13,21.13,17.98,15.74,794333.55
74,2021-10-07,9.44,29.37,9.8,18.04,2924736.95
75,2021-10-06,8.91,9.99,8.95,9.79,198584.82
76,2021-10-05,8.53,9.56,8.54,8.95,120202.91
77,2021-10-04,8.5,8.94,8.91,8.51,55283.55
78,2021-10-03,8.55,9.54,8.63,8.91,112500.89
79,2021-10-02,8.48,8.68,8.58,8.62,39826.27
80,2021-10-01,8.19,8.67,8.19,8.59,46467.88
81,2021-09-30,8.09,8.31,8.18,8.21,46835.68
82,2021-09-29,8.16,8.79,8.54,8.16,104189.68
83,2021-09-28,8.05,9.87,8.07,8.52,614438.24
84,2021-09-27,7.95,8.23,7.96,8.07,36409.71
85,2021-09-26,7.7,8.2,8.2,7.96,16479.69
86,2021-09-25,8.17,8.5,8.49,8.21,12795.6
87,2021-09-24,8.31,9.28,9.28,8.48,51035.27
88,2021-09-23,8.68,9.77,8.71,9.26,117067.17
89,2021-09-22,8.26,8.73,8.42,8.71,37267.78
90,2021-09-21,8.4,8.86,8.73,8.4,13252.31
91,2021-09-20,8.44,9.44,9.43,8.75,52819.59
92,2021-09-19,9.43,9.59,9.56,9.43,11447.0
93,2021-09-18,9.5,9.86,9.51,9.54,37196.82
94,2021-09-17,9.5,10.29,9.8,9.51,70963.84
95,2021-09-16,9.79,10.71,10.38,9.82,113622.41
96,2021-09-15,9.96,10.45,10.24,10.36,122181.24
97,2021-09-14,9.73,11.39,10.0,10.25,200135.3
98,2021-09-13,9.7,10.22,10.16,10.0,36069.98
99,2021-09-12,9.99,10.54,10.06,10.16,87812.87
100,2021-09-11,9.76,10.64,9.96,10.06,138968.77
101,2021-09-10,9.81,10.37,10.25,9.96,55717.9
102,2021-09-09,9.75,11.1,10.15,10.25,138634.16
103,2021-09-08,9.47,10.49,10.48,10.15,65234.26
104,2021-09-07,10.11,13.55,12.46,10.5,254618.64
105,2021-09-06,12.13,12.7,12.29,12.46,97777.16
106,2021-09-05,12.07,12.75,12.58,12.29,151542.97
107,2021-09-04,12.07,13.71,12.46,12.59,198967.71
108,2021-09-03,12.4,13.56,13.41,12.45,209796.69
109,2021-09-02,12.8,16.54,14.43,13.39,406570.22
110,2021-09-01,13.31,16.82,16.05,14.45,466463.54
