,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.0198,3.03,3.0198,3.02,1476.85
1,2021-12-19,3.0198,3.03,3.02,3.03,1341.34
2,2021-12-18,3.02,3.03,3.02,3.02,870.58
3,2021-12-17,3.02,3.03,3.02,3.02,2808.81
4,2021-12-16,3.02,3.03,3.03,3.02,9991.78
5,2021-12-15,3.02,3.03,3.0209,3.03,2654.65
6,2021-12-14,3.0209,3.03,3.03,3.0209,8143.52
7,2021-12-13,3.0255,3.03,3.0264,3.03,7062.58
8,2021-12-12,3.0264,3.03,3.0266,3.0264,1538.62
9,2021-12-11,3.0266,3.03,3.03,3.03,4100.96
10,2021-12-10,3.0278,3.03,3.0293,3.03,1978.21
11,2021-12-09,3.0287,3.0323,3.032,3.0293,3476.12
12,2021-12-08,3.0275,3.0332,3.0283,3.032,8294.77
13,2021-12-07,3.0246,3.034,3.0299,3.0282,25614.12
14,2021-12-06,3.0275,3.0328,3.0285,3.0299,13216.03
15,2021-12-05,3.0276,3.0319,3.0281,3.0285,7722.42
16,2021-12-04,3.0239,3.0358,3.0284,3.0278,83972.54
17,2021-12-03,3.0269,3.0307,3.027,3.0283,5397.82
18,2021-12-02,3.027,3.0306,3.0305,3.027,3609.33
19,2021-12-01,3.0277,3.031,3.0293,3.0305,4265.37
20,2021-11-30,3.0271,3.0321,3.0305,3.0293,12533.32
21,2021-11-29,3.0278,3.033,3.0315,3.0293,7431.93
22,2021-11-28,3.0282,3.0334,3.0306,3.0301,11663.54
23,2021-11-27,3.0283,3.0322,3.0312,3.0283,6099.97
24,2021-11-26,3.0267,3.0333,3.0303,3.0312,19687.16
25,2021-11-25,3.0285,3.0333,3.0286,3.0331,4833.21
26,2021-11-24,3.0286,3.032,3.0288,3.0286,4312.92
27,2021-11-23,3.0274,3.0326,3.0295,3.0311,6161.62
28,2021-11-22,3.0273,3.0333,3.0292,3.0294,13040.63
29,2021-11-21,3.0277,3.0321,3.0317,3.0321,3542.75
30,2021-11-20,3.028,3.0331,3.031,3.0316,7661.1
31,2021-11-19,3.027,3.0325,3.0292,3.031,11780.95
32,2021-11-18,3.0277,3.0323,3.0315,3.0293,17956.32
33,2021-11-17,3.0282,3.0343,3.0285,3.0291,13880.12
34,2021-11-16,3.0282,3.0345,3.0291,3.0285,31262.29
35,2021-11-15,3.0291,3.0343,3.0321,3.0291,7703.33
36,2021-11-14,3.0297,3.034,3.0301,3.0321,9337.69
37,2021-11-13,3.0291,3.0332,3.0327,3.0331,7110.61
38,2021-11-12,3.027,3.0326,3.0315,3.0314,11997.57
39,2021-11-11,3.0274,3.0358,3.0335,3.0277,21628.03
40,2021-11-10,3.0283,3.0336,3.0324,3.0335,15587.36
41,2021-11-09,3.0291,3.0328,3.0297,3.0296,9023.98
42,2021-11-08,3.0275,3.0355,3.03,3.0324,20946.45
43,2021-11-07,3.0268,3.0318,3.0283,3.03,11276.0
44,2021-11-06,3.027,3.0318,3.029,3.0282,10082.43
45,2021-11-05,3.028,3.0314,3.029,3.0299,9732.18
46,2021-11-04,3.0284,3.0348,3.03,3.0314,21565.93
47,2021-11-03,3.0239,3.0385,3.0327,3.0325,49973.64
48,2021-11-02,3.028,3.0329,3.0323,3.0329,12163.35
49,2021-11-01,3.0255,3.0348,3.0303,3.03,22367.84
50,2021-10-31,3.0284,3.0349,3.03,3.0348,18376.7
51,2021-10-30,3.0283,3.0341,3.0311,3.0284,23338.96
52,2021-10-29,3.0261,3.0331,3.0304,3.0311,16153.04
53,2021-10-28,3.0253,3.0319,3.0314,3.0269,24100.01
54,2021-10-27,3.0252,3.0339,3.0288,3.0315,34002.23
55,2021-10-26,3.028,3.0326,3.0317,3.028,15578.54
56,2021-10-25,3.0278,3.0316,3.028,3.0316,9065.67
57,2021-10-24,3.0209,3.04,3.0307,3.0307,52909.4
58,2021-10-23,3.0282,3.0317,3.0282,3.0307,4843.4
59,2021-10-22,3.0282,3.0316,3.0283,3.0282,9594.67
60,2021-10-21,3.0283,3.0315,3.0311,3.0283,20248.92
61,2021-10-20,3.0288,3.0315,3.0293,3.0288,10940.47
62,2021-10-19,3.0291,3.031,3.0304,3.0293,3399.68
63,2021-10-18,3.0283,3.0304,3.0303,3.0298,6366.48
64,2021-10-17,3.0283,3.0316,3.0294,3.0287,13834.2
65,2021-10-16,3.0285,3.0316,3.0288,3.0294,21513.18
66,2021-10-15,3.0289,3.0322,3.0322,3.0308,13212.23
67,2021-10-14,3.0291,3.0337,3.031,3.0322,13873.06
68,2021-10-13,3.0289,3.0316,3.0299,3.0291,12445.9
69,2021-10-12,3.0274,3.0308,3.0297,3.0305,7829.3
