,Date,Open,High,Low,Close,Volume
0,2021-11-06,20.74,21.75,21.4,20.88,10664.773
1,2021-11-05,21.02,23.3,21.6,21.4,89355.247
2,2021-11-04,20.33,25.45,22.6,21.55,156159.753
3,2021-11-03,19.64,24.5,20.44,22.6,190045.42
4,2021-11-02,17.74,21.49,19.45,20.37,126471.761
5,2021-11-01,18.83,19.9,19.63,19.34,39377.823
6,2021-10-31,18.88,20.11,19.19,19.55,52911.456
7,2021-10-30,18.13,20.9,20.88,19.19,99771.767
8,2021-10-29,18.25,21.3,18.3,20.67,122962.597
9,2021-10-28,17.22,19.2,18.11,18.28,101658.178
10,2021-10-27,17.2,20.47,20.24,18.1,123096.452
11,2021-10-26,19.99,20.91,20.34,20.24,82048.577
12,2021-10-25,19.76,21.7,19.93,20.33,72162.535
13,2021-10-24,19.03,21.91,20.28,19.93,108726.814
14,2021-10-23,19.63,20.5,20.47,20.2,65167.858
15,2021-10-22,20.11,21.8,20.88,20.36,85542.197
16,2021-10-21,20.22,24.04,21.28,21.01,230930.819
17,2021-10-20,19.82,21.72,20.47,21.28,122742.577
18,2021-10-19,19.82,24.5,21.36,20.46,139360.275
19,2021-10-18,19.02,24.5,22.11,21.33,131753.091
20,2021-10-17,21.46,24.3,24.11,22.23,139458.296
21,2021-10-16,22.94,26.0,24.56,24.2,199983.004
22,2021-10-15,21.6,31.8,24.88,24.61,683742.914
23,2021-10-14,24.64,32.25,32.25,24.81,369626.56
