,Date,Open,High,Low,Close,Volume
0,2021-12-20,12.29,13.67,13.65,12.62,39240.866
1,2021-12-19,13.5,14.14,13.6,13.64,40362.139
2,2021-12-18,13.27,14.02,13.63,13.53,32127.454
3,2021-12-17,13.06,14.4,13.92,13.63,41118.304
4,2021-12-16,13.67,15.0,13.82,13.92,37400.916
5,2021-12-15,13.15,14.81,14.05,13.83,63720.599
6,2021-12-14,12.82,14.76,13.41,14.04,47520.815
7,2021-12-13,13.26,15.7,15.67,13.38,41547.955
8,2021-12-12,14.75,15.75,14.96,15.58,24759.316
9,2021-12-11,14.35,15.14,14.68,14.96,25526.35
10,2021-12-10,14.12,15.95,15.18,14.54,67349.74
11,2021-12-09,15.15,18.0,17.99,15.18,40727.724
12,2021-12-08,16.88,18.09,16.97,18.0,44942.173
13,2021-12-07,16.88,18.03,17.48,16.97,54427.921
14,2021-12-06,14.51,17.67,16.88,17.35,61773.027
15,2021-12-05,16.6,18.39,18.34,16.89,52889.748
16,2021-12-04,16.41,19.94,19.86,18.39,107665.558
17,2021-12-03,19.25,24.01,23.07,19.86,186097.971
18,2021-12-02,19.1,24.5,19.56,23.05,279097.057
19,2021-12-01,19.52,21.38,21.05,19.56,83403.073
20,2021-11-30,19.81,24.23,24.07,21.05,138237.368
21,2021-11-29,19.22,25.0,21.8,24.07,466702.416
22,2021-11-28,17.52,29.8,18.24,21.82,1093772.454
23,2021-11-27,17.57,19.38,17.98,18.2,59215.863
24,2021-11-26,17.57,21.08,20.85,18.07,62610.111
25,2021-11-25,19.2,21.12,19.47,20.95,46293.147
26,2021-11-24,18.81,21.26,19.6,19.53,57639.545
27,2021-11-23,17.85,19.84,18.02,19.54,38815.192
28,2021-11-22,17.74,19.61,19.15,18.03,38533.583
29,2021-11-21,19.09,20.55,19.57,19.15,27695.93
30,2021-11-20,18.64,20.56,18.68,19.57,43360.621
31,2021-11-19,16.77,20.48,17.51,18.67,79402.083
32,2021-11-18,17.21,19.74,19.21,17.44,61708.919
33,2021-11-17,17.7,19.71,19.1,19.2,55201.835
34,2021-11-16,18.54,20.58,20.48,19.09,81751.427
35,2021-11-15,20.3,25.74,20.46,20.48,193952.262
36,2021-11-14,20.01,20.9,20.52,20.35,27066.025
37,2021-11-13,20.0,21.69,20.61,20.52,45005.447
38,2021-11-12,20.0,21.71,21.49,20.63,23838.667
39,2021-11-11,19.95,21.9,21.06,21.49,34942.531
40,2021-11-10,20.5,23.81,23.09,21.07,68213.229
41,2021-11-09,20.5,24.84,23.36,23.0,98275.73
42,2021-11-08,20.0,28.17,20.61,23.36,236537.84
43,2021-11-07,20.18,21.73,21.65,20.61,60706.452
44,2021-11-06,20.51,21.96,21.4,21.45,59335.307
45,2021-11-05,21.02,23.3,21.6,21.4,89355.247
46,2021-11-04,20.33,25.45,22.6,21.55,156159.753
47,2021-11-03,19.64,24.5,20.44,22.6,190045.42
48,2021-11-02,17.74,21.49,19.45,20.37,126471.761
49,2021-11-01,18.83,19.9,19.63,19.34,39377.823
50,2021-10-31,18.88,20.11,19.19,19.55,52911.456
51,2021-10-30,18.13,20.9,20.88,19.19,99771.767
52,2021-10-29,18.25,21.3,18.3,20.67,122962.597
53,2021-10-28,17.22,19.2,18.11,18.28,101658.178
54,2021-10-27,17.2,20.47,20.24,18.1,123096.452
55,2021-10-26,19.99,20.91,20.34,20.24,82048.577
56,2021-10-25,19.76,21.7,19.93,20.33,72162.535
57,2021-10-24,19.03,21.91,20.28,19.93,108726.814
58,2021-10-23,19.63,20.5,20.47,20.2,65167.858
59,2021-10-22,20.11,21.8,20.88,20.36,85542.197
60,2021-10-21,20.22,24.04,21.28,21.01,230930.819
61,2021-10-20,19.82,21.72,20.47,21.28,122742.577
62,2021-10-19,19.82,24.5,21.36,20.46,139360.275
63,2021-10-18,19.02,24.5,22.11,21.33,131753.091
64,2021-10-17,21.46,24.3,24.11,22.23,139458.296
65,2021-10-16,22.94,26.0,24.56,24.2,199983.004
66,2021-10-15,21.6,31.8,24.88,24.61,683742.914
67,2021-10-14,24.64,32.25,32.25,24.81,369626.56
