,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.3,1.58,1.41,1.42,426036.15
1,2021-12-19,1.35,1.48,1.44,1.39,177129.69
2,2021-12-18,1.35,1.47,1.41,1.45,181489.55
3,2021-12-17,1.31,1.5,1.48,1.41,333627.46
4,2021-12-16,1.41,1.62,1.55,1.46,520781.7
5,2021-12-15,1.3,1.64,1.44,1.55,655861.48
6,2021-12-14,1.31,1.49,1.38,1.42,385925.2
7,2021-12-13,1.29,1.71,1.71,1.38,657341.12
8,2021-12-12,1.58,1.75,1.69,1.69,747226.98
9,2021-12-11,1.47,1.86,1.54,1.67,1545440.96
10,2021-12-10,1.43,1.7,1.58,1.53,1734080.21
11,2021-12-09,1.49,2.09,1.99,1.56,792764.54
