,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.4659,0.5013,0.4954,0.4906,5824570.779469
1,2021-12-19,0.4944,0.5231,0.5147,0.4955,5637205.14177
2,2021-12-18,0.4932,0.531,0.5065,0.5149,4444425.921119
3,2021-12-17,0.4817,0.5293,0.5151,0.5069,7357474.079083
4,2021-12-16,0.5131,0.5495,0.5163,0.515,7530749.663657
5,2021-12-15,0.4731,0.5243,0.5045,0.5159,5794085.394367
6,2021-12-14,0.48,0.5117,0.4907,0.5054,5327915.318458
7,2021-12-13,0.4773,0.5675,0.5623,0.4904,6533495.73069
8,2021-12-12,0.5462,0.5766,0.5626,0.5626,4935939.516944
9,2021-12-11,0.5196,0.5662,0.5289,0.5614,3817498.368047
10,2021-12-10,0.5268,0.5918,0.5709,0.5286,12217359.166137
11,2021-12-09,0.5701,0.6432,0.6348,0.5703,8237098.078736
12,2021-12-08,0.5975,0.6447,0.6276,0.6348,8567428.825672
13,2021-12-07,0.615,0.6529,0.6359,0.6274,9616850.184472
14,2021-12-06,0.5611,0.6413,0.6287,0.6358,26959030.464972
15,2021-12-05,0.5973,0.7583,0.747,0.6285,35820445.805791
16,2021-12-04,0.6623,0.8479,0.8479,0.7463,9043655.884509
17,2021-12-03,0.8238,0.9126,0.8978,0.8495,4970466.375303
18,2021-12-02,0.8877,0.953,0.9504,0.8978,3348401.612954
19,2021-12-01,0.8874,1.0596,0.8942,0.9498,15381236.092283
20,2021-11-30,0.8517,0.9416,0.8862,0.8945,4766610.298087
21,2021-11-29,0.8706,0.9292,0.9178,0.8857,3896446.8521
22,2021-11-28,0.8518,0.964,0.9601,0.9174,4409155.298313
23,2021-11-27,0.8834,0.9821,0.8869,0.9598,5505861.537493
24,2021-11-26,0.8381,1.0136,0.9669,0.887,10990889.897384
25,2021-11-25,0.862,0.9977,0.8726,0.9656,9424821.852477
26,2021-11-24,0.8604,0.946,0.9192,0.873,5071099.426492
27,2021-11-23,0.7575,0.98,0.7659,0.919,22737000.895346
28,2021-11-22,0.7509,0.7901,0.7884,0.766,3170818.159296
29,2021-11-21,0.784,0.8326,0.8324,0.7877,2671405.966049
30,2021-11-20,0.799,0.8488,0.8001,0.8318,3997716.817771
31,2021-11-19,0.7118,0.8378,0.7207,0.8004,7828194.795437
32,2021-11-18,0.707,0.8269,0.7905,0.7207,7599981.191505
33,2021-11-17,0.7625,0.8112,0.7977,0.791,5034247.104548
34,2021-11-16,0.76,0.9034,0.9034,0.7982,8584498.091806
35,2021-11-15,0.9007,0.9532,0.919,0.9034,2833014.896741
36,2021-11-14,0.8974,0.9317,0.9113,0.9188,3358575.158464
37,2021-11-13,0.8887,0.9271,0.8993,0.9112,2058915.432982
38,2021-11-12,0.8368,0.9375,0.9206,0.8991,10261648.287411
39,2021-11-11,0.9,0.9479,0.9113,0.9209,5911533.953943
40,2021-11-10,0.8826,1.025,0.9813,0.9145,8800669.376279
41,2021-11-09,0.9612,1.0138,0.9931,0.9808,6525645.961084
42,2021-11-08,0.9366,1.0107,0.9502,0.9945,8366174.724638
43,2021-11-07,0.9404,0.962,0.947,0.9502,2719252.222275
44,2021-11-06,0.9082,0.9667,0.9509,0.9477,3584374.294525
45,2021-11-05,0.9403,0.9779,0.9631,0.9509,3965168.571893
46,2021-11-04,0.9374,1.02,1.0131,0.9629,6305542.264382
47,2021-11-03,0.9623,1.0399,0.9943,1.0131,8773486.403771
48,2021-11-02,0.9923,1.0325,1.0059,0.9939,5707642.125686
49,2021-11-01,0.9759,1.04,1.0296,1.0051,4777766.090428
50,2021-10-31,0.9694,1.0445,1.0038,1.0297,6588709.322856
51,2021-10-30,0.986,1.0434,1.0394,1.0044,8578276.724905
52,2021-10-29,1.0314,1.0905,1.0355,1.0394,6778662.917741
53,2021-10-28,0.9953,1.1021,1.0152,1.0349,7203345.672112
54,2021-10-27,1.0135,1.1636,1.1211,1.0153,9656383.082725
55,2021-10-26,1.0997,1.1831,1.1158,1.1201,8780513.708808
56,2021-10-25,1.083,1.13,1.0882,1.1151,4240876.789632
57,2021-10-24,1.0601,1.1418,1.1092,1.0878,4655765.613126
58,2021-10-23,1.0844,1.1178,1.1071,1.1087,2650747.461624
59,2021-10-22,1.0852,1.1482,1.1181,1.1066,6263385.941224
60,2021-10-21,1.0526,1.1362,1.0617,1.1178,14066620.724658
61,2021-10-20,0.9718,1.07,0.9831,1.0611,7163213.153807
62,2021-10-19,0.9643,1.0074,0.9905,0.9829,3779880.544899
