,Date,Open,High,Low,Close,Volume
0,2021-11-06,25.23,26.14,25.26,25.32,3196.905839
1,2021-11-05,25.07,25.86,25.34,25.16,11623.330006
2,2021-11-04,25.13,26.77,26.19,25.34,26302.706281
3,2021-11-03,24.81,26.25,25.93,26.17,26575.07736
4,2021-11-02,25.16,27.59,25.8,26.05,34953.144663
5,2021-11-01,23.85,26.07,25.07,25.71,28020.911787
6,2021-10-31,24.5,26.95,25.5,25.07,64681.033107
7,2021-10-30,23.3,27.0,23.66,26.22,37483.774977
8,2021-10-29,23.32,24.0,23.47,23.66,9575.214138
9,2021-10-28,22.16,23.5,22.68,23.45,16331.908039
10,2021-10-27,22.68,24.72,24.51,22.68,25312.82413
11,2021-10-26,24.4,25.16,24.82,24.5,17285.931335
12,2021-10-25,24.5,25.18,24.89,24.79,12718.519409
13,2021-10-24,24.73,25.23,25.03,24.91,8884.773573
14,2021-10-23,24.23,26.0,24.37,25.02,25300.82025
15,2021-10-22,24.22,24.93,24.51,24.32,7371.623187
16,2021-10-21,24.5,25.07,24.86,24.5,13468.134951
17,2021-10-20,23.91,24.89,24.23,24.85,17853.472723
18,2021-10-19,23.96,24.52,24.21,24.22,6959.975553
19,2021-10-18,23.82,24.66,24.47,24.21,17064.729069
20,2021-10-17,24.2,25.44,25.0,24.37,19229.761261
21,2021-10-16,24.33,25.95,24.43,25.01,33869.346652
22,2021-10-15,23.9,25.3,25.26,24.44,28475.003292
23,2021-10-14,24.91,25.63,24.94,25.25,14162.215024
24,2021-10-13,23.5,24.93,23.9,24.93,14055.397305
25,2021-10-12,23.28,24.86,24.86,23.84,22615.442195
26,2021-10-11,24.43,26.12,25.27,24.86,25185.551186
27,2021-10-10,25.0,27.68,26.0,25.21,22427.439948
28,2021-10-09,25.56,26.98,26.97,26.03,22148.962846
29,2021-10-08,25.59,28.42,25.59,26.98,91716.061876
30,2021-10-07,24.56,25.73,25.37,25.59,16531.883344
31,2021-10-06,23.72,26.2,25.35,25.36,32943.327295
32,2021-10-05,23.59,25.42,24.27,25.37,20739.099031
33,2021-10-04,23.57,25.41,24.34,24.22,39823.908041
34,2021-10-03,23.69,24.77,24.02,24.35,11303.733083
35,2021-10-02,23.54,24.49,23.82,24.01,22036.176638
36,2021-10-01,21.75,24.3,21.84,23.85,32583.049402
37,2021-09-30,20.55,22.53,20.68,21.73,19668.649969
38,2021-09-29,20.2,21.78,20.21,20.7,22189.758174
39,2021-09-28,20.11,22.49,21.91,20.21,15066.659844
40,2021-09-27,21.53,23.27,22.41,21.9,20969.691502
41,2021-09-26,22.0,22.91,22.62,22.39,10747.015274
42,2021-09-25,22.5,23.08,22.83,22.62,10883.286235
43,2021-09-24,22.18,24.2,24.08,22.9,16871.54539
44,2021-09-23,23.54,26.77,26.77,24.08,43369.079947
45,2021-09-22,21.05,26.77,21.25,26.77,41702.270115
46,2021-09-21,21.17,23.22,22.92,21.3,30149.666031
47,2021-09-20,22.91,26.15,26.08,22.92,35816.896263
48,2021-09-19,25.83,26.47,26.47,26.1,9951.679615
49,2021-09-18,25.79,26.53,26.16,26.49,11009.370352
50,2021-09-17,25.79,26.91,26.56,26.15,10198.99938
51,2021-09-16,26.27,27.32,26.95,26.58,11752.981296
52,2021-09-15,26.36,27.49,26.46,26.97,13752.520435
53,2021-09-14,26.0,26.51,26.19,26.47,10431.141843
54,2021-09-13,25.14,27.43,27.27,26.17,23382.585653
55,2021-09-12,26.6,27.63,26.61,27.4,26187.983695
56,2021-09-11,25.53,27.27,25.65,26.68,16035.226706
57,2021-09-10,25.39,28.53,27.55,25.65,38161.363674
58,2021-09-09,25.55,27.99,26.28,27.55,24110.836809
59,2021-09-08,24.8,27.59,27.36,26.3,24608.269012
60,2021-09-07,25.86,32.6,32.45,27.36,57389.206612
61,2021-09-06,30.73,33.92,33.23,32.41,42760.612682
62,2021-09-05,31.5,34.63,32.72,33.27,63606.367102
63,2021-09-04,28.5,32.72,29.26,32.71,111301.240624
64,2021-09-03,28.08,29.45,28.53,29.29,19125.013502
65,2021-09-02,28.46,29.11,28.55,28.5,18979.345673
66,2021-09-01,27.2,28.68,27.88,28.65,15349.685585
67,2021-08-31,27.1,30.48,27.24,27.88,61213.360933
68,2021-08-30,26.93,29.04,29.04,27.25,31443.25014
69,2021-08-29,28.2,29.65,28.2,29.04,31916.837806
70,2021-08-28,27.71,28.92,27.77,28.23,16959.629853
71,2021-08-27,26.65,29.36,26.97,27.81,41628.97043
72,2021-08-26,26.51,28.94,28.61,27.0,22858.631687
73,2021-08-25,26.61,28.63,27.84,28.59,25471.732114
74,2021-08-24,27.07,30.15,30.1,27.77,25802.217401
75,2021-08-23,28.79,30.49,29.58,30.08,25077.923108
76,2021-08-22,27.76,30.48,28.36,29.66,59330.248483
77,2021-08-21,27.87,29.16,28.13,28.37,31929.353712
78,2021-08-20,27.43,28.26,27.48,28.15,15685.524718
79,2021-08-19,26.07,27.62,26.57,27.48,21688.323209
80,2021-08-18,25.88,28.42,26.9,26.56,27410.058532
81,2021-08-17,26.8,30.5,27.72,26.85,64643.922896
82,2021-08-16,27.72,28.5,28.08,27.72,26076.204722
83,2021-08-15,27.6,28.38,28.38,28.16,17575.457647
84,2021-08-14,27.68,30.46,28.75,28.44,50407.474309
85,2021-08-13,27.0,28.87,27.07,28.75,14493.461794
86,2021-08-12,26.3,28.63,28.29,27.07,21715.62936
87,2021-08-11,27.6,29.28,28.69,28.35,49395.994214
88,2021-08-10,26.98,29.0,27.51,28.68,27396.682342
89,2021-08-09,25.51,27.8,26.64,27.55,32704.731022
90,2021-08-08,26.57,29.89,27.19,26.67,92098.554404
91,2021-08-07,26.64,27.85,26.69,27.24,30932.524715
92,2021-08-06,26.51,27.25,26.68,26.69,17041.988646
93,2021-08-05,26.04,27.04,27.04,26.68,18109.138872
94,2021-08-04,26.01,27.1,26.14,27.04,16371.319272
95,2021-08-03,26.0,27.25,26.93,26.15,11906.507803
96,2021-08-02,26.73,31.0,26.9,27.01,104919.920482
97,2021-08-01,26.9,27.51,27.38,26.9,18323.319059
98,2021-07-31,26.56,27.77,27.16,27.37,30724.178568
99,2021-07-30,26.1,27.16,26.43,27.16,25259.926779
100,2021-07-29,26.13,26.96,26.93,26.43,19330.715109
101,2021-07-28,26.46,28.78,27.67,26.93,37039.20812
102,2021-07-27,25.27,29.35,28.79,27.66,64521.13616
103,2021-07-26,27.8,32.48,31.42,28.9,167302.283917
104,2021-07-25,26.26,34.0,27.01,31.43,404761.332473
105,2021-07-24,19.33,27.5,19.48,26.95,243956.063017
106,2021-07-23,19.1,19.57,19.22,19.47,5851.628391
107,2021-07-22,18.81,19.6,19.17,19.23,14701.127161
108,2021-07-21,17.65,19.7,18.01,19.17,18181.700925
109,2021-07-20,17.63,19.82,19.04,17.93,35661.948237
