,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.339,0.38563,0.37122,0.35069,28534780
1,2021-12-19,0.371,0.39725,0.39386,0.371,15455600
2,2021-12-18,0.37501,0.40707,0.3826,0.39419,18475668
3,2021-12-17,0.37001,0.41851,0.39706,0.38216,21226910
4,2021-12-16,0.39226,0.44779,0.4063,0.39678,31679457
5,2021-12-15,0.36669,0.42485,0.39778,0.40539,34890574
6,2021-12-14,0.37144,0.43621,0.40527,0.3981,36861802
7,2021-12-13,0.40287,0.4879,0.47952,0.40574,40628746
8,2021-12-12,0.46794,0.49623,0.48104,0.47961,30153530
9,2021-12-11,0.44905,0.52202,0.45958,0.47985,52895764
10,2021-12-10,0.43246,0.56746,0.46586,0.46037,94801424
11,2021-12-09,0.46225,0.52409,0.50571,0.46531,44824828
12,2021-12-08,0.4982,0.54688,0.53039,0.50572,47002949
13,2021-12-07,0.51936,0.6071,0.56586,0.5302,73724365
14,2021-12-06,0.51001,0.58942,0.54631,0.56552,77928601
15,2021-12-05,0.5386,0.66521,0.60348,0.54626,106321946
16,2021-12-04,0.4515,0.71694,0.55519,0.60358,182728482
17,2021-12-03,0.52558,0.67683,0.63635,0.55583,116673271
18,2021-12-02,0.59475,0.81,0.67282,0.63635,256150104
19,2021-12-01,0.44728,0.88881,0.44954,0.67163,488263822
20,2021-11-30,0.44325,0.53804,0.49075,0.44953,129166941
21,2021-11-29,0.48012,0.585,0.58064,0.49078,123561395
22,2021-11-28,0.505,0.68099,0.66764,0.5806,197621627
23,2021-11-27,0.65013,0.83,0.75108,0.66837,312556160
24,2021-11-26,0.625,1.19,0.78353,0.75469,716246027
25,2021-11-25,0.20476,0.97,0.20542,0.77685,763490048
26,2021-11-24,0.19834,0.21295,0.20698,0.20524,17247585
27,2021-11-23,0.20015,0.22515,0.20194,0.20697,37210123
28,2021-11-22,0.19691,0.20626,0.2031,0.20194,14994669
29,2021-11-21,0.20232,0.21568,0.21327,0.20307,14231893
30,2021-11-20,0.1988,0.215,0.1988,0.2131,15351868
31,2021-11-19,0.186,0.20547,0.18886,0.1985,18915403
32,2021-11-18,0.188,0.20511,0.20253,0.18902,13105399
33,2021-11-17,0.19774,0.20769,0.20767,0.20231,9985302
34,2021-11-16,0.20206,0.22036,0.21923,0.20756,15229770
35,2021-11-15,0.2185,0.242,0.2378,0.21961,18249641
36,2021-11-14,0.21591,0.24499,0.21594,0.23788,53747909
37,2021-11-13,0.20806,0.22192,0.2135,0.21608,14182164
38,2021-11-12,0.20875,0.22175,0.21969,0.21322,12265886
39,2021-11-11,0.21359,0.22756,0.21477,0.21973,14104495
40,2021-11-10,0.211,0.25362,0.21934,0.21486,45877286
41,2021-11-09,0.21777,0.22424,0.22231,0.21934,14910621
42,2021-11-08,0.2166,0.22894,0.22118,0.22231,18588065
43,2021-11-07,0.21884,0.24,0.22486,0.22116,20644555
44,2021-11-06,0.21922,0.22916,0.22335,0.22486,12026307
45,2021-11-05,0.21876,0.2432,0.24231,0.22339,30155858
46,2021-11-04,0.22346,0.26241,0.2313,0.24259,80112589
47,2021-11-03,0.21375,0.2521,0.21657,0.2313,50160498
48,2021-11-02,0.20826,0.23529,0.2091,0.2164,45169128
49,2021-11-01,0.20057,0.21341,0.20496,0.2091,20315697
50,2021-10-31,0.19606,0.21424,0.1998,0.20498,30137268
51,2021-10-30,0.19809,0.219,0.20273,0.19962,43579533
52,2021-10-29,0.19659,0.2073,0.19875,0.20255,14974450
53,2021-10-28,0.18689,0.20445,0.18838,0.19878,25504663
54,2021-10-27,0.18777,0.21629,0.21427,0.18838,30751276
55,2021-10-26,0.20958,0.22361,0.22182,0.21427,17788900
56,2021-10-25,0.21349,0.2266,0.21398,0.22177,11708932
57,2021-10-24,0.21361,0.22425,0.22373,0.21383,14621903
58,2021-10-23,0.21642,0.24723,0.22237,0.22396,43620173
59,2021-10-22,0.215,0.22804,0.21701,0.22229,18595608
60,2021-10-21,0.2169,0.2313,0.22824,0.21693,16940524
61,2021-10-20,0.21802,0.23441,0.223,0.22822,19247602
62,2021-10-19,0.20413,0.246,0.23717,0.22298,31159899
63,2021-10-18,0.22821,0.2875,0.23938,0.2375,118513635
64,2021-10-17,0.20753,0.29299,0.20963,0.23938,160142443
65,2021-10-16,0.20258,0.221,0.20489,0.21019,29398068
66,2021-10-15,0.1978,0.22683,0.2062,0.20536,51312635
67,2021-10-14,0.20403,0.22475,0.21834,0.20632,32857877
68,2021-10-13,0.2094,0.24666,0.24099,0.21901,110020268
69,2021-10-12,0.19184,0.27799,0.19993,0.24104,219950076
70,2021-10-11,0.18273,0.21493,0.18378,0.20027,52399091
71,2021-10-10,0.18247,0.20562,0.19549,0.18409,16227493
72,2021-10-09,0.18735,0.19845,0.18753,0.19551,23779289
73,2021-10-08,0.18672,0.19464,0.18965,0.18768,10712366
74,2021-10-07,0.185,0.20415,0.19294,0.18969,26183669
75,2021-10-06,0.18753,0.20687,0.19872,0.19288,13844270
76,2021-10-05,0.19287,0.20594,0.19943,0.19853,13233730
77,2021-10-04,0.19658,0.20841,0.20713,0.19915,15532964
78,2021-10-03,0.20005,0.22057,0.21948,0.20713,32202007
79,2021-10-02,0.18786,0.2377,0.19253,0.2193,52443240
80,2021-10-01,0.17788,0.1946,0.18089,0.19251,12598856
81,2021-09-30,0.17417,0.18504,0.17417,0.18089,9893219
82,2021-09-29,0.17164,0.18186,0.17819,0.1744,6416680
