,Date,Open,High,Low,Close,Volume
0,2021-11-06,40.72,49.19,42.32,46.18,41428.65
1,2021-11-05,37.5,85.0,43.73,42.32,307348.551
2,2021-11-04,40.0,51.03,42.57,43.73,74222.249
3,2021-11-03,37.3,43.08,39.22,42.59,24824.691
4,2021-11-02,36.48,40.76,38.52,39.18,40339.694
5,2021-11-01,36.51,40.54,40.27,38.51,30346.622
6,2021-10-31,38.69,42.0,40.58,40.29,19844.439
7,2021-10-30,39.48,43.01,43.01,40.55,12416.163
8,2021-10-29,40.34,48.0,40.86,43.0,71888.262
9,2021-10-28,33.12,41.23,34.18,40.86,40393.625
10,2021-10-27,33.73,39.7,37.48,34.18,32120.871
11,2021-10-26,35.74,39.7,36.27,37.52,39389.283
12,2021-10-25,32.69,37.0,33.65,36.29,31672.583
13,2021-10-24,32.27,37.48,36.45,33.65,28993.221
14,2021-10-23,34.31,37.7,34.59,36.42,29044.335
15,2021-10-22,33.01,39.9,37.01,34.58,48714.379
16,2021-10-21,35.25,38.11,37.11,36.78,40277.889
17,2021-10-20,34.8,39.09,36.01,37.41,53749.717
18,2021-10-19,35.8,40.1,37.79,35.92,42427.477
19,2021-10-18,37.25,42.0,39.75,37.94,40381.603
20,2021-10-17,37.22,51.52,38.96,39.47,185170.451
21,2021-10-16,33.7,41.1,36.1,38.95,86195.396
22,2021-10-15,35.1,48.65,46.59,36.09,176460.788
23,2021-10-14,34.97,58.0,38.76,46.59,291780.786
24,2021-10-13,28.33,45.0,28.47,38.76,279997.693
25,2021-10-12,27.5,31.3,31.1,28.47,37884.332
26,2021-10-11,29.01,32.83,30.18,31.0,41457.559
27,2021-10-10,28.66,32.98,29.33,30.19,52011.973
28,2021-10-09,27.85,29.61,28.87,29.48,23054.023
29,2021-10-08,26.37,31.62,27.16,28.88,65723.464
30,2021-10-07,25.28,27.53,26.71,26.97,81824.861
31,2021-10-06,26.7,30.6,30.24,26.7,56554.3
32,2021-10-05,29.47,31.65,29.98,30.4,101760.089
33,2021-10-04,27.64,31.14,30.29,29.98,111579.275
34,2021-10-03,24.97,35.96,25.05,30.29,164095.408
35,2021-10-02,24.06,26.99,24.33,25.03,62757.854
36,2021-10-01,22.74,26.4,23.34,24.33,97150.735
37,2021-09-30,19.53,25.7,19.64,23.34,180306.153
38,2021-09-29,19.35,20.72,19.61,19.65,53935.177
39,2021-09-28,19.43,22.98,22.78,19.72,80107.171
40,2021-09-27,21.04,26.62,25.31,22.9,115338.433
41,2021-09-26,19.07,31.0,21.69,25.31,219425.82
42,2021-09-25,19.58,24.0,19.78,21.85,227439.368
43,2021-09-24,16.9,20.5,17.76,19.78,121487.817
44,2021-09-23,16.73,19.5,17.33,17.79,74894.117
45,2021-09-22,14.58,19.74,14.75,17.33,101312.365
46,2021-09-21,14.23,17.63,16.73,14.78,76994.337
47,2021-09-20,15.8,20.89,19.97,16.93,164199.872
48,2021-09-19,18.66,21.82,20.34,19.8,118334.045
49,2021-09-18,18.06,23.88,18.67,20.34,261933.053
50,2021-09-17,16.02,20.68,16.29,18.88,240773.586
51,2021-09-16,15.51,18.34,17.17,16.3,187199.905
52,2021-09-15,16.22,21.0,18.59,17.17,323583.908
53,2021-09-14,14.98,21.99,15.5,18.59,527764.189
54,2021-09-13,13.33,17.74,15.25,15.54,127346.654
55,2021-09-12,15.07,17.38,15.91,15.39,114165.014
56,2021-09-11,14.0,19.0,16.47,15.91,277775.405
57,2021-09-10,12.98,17.37,17.36,16.49,358255.344
58,2021-09-09,15.75,24.99,19.95,17.36,243654.524
