,Date,Open,High,Low,Close,Volume
0,2021-12-20,20.61,23.78,23.21,22.32,130883.46
1,2021-12-19,21.07,33.9,22.29,23.26,294235.357
2,2021-12-18,19.42,23.17,19.78,22.3,37530.571
3,2021-12-17,19.59,21.79,21.68,19.82,17783.757
4,2021-12-16,21.47,22.67,21.61,21.7,18850.23
5,2021-12-15,20.4,22.05,21.31,21.61,24320.08
6,2021-12-14,20.29,23.0,20.84,21.29,90342.659
7,2021-12-13,20.7,21.6,21.59,20.84,40799.179
8,2021-12-12,20.86,21.63,21.49,21.6,7889.148
9,2021-12-11,20.7,21.88,20.71,21.41,29742.494
10,2021-12-10,20.0,22.78,20.37,20.71,73195.476
11,2021-12-09,20.01,23.98,22.15,20.37,32028.277
12,2021-12-08,21.82,24.44,22.68,22.14,37215.501
13,2021-12-07,22.54,24.87,24.36,22.67,22308.248
14,2021-12-06,21.87,26.24,24.58,24.35,52045.742
15,2021-12-05,23.25,26.6,23.47,24.5,80236.063
16,2021-12-04,19.12,24.54,24.12,23.37,65500.248
17,2021-12-03,23.2,26.32,25.63,24.12,34872.774
18,2021-12-02,25.07,27.21,26.07,25.56,53975.775
19,2021-12-01,25.25,29.38,27.65,26.07,98856.225
20,2021-11-30,24.99,33.99,27.61,27.59,253430.6
21,2021-11-29,23.97,31.37,24.48,27.51,135581.322
22,2021-11-28,22.49,26.0,24.26,24.44,56917.932
23,2021-11-27,24.0,26.26,24.61,24.16,42573.921
24,2021-11-26,23.7,30.59,29.88,24.58,75328.716
25,2021-11-25,29.01,30.98,30.53,30.05,24011.689
26,2021-11-24,29.24,32.28,31.98,30.61,21989.912
27,2021-11-23,30.71,33.62,32.98,32.11,28980.803
28,2021-11-22,30.23,41.28,36.12,32.7,137408.634
29,2021-11-21,28.72,49.15,30.46,36.11,151751.392
30,2021-11-20,28.81,32.71,30.35,30.58,24248.52
31,2021-11-19,27.91,32.14,29.89,30.37,34672.651
32,2021-11-18,29.31,34.41,31.91,29.81,28969.437
33,2021-11-17,30.8,36.78,36.53,31.98,55283.068
34,2021-11-16,34.32,39.7,39.68,36.54,36600.625
35,2021-11-15,37.5,40.78,40.45,39.68,28576.147
36,2021-11-14,39.85,42.15,41.55,40.27,15364.294
37,2021-11-13,41.24,43.1,42.04,41.55,11365.543
38,2021-11-12,39.75,44.0,41.11,42.01,37435.499
39,2021-11-11,40.85,42.79,41.56,41.24,21227.032
40,2021-11-10,41.01,44.02,43.28,41.65,36576.717
41,2021-11-09,43.14,46.67,45.86,43.28,31969.734
42,2021-11-08,43.63,49.07,48.88,45.86,43736.252
43,2021-11-07,46.04,51.1,49.9,48.79,56463.2
44,2021-11-06,40.72,61.76,42.32,49.91,227040.244
45,2021-11-05,37.5,85.0,43.73,42.32,307348.551
46,2021-11-04,40.0,51.03,42.57,43.73,74222.249
47,2021-11-03,37.3,43.08,39.22,42.59,24824.691
48,2021-11-02,36.48,40.76,38.52,39.18,40339.694
49,2021-11-01,36.51,40.54,40.27,38.51,30346.622
50,2021-10-31,38.69,42.0,40.58,40.29,19844.439
51,2021-10-30,39.48,43.01,43.01,40.55,12416.163
52,2021-10-29,40.34,48.0,40.86,43.0,71888.262
53,2021-10-28,33.12,41.23,34.18,40.86,40393.625
54,2021-10-27,33.73,39.7,37.48,34.18,32120.871
55,2021-10-26,35.74,39.7,36.27,37.52,39389.283
56,2021-10-25,32.69,37.0,33.65,36.29,31672.583
57,2021-10-24,32.27,37.48,36.45,33.65,28993.221
58,2021-10-23,34.31,37.7,34.59,36.42,29044.335
59,2021-10-22,33.01,39.9,37.01,34.58,48714.379
60,2021-10-21,35.25,38.11,37.11,36.78,40277.889
61,2021-10-20,34.8,39.09,36.01,37.41,53749.717
62,2021-10-19,35.8,40.1,37.79,35.92,42427.477
63,2021-10-18,37.25,42.0,39.75,37.94,40381.603
64,2021-10-17,37.22,51.52,38.96,39.47,185170.451
65,2021-10-16,33.7,41.1,36.1,38.95,86195.396
66,2021-10-15,35.1,48.65,46.59,36.09,176460.788
67,2021-10-14,34.97,58.0,38.76,46.59,291780.786
68,2021-10-13,28.33,45.0,28.47,38.76,279997.693
69,2021-10-12,27.5,31.3,31.1,28.47,37884.332
70,2021-10-11,29.01,32.83,30.18,31.0,41457.559
71,2021-10-10,28.66,32.98,29.33,30.19,52011.973
72,2021-10-09,27.85,29.61,28.87,29.48,23054.023
73,2021-10-08,26.37,31.62,27.16,28.88,65723.464
74,2021-10-07,25.28,27.53,26.71,26.97,81824.861
75,2021-10-06,26.7,30.6,30.24,26.7,56554.3
76,2021-10-05,29.47,31.65,29.98,30.4,101760.089
77,2021-10-04,27.64,31.14,30.29,29.98,111579.275
78,2021-10-03,24.97,35.96,25.05,30.29,164095.408
79,2021-10-02,24.06,26.99,24.33,25.03,62757.854
80,2021-10-01,22.74,26.4,23.34,24.33,97150.735
81,2021-09-30,19.53,25.7,19.64,23.34,180306.153
82,2021-09-29,19.35,20.72,19.61,19.65,53935.177
83,2021-09-28,19.43,22.98,22.78,19.72,80107.171
84,2021-09-27,21.04,26.62,25.31,22.9,115338.433
85,2021-09-26,19.07,31.0,21.69,25.31,219425.82
86,2021-09-25,19.58,24.0,19.78,21.85,227439.368
87,2021-09-24,16.9,20.5,17.76,19.78,121487.817
88,2021-09-23,16.73,19.5,17.33,17.79,74894.117
89,2021-09-22,14.58,19.74,14.75,17.33,101312.365
90,2021-09-21,14.23,17.63,16.73,14.78,76994.337
91,2021-09-20,15.8,20.89,19.97,16.93,164199.872
92,2021-09-19,18.66,21.82,20.34,19.8,118334.045
93,2021-09-18,18.06,23.88,18.67,20.34,261933.053
94,2021-09-17,16.02,20.68,16.29,18.88,240773.586
95,2021-09-16,15.51,18.34,17.17,16.3,187199.905
96,2021-09-15,16.22,21.0,18.59,17.17,323583.908
97,2021-09-14,14.98,21.99,15.5,18.59,527764.189
98,2021-09-13,13.33,17.74,15.25,15.54,127346.654
99,2021-09-12,15.07,17.38,15.91,15.39,114165.014
100,2021-09-11,14.0,19.0,16.47,15.91,277775.405
101,2021-09-10,12.98,17.37,17.36,16.49,358255.344
102,2021-09-09,15.75,24.99,19.95,17.36,243654.524
