,Date,Open,High,Low,Close,Volume
0,2021-11-06,4.904,5.125,4.941,5.03,226309.99
1,2021-11-05,4.792,5.3,4.906,4.943,1346035.72
2,2021-11-04,4.744,5.333,5.008,4.907,1075968.64
3,2021-11-03,4.682,5.546,5.283,5.008,3407937.09
4,2021-11-02,4.277,6.67,4.327,5.283,8775895.43
5,2021-11-01,4.176,4.551,4.4,4.33,709414.02
6,2021-10-31,4.147,4.567,4.164,4.399,1633375.04
7,2021-10-30,3.971,4.314,4.116,4.167,1002837.11
8,2021-10-29,3.949,4.254,3.977,4.115,625383.67
9,2021-10-28,3.779,4.086,3.81,3.979,883746.2
10,2021-10-27,3.643,4.381,4.226,3.804,1626376.3
11,2021-10-26,4.149,4.386,4.268,4.228,595670.29
12,2021-10-25,4.016,4.327,4.047,4.266,618181.94
13,2021-10-24,3.919,4.19,4.171,4.044,602311.56
14,2021-10-23,3.967,4.207,4.117,4.171,1322163.63
15,2021-10-22,4.055,4.266,4.167,4.118,1110363.98
16,2021-10-21,4.151,4.5,4.406,4.171,1044189.58
17,2021-10-20,4.291,4.491,4.31,4.405,1273368.03
18,2021-10-19,4.265,4.587,4.559,4.308,1351431.54
19,2021-10-18,4.406,4.767,4.759,4.557,1099773.8
20,2021-10-17,4.238,4.759,4.549,4.75,820547.51
21,2021-10-16,4.502,4.82,4.558,4.545,1060041.61
22,2021-10-15,4.168,4.973,4.297,4.557,2438635.07
23,2021-10-14,4.23,4.548,4.403,4.297,967932.49
24,2021-10-13,3.866,4.744,3.966,4.401,4235921.89
25,2021-10-12,3.63,4.01,3.736,3.966,1619580.0
26,2021-10-11,3.525,3.89,3.565,3.737,880631.44
27,2021-10-10,3.55,3.84,3.838,3.572,462473.88
28,2021-10-09,3.759,3.934,3.798,3.844,960133.85
29,2021-10-08,3.764,3.96,3.851,3.799,625977.5
30,2021-10-07,3.82,4.029,4.0,3.851,536373.49
31,2021-10-06,3.696,4.203,4.064,4.0,1258271.77
32,2021-10-05,3.719,4.086,3.759,4.061,991455.5
33,2021-10-04,3.634,3.903,3.897,3.759,675199.01
34,2021-10-03,3.751,4.096,3.846,3.902,722502.84
35,2021-10-02,3.706,4.04,3.759,3.853,879614.58
36,2021-10-01,3.457,3.819,3.47,3.762,1370505.7
37,2021-09-30,3.252,3.531,3.273,3.468,1092521.01
38,2021-09-29,3.164,3.478,3.178,3.27,382731.16
39,2021-09-28,3.149,3.353,3.316,3.196,909411.05
40,2021-09-27,3.198,3.705,3.248,3.323,1038191.9
41,2021-09-26,3.013,3.489,3.426,3.253,1142943.43
42,2021-09-25,3.078,3.591,3.192,3.427,1320478.05
43,2021-09-24,2.9,3.492,3.477,3.191,1221937.44
44,2021-09-23,3.273,3.507,3.376,3.474,501870.72
45,2021-09-22,2.938,3.467,3.024,3.381,747370.93
46,2021-09-21,2.888,3.416,3.255,3.024,1223478.38
47,2021-09-20,3.133,3.855,3.851,3.253,1397392.93
48,2021-09-19,3.75,3.938,3.927,3.841,531328.93
49,2021-09-18,3.786,4.174,3.85,3.93,558848.79
50,2021-09-17,3.786,4.063,4.023,3.849,476516.28
51,2021-09-16,3.932,4.303,4.247,4.025,570977.76
52,2021-09-15,3.971,4.502,4.026,4.249,953204.13
53,2021-09-14,3.791,4.03,3.848,4.027,509972.37
54,2021-09-13,3.625,4.164,4.126,3.849,852747.01
55,2021-09-12,3.825,4.312,3.93,4.126,684765.04
56,2021-09-11,3.823,4.192,3.905,3.93,522253.25
57,2021-09-10,3.749,4.398,4.088,3.901,1264713.93
