,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.6216,0.6377,0.6281,0.6344,1014357
1,2021-11-05,0.6265,0.6775,0.6645,0.6299,5630892
2,2021-11-04,0.6413,0.6936,0.6506,0.6619,10142412
3,2021-11-03,0.65,0.7108,0.6847,0.6506,13688520
4,2021-11-02,0.6522,0.7131,0.6929,0.6847,19463640
5,2021-11-01,0.5882,0.75,0.6068,0.6929,14720997
6,2021-10-31,0.5557,0.9,0.6617,0.6062,40466308
7,2021-10-30,0.5209,0.6976,0.5372,0.6594,25624228
8,2021-10-29,0.5106,0.5745,0.5364,0.5372,10366366
9,2021-10-28,0.5177,0.5515,0.5204,0.5364,6096901
10,2021-10-27,0.5166,0.5798,0.5675,0.52,6338702
11,2021-10-26,0.5586,0.584,0.5765,0.5675,4922918
12,2021-10-25,0.5734,0.5939,0.5781,0.5758,2640533
13,2021-10-24,0.5644,0.6159,0.6018,0.5786,3498345
14,2021-10-23,0.5913,0.6134,0.5954,0.6022,2120527
15,2021-10-22,0.5881,0.6237,0.607,0.5961,2844025
16,2021-10-21,0.6052,0.6699,0.6418,0.6073,5636854
17,2021-10-20,0.6113,0.6524,0.6236,0.6402,4697229
18,2021-10-19,0.6066,0.6335,0.6263,0.6253,3780544
19,2021-10-18,0.61,0.72,0.6424,0.6266,11669917
20,2021-10-17,0.5836,0.6848,0.5892,0.6411,8270827
21,2021-10-16,0.5774,0.649,0.5858,0.5892,8053985
22,2021-10-15,0.5405,0.6517,0.5585,0.5858,11126673
23,2021-10-14,0.5457,0.5763,0.5532,0.5588,2396010
24,2021-10-13,0.5303,0.5544,0.5513,0.5532,1760599
25,2021-10-12,0.5439,0.5743,0.574,0.5506,1488150
26,2021-10-11,0.5554,0.5855,0.5606,0.574,2545864
27,2021-10-10,0.5366,0.5961,0.5666,0.561,2980449
28,2021-10-09,0.5496,0.575,0.5527,0.5673,2254464
29,2021-10-08,0.5449,0.5706,0.548,0.5532,2975877
30,2021-10-07,0.5365,0.5576,0.5563,0.5479,2977184
31,2021-10-06,0.5418,0.5878,0.5766,0.5559,3613226
32,2021-10-05,0.5521,0.5795,0.5588,0.5761,3129707
33,2021-10-04,0.54,0.5818,0.5812,0.5578,5533060
34,2021-10-03,0.5746,0.5938,0.5868,0.5832,2519486
35,2021-10-02,0.5612,0.6,0.5811,0.5859,2804713
36,2021-10-01,0.5366,0.5859,0.5411,0.5812,3061657
37,2021-09-30,0.5233,0.5879,0.5253,0.5411,4297682
38,2021-09-29,0.5142,0.5429,0.5231,0.5253,2601746
39,2021-09-28,0.5223,0.549,0.5437,0.5232,1798011
40,2021-09-27,0.5431,0.5978,0.5825,0.5438,2751619
41,2021-09-26,0.532,0.5888,0.5659,0.5825,3637696
42,2021-09-25,0.5424,0.5747,0.5693,0.5668,2545137
43,2021-09-24,0.5243,0.6074,0.5953,0.5694,3691140
44,2021-09-23,0.581,0.6033,0.5906,0.5953,2034082
45,2021-09-22,0.5427,0.5969,0.5479,0.5899,2218960
46,2021-09-21,0.5313,0.6068,0.5823,0.5461,3954111
47,2021-09-20,0.5786,0.6682,0.6646,0.5814,3195134
48,2021-09-19,0.6543,0.6953,0.6879,0.6646,1930104
