,Date,Open,High,Low,Close,Volume
0,2021-12-20,2.82e-05,3.39e-05,3.08e-05,3.13e-05,5181324331084
1,2021-12-19,3.06e-05,3.19e-05,3.15e-05,3.07e-05,1975017158369
2,2021-12-18,3.08e-05,3.22e-05,3.12e-05,3.14e-05,1926395952384
3,2021-12-17,3.03e-05,3.32e-05,3.27e-05,3.12e-05,3074504646795
4,2021-12-16,3.26e-05,3.47e-05,3.39e-05,3.28e-05,2406940067993
5,2021-12-15,3.19e-05,3.44e-05,3.39e-05,3.39e-05,2910706982349
6,2021-12-14,3.24e-05,3.56e-05,3.3e-05,3.4e-05,3778532236186
7,2021-12-13,3.16e-05,3.69e-05,3.67e-05,3.29e-05,4211704756134
8,2021-12-12,3.38e-05,3.8e-05,3.45e-05,3.66e-05,3957270768222
9,2021-12-11,3.31e-05,3.51e-05,3.35e-05,3.45e-05,2358583531816
10,2021-12-10,3.33e-05,3.63e-05,3.46e-05,3.35e-05,3170709697609
11,2021-12-09,3.42e-05,3.73e-05,3.69e-05,3.47e-05,3309199434974
12,2021-12-08,3.56e-05,3.77e-05,3.63e-05,3.7e-05,3612065080475
13,2021-12-07,3.56e-05,3.88e-05,3.69e-05,3.62e-05,4370226058527
14,2021-12-06,3.28e-05,3.77e-05,3.63e-05,3.69e-05,5365262593503
15,2021-12-05,3.43e-05,3.83e-05,3.68e-05,3.63e-05,5057251248414
16,2021-12-04,3.21e-05,4.05e-05,4.05e-05,3.67e-05,7159659379505
17,2021-12-03,3.92e-05,4.5e-05,4.23e-05,4.05e-05,6381672318886
18,2021-12-02,4.11e-05,4.42e-05,4.42e-05,4.22e-05,4870153193260
19,2021-12-01,4.35e-05,4.88e-05,4.75e-05,4.42e-05,7923103178779
20,2021-11-30,4.33e-05,5.5e-05,4.54e-05,4.75e-05,18515148678432
21,2021-11-29,3.83e-05,4.6e-05,3.92e-05,4.54e-05,7716483780113
22,2021-11-28,3.62e-05,3.96e-05,3.92e-05,3.92e-05,4257573827824
23,2021-11-27,3.82e-05,4.18e-05,3.87e-05,3.92e-05,5024552740958
24,2021-11-26,3.63e-05,4.29e-05,4.28e-05,3.87e-05,8168667019123
25,2021-11-25,3.76e-05,4.84e-05,3.79e-05,4.28e-05,15030041635416
26,2021-11-24,3.56e-05,4.2e-05,4.19e-05,3.79e-05,11042290641488
27,2021-11-23,4.11e-05,4.46e-05,4.33e-05,4.2e-05,4829573187824
28,2021-11-22,4.27e-05,4.63e-05,4.41e-05,4.32e-05,4766512528495
29,2021-11-21,4.34e-05,4.78e-05,4.77e-05,4.41e-05,4188191633463
30,2021-11-20,4.56e-05,5.01e-05,4.85e-05,4.77e-05,5208713311611
31,2021-11-19,4.18e-05,5.29e-05,4.25e-05,4.85e-05,10179531593976
32,2021-11-18,4.05e-05,4.9e-05,4.81e-05,4.26e-05,10152495058650
33,2021-11-17,4.66e-05,4.99e-05,4.84e-05,4.81e-05,6420568083170
34,2021-11-16,4.52e-05,5.36e-05,5.35e-05,4.83e-05,7854994097242
35,2021-11-15,5.23e-05,5.6e-05,5.32e-05,5.35e-05,4482733728227
36,2021-11-14,5.15e-05,5.65e-05,5.17e-05,5.32e-05,5228084727063
37,2021-11-13,5.05e-05,5.29e-05,5.24e-05,5.17e-05,3577438226767
38,2021-11-12,5.13e-05,5.7e-05,5.67e-05,5.24e-05,5613863360481
39,2021-11-11,4.83e-05,5.8e-05,5.04e-05,5.67e-05,11117231977911
40,2021-11-10,4.59e-05,5.52e-05,5.49e-05,5.04e-05,11846225072025
41,2021-11-09,5.34e-05,5.85e-05,5.52e-05,5.49e-05,7778717640354
42,2021-11-08,5.25e-05,5.9e-05,5.7e-05,5.52e-05,10036363072853
43,2021-11-07,5.59e-05,5.98e-05,5.86e-05,5.69e-05,5927196512739
44,2021-11-06,5.5e-05,6.33e-05,6.28e-05,5.87e-05,12510738338693
45,2021-11-05,4.41e-05,6.56e-05,4.93e-05,6.28e-05,26191276647042
46,2021-11-04,4.13e-05,6.1e-05,5.4e-05,4.93e-05,34127901849374
47,2021-11-03,4.87e-05,6.92e-05,6.91e-05,5.39e-05,22994461532299
48,2021-11-02,6.62e-05,7.31e-05,7.16e-05,6.92e-05,13270230140594
49,2021-11-01,6.57e-05,7.5e-05,6.71e-05,7.16e-05,16742641275069
50,2021-10-31,5.81e-05,6.97e-05,6.53e-05,6.71e-05,19427322096478
51,2021-10-30,6.13e-05,7.8e-05,7.48e-05,6.54e-05,19701128514147
52,2021-10-29,6.03e-05,7.79e-05,6.88e-05,7.48e-05,25003307291426
53,2021-10-28,5.52e-05,8.894e-05,8.111e-05,6.89e-05,54279096950369
54,2021-10-27,4.689e-05,8.8e-05,4.798e-05,8.108e-05,63986226059498
55,2021-10-26,4.043e-05,4.98e-05,4.23e-05,4.798e-05,31634150643615
56,2021-10-25,3.505e-05,4.364e-05,3.607e-05,4.23e-05,24909275657356
57,2021-10-24,3.201e-05,4.559e-05,3.389e-05,3.607e-05,55155530960840
58,2021-10-23,2.762e-05,3.458e-05,2.794e-05,3.388e-05,18655823025905
59,2021-10-22,2.7e-05,2.847e-05,2.747e-05,2.794e-05,6142751018213
60,2021-10-21,2.703e-05,2.925e-05,2.923e-05,2.747e-05,7657666352124
61,2021-10-20,2.693e-05,2.957e-05,2.803e-05,2.925e-05,8198644533326
62,2021-10-19,2.751e-05,2.918e-05,2.867e-05,2.803e-05,7571952235394
63,2021-10-18,2.639e-05,2.958e-05,2.775e-05,2.867e-05,16249399760002
64,2021-10-17,2.376e-05,2.9e-05,2.572e-05,2.775e-05,11829673573895
65,2021-10-16,2.47e-05,2.659e-05,2.526e-05,2.572e-05,10719570393974
66,2021-10-15,2.333e-05,2.766e-05,2.742e-05,2.526e-05,26002337404652
67,2021-10-14,2.59e-05,2.984e-05,2.91e-05,2.742e-05,13720215083487
68,2021-10-13,2.77e-05,3.07e-05,2.906e-05,2.91e-05,13679412443629
69,2021-10-12,2.73e-05,3.156e-05,3.066e-05,2.906e-05,21754529450821
70,2021-10-11,2.584e-05,3.212e-05,2.616e-05,3.066e-05,30099294306360
71,2021-10-10,2.51e-05,2.782e-05,2.671e-05,2.616e-05,16808821854373
72,2021-10-09,2.415e-05,3e-05,2.729e-05,2.671e-05,27664393028438
73,2021-10-08,2.057e-05,2.95e-05,2.292e-05,2.727e-05,53103264344107
74,2021-10-07,2.029e-05,3.7e-05,2.794e-05,2.292e-05,97115417041931
75,2021-10-06,1.662e-05,2.945e-05,1.734e-05,2.794e-05,76256561739497
76,2021-10-05,1.208e-05,2.5e-05,1.348e-05,1.734e-05,70956971611954
77,2021-10-04,8.2e-06,1.54e-05,8.56e-06,1.349e-05,48519921914756
78,2021-10-03,7.65e-06,9.04e-06,7.87e-06,8.56e-06,8828728646898
79,2021-10-02,7.43e-06,8.26e-06,7.72e-06,7.88e-06,5020252027976
80,2021-10-01,7.16e-06,7.82e-06,7.22e-06,7.72e-06,4113210977188
81,2021-09-30,7e-06,7.44e-06,7.02e-06,7.21e-06,3342927954876
82,2021-09-29,6.91e-06,7.17e-06,6.97e-06,7.02e-06,2504677982674
83,2021-09-28,6.82e-06,7.18e-06,6.99e-06,6.98e-06,3024049155494
84,2021-09-27,6.9e-06,7.27e-06,7.11e-06,6.98e-06,2944845921478
85,2021-09-26,6.82e-06,7.34e-06,7.34e-06,7.11e-06,2947651492617
86,2021-09-25,7.11e-06,7.6e-06,7.38e-06,7.34e-06,3528623592227
87,2021-09-24,6.75e-06,7.88e-06,7.64e-06,7.39e-06,6678475561916
88,2021-09-23,7.09e-06,7.75e-06,7.26e-06,7.65e-06,4500476217476
89,2021-09-22,6.84e-06,7.33e-06,6.88e-06,7.26e-06,4517368674647
90,2021-09-21,6.59e-06,7.34e-06,7.02e-06,6.88e-06,5539387125062
91,2021-09-20,6.79e-06,8.24e-06,8.19e-06,7.02e-06,7359714007413
92,2021-09-19,7.36e-06,8.48e-06,7.86e-06,8.17e-06,8445364127353
93,2021-09-18,7.61e-06,8.62e-06,8.44e-06,7.86e-06,8832750100865
94,2021-09-17,8.1e-06,9.7e-06,8.81e-06,8.43e-06,25611870030486
95,2021-09-16,6.52e-06,1.34e-05,6.78e-06,8.81e-06,33971466502853
96,2021-09-15,6.6e-06,6.91e-06,6.67e-06,6.78e-06,1354279397992
97,2021-09-14,6.44e-06,6.9e-06,6.48e-06,6.67e-06,799842914475
98,2021-09-13,6.17e-06,7.1e-06,6.91e-06,6.48e-06,851872051559
99,2021-09-12,6.64e-06,7.19e-06,6.78e-06,6.91e-06,859389740690
100,2021-09-11,6.73e-06,7.35e-06,7.02e-06,6.77e-06,1663194647440
101,2021-09-10,6.76e-06,6e-05,5.67e-05,7.02e-06,3803666278890
102,2021-09-09,6e-06,9e-05,1e-05,5.67e-05,2011405203216
