,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.1865,0.2036,0.1923,0.1991,27546172.7
1,2021-12-19,0.1907,0.2028,0.1965,0.1922,10560126.2
2,2021-12-18,0.1855,0.1998,0.1897,0.1964,13844810.2
3,2021-12-17,0.1866,0.2066,0.2025,0.1899,21047816.0
4,2021-12-16,0.2017,0.2197,0.2083,0.2024,21923523.3
5,2021-12-15,0.1862,0.216,0.1995,0.2082,23416701.6
6,2021-12-14,0.1868,0.2019,0.1939,0.2003,21183359.3
7,2021-12-13,0.1889,0.2183,0.2165,0.1939,27322335.4
8,2021-12-12,0.2092,0.2226,0.2168,0.2164,18252793.5
9,2021-12-11,0.2007,0.2215,0.2048,0.2166,22745579.0
10,2021-12-10,0.2039,0.2284,0.2159,0.2051,32417644.6
11,2021-12-09,0.2145,0.2452,0.2351,0.2162,40751090.2
12,2021-12-08,0.2136,0.2351,0.2276,0.2351,38469046.0
13,2021-12-07,0.2242,0.2478,0.2349,0.2278,36664197.1
14,2021-12-06,0.2099,0.2397,0.2294,0.2347,50332776.0
15,2021-12-05,0.2217,0.2715,0.2542,0.2297,49760193.6
16,2021-12-04,0.1916,0.3013,0.3008,0.2542,85436975.6
17,2021-12-03,0.285,0.341,0.3255,0.3018,40411270.6
18,2021-12-02,0.2964,0.3319,0.3125,0.3257,30606570.9
19,2021-12-01,0.3085,0.3289,0.3174,0.3124,20167370.0
20,2021-11-30,0.3159,0.3377,0.333,0.3174,30283624.1
21,2021-11-29,0.3253,0.345,0.3369,0.3331,20680047.6
22,2021-11-28,0.3082,0.3434,0.3433,0.3368,31430305.1
23,2021-11-27,0.3249,0.3732,0.327,0.3435,29424350.2
24,2021-11-26,0.32,0.396,0.3797,0.3272,69981110.3
25,2021-11-25,0.3754,0.4293,0.388,0.3794,71027137.9
26,2021-11-24,0.3494,0.3948,0.3729,0.3879,51211350.3
27,2021-11-23,0.3315,0.3828,0.3349,0.3727,37885889.1
28,2021-11-22,0.3279,0.3701,0.3652,0.3353,27863358.0
29,2021-11-21,0.3242,0.3834,0.3283,0.3652,69001486.5
30,2021-11-20,0.311,0.3341,0.3211,0.3284,16256356.7
31,2021-11-19,0.3037,0.3305,0.3101,0.3213,15655783.0
32,2021-11-18,0.301,0.3404,0.3341,0.3098,23602433.7
33,2021-11-17,0.3105,0.3362,0.33,0.3341,28502374.3
34,2021-11-16,0.3158,0.3729,0.3718,0.3299,39932915.4
35,2021-11-15,0.3608,0.39,0.3664,0.372,42628599.7
36,2021-11-14,0.3553,0.3795,0.3603,0.3664,28884701.7
37,2021-11-13,0.3478,0.3695,0.359,0.3602,13536281.0
38,2021-11-12,0.3487,0.3772,0.3701,0.3586,30757737.4
39,2021-11-11,0.3344,0.3915,0.3416,0.3704,51793972.9
40,2021-11-10,0.3176,0.3943,0.3653,0.3417,58951487.0
41,2021-11-09,0.3633,0.3825,0.3825,0.3656,34797756.3
42,2021-11-08,0.37,0.4053,0.4048,0.3822,30468836.4
43,2021-11-07,0.3778,0.4088,0.3808,0.4047,31964677.0
44,2021-11-06,0.3654,0.4049,0.3668,0.3806,66600161.8
45,2021-11-05,0.3527,0.3776,0.3641,0.3668,27845043.7
46,2021-11-04,0.3556,0.3925,0.3716,0.3638,39118369.2
47,2021-11-03,0.3515,0.3855,0.3608,0.3712,51157162.8
48,2021-11-02,0.352,0.3868,0.3598,0.3608,55009780.0
49,2021-11-01,0.3215,0.364,0.3415,0.3599,45771226.6
50,2021-10-31,0.335,0.4382,0.349,0.3415,86272653.3
51,2021-10-30,0.3136,0.386,0.3279,0.3486,69824484.3
52,2021-10-29,0.3098,0.3348,0.3112,0.3281,25985010.8
53,2021-10-28,0.2884,0.3241,0.2903,0.3113,48426379.7
54,2021-10-27,0.275,0.3377,0.3326,0.29,60405131.0
55,2021-10-26,0.3279,0.3496,0.3319,0.3327,21979760.4
56,2021-10-25,0.322,0.3436,0.323,0.3319,21858870.6
57,2021-10-24,0.3192,0.3406,0.3347,0.3232,19299011.3
58,2021-10-23,0.3284,0.3439,0.3366,0.3351,20346082.8
59,2021-10-22,0.33,0.3572,0.3398,0.3366,30004699.7
60,2021-10-21,0.3381,0.3797,0.3493,0.3399,38369318.9
61,2021-10-20,0.3347,0.364,0.3415,0.3493,34520627.2
62,2021-10-19,0.3355,0.3698,0.3674,0.3413,28912583.2
63,2021-10-18,0.3404,0.3822,0.3517,0.3678,43362845.3
64,2021-10-17,0.3372,0.3922,0.3667,0.3518,46032669.9
65,2021-10-16,0.3512,0.495,0.3561,0.3668,178568329.5
66,2021-10-15,0.3071,0.378,0.3104,0.3573,97016762.6
67,2021-10-14,0.2978,0.3142,0.2995,0.3104,20318303.3
68,2021-10-13,0.287,0.3054,0.2967,0.2998,19648527.3
69,2021-10-12,0.2766,0.3011,0.2942,0.2966,18739069.0
70,2021-10-11,0.2845,0.3088,0.2977,0.2942,15985168.8
71,2021-10-10,0.2968,0.3259,0.3205,0.2975,16160958.0
72,2021-10-09,0.3064,0.3256,0.3109,0.3205,18367265.3
73,2021-10-08,0.308,0.3266,0.3224,0.3106,16261708.4
74,2021-10-07,0.3187,0.3401,0.3358,0.3224,23156887.1
75,2021-10-06,0.3103,0.3513,0.3378,0.3355,25973266.2
76,2021-10-05,0.3285,0.3459,0.3374,0.3375,17248273.5
77,2021-10-04,0.3187,0.3546,0.3435,0.3377,27640990.4
78,2021-10-03,0.3252,0.3643,0.3357,0.3436,26729189.0
79,2021-10-02,0.3159,0.3583,0.3263,0.3357,30224295.4
80,2021-10-01,0.29,0.3266,0.2968,0.3262,25848912.1
81,2021-09-30,0.2776,0.302,0.2795,0.2966,18896884.3
82,2021-09-29,0.2642,0.2964,0.2676,0.2795,19763231.9
83,2021-09-28,0.2662,0.295,0.2902,0.2679,19446373.6
84,2021-09-27,0.2891,0.3196,0.3036,0.2905,13809569.4
85,2021-09-26,0.2766,0.32,0.3087,0.3036,14927377.3
86,2021-09-25,0.3006,0.3248,0.3168,0.3088,10683488.3
87,2021-09-24,0.295,0.3553,0.3458,0.3165,22221645.7
88,2021-09-23,0.3338,0.3534,0.3432,0.3455,13577751.3
89,2021-09-22,0.3005,0.347,0.3117,0.3431,19075131.7
90,2021-09-21,0.2937,0.3525,0.3177,0.312,26872290.3
91,2021-09-20,0.3076,0.388,0.3851,0.3185,41470290.2
92,2021-09-19,0.3732,0.4099,0.4058,0.3852,21127847.1
93,2021-09-18,0.4003,0.4302,0.4112,0.4058,20454600.1
94,2021-09-17,0.4065,0.4479,0.4465,0.4112,24241792.3
95,2021-09-16,0.4348,0.5013,0.4534,0.4467,46799451.0
96,2021-09-15,0.4241,0.4774,0.444,0.4539,32976974.5
97,2021-09-14,0.3712,0.47,0.376,0.444,56744217.2
98,2021-09-13,0.3506,0.4239,0.3974,0.3759,48182359.1
99,2021-09-12,0.3343,0.4156,0.3455,0.3979,39978649.4
100,2021-09-11,0.3416,0.364,0.3499,0.3458,16498404.0
101,2021-09-10,0.336,0.415,0.4047,0.3496,31261731.7
102,2021-09-09,0.3473,0.4137,0.3507,0.404,54390529.4
103,2021-09-08,0.3168,0.3819,0.3474,0.3509,59681949.2
104,2021-09-07,0.305,0.4994,0.4584,0.3472,86202804.5
105,2021-09-06,0.3886,0.4675,0.414,0.4585,61692500.1
106,2021-09-05,0.4026,0.4343,0.419,0.4139,19545833.0
107,2021-09-04,0.3832,0.436,0.3855,0.419,34303733.4
108,2021-09-03,0.3715,0.3966,0.3827,0.3854,21413458.9
109,2021-09-02,0.3806,0.4065,0.4018,0.3827,19290364.6
110,2021-09-01,0.3911,0.4099,0.4048,0.402,28464155.7
111,2021-08-31,0.3771,0.4338,0.3885,0.4049,41532614.7
112,2021-08-30,0.3738,0.4247,0.4145,0.3887,56899496.0
113,2021-08-29,0.354,0.4299,0.3661,0.4145,68104828.3
114,2021-08-28,0.3336,0.3961,0.3389,0.3659,59852597.7
115,2021-08-27,0.3014,0.3447,0.313,0.3389,24278882.3
116,2021-08-26,0.3077,0.3546,0.3501,0.313,32732415.5
117,2021-08-25,0.3159,0.3549,0.3255,0.3495,37758509.9
118,2021-08-24,0.317,0.3772,0.3656,0.3256,34976271.8
119,2021-08-23,0.3542,0.3871,0.3788,0.3659,34687983.9
120,2021-08-22,0.3223,0.4098,0.3267,0.3787,79186236.1
121,2021-08-21,0.3235,0.3452,0.3348,0.3269,17796788.1
