,Date,Open,High,Low,Close,Volume
0,2021-11-06,10.2423,10.4616,10.3805,10.2491,179060.107
1,2021-11-05,10.1807,10.6882,10.6513,10.3789,699000.681
2,2021-11-04,10.331,11.2643,11.2556,10.6487,923908.053
3,2021-11-03,10.3233,11.725,10.4452,11.2541,2422138.36
4,2021-11-02,10.2141,10.6433,10.313,10.4511,689538.63
5,2021-11-01,9.6616,10.8141,10.1441,10.3187,1218624.037
6,2021-10-31,9.4847,10.1839,9.8689,10.1415,910082.637
7,2021-10-30,9.7,10.4311,10.3434,9.8722,669300.849
8,2021-10-29,9.6365,10.6768,9.7027,10.3553,1172573.797
9,2021-10-28,9.1294,9.9224,9.2751,9.7101,1029393.181
10,2021-10-27,8.785,11.1947,10.3467,9.2704,2574860.551
11,2021-10-26,9.8031,10.9758,9.862,10.3473,1858044.779
12,2021-10-25,9.4059,9.8694,9.4476,9.8642,469625.542
13,2021-10-24,9.259,10.0286,9.9264,9.4476,643148.545
14,2021-10-23,9.6006,10.1628,9.6429,9.9264,785735.143
15,2021-10-22,9.3877,9.866,9.4684,9.6435,753573.808
16,2021-10-21,9.3912,10.1375,9.9509,9.4698,983272.435
17,2021-10-20,9.3153,10.0575,9.3951,9.9533,759181.944
18,2021-10-19,9.2216,9.5363,9.4045,9.3936,378033.6
19,2021-10-18,9.2329,9.6728,9.5716,9.4059,702129.445
20,2021-10-17,9.2357,9.9473,9.7864,9.561,400701.371
21,2021-10-16,9.68,10.1103,9.7674,9.7768,392624.647
22,2021-10-15,9.5901,10.3476,9.9777,9.7528,1055383.298
23,2021-10-14,9.3538,10.0188,9.4052,9.9709,630740.411
24,2021-10-13,9.0559,9.4245,9.2099,9.3972,774779.242
25,2021-10-12,8.9,9.583,9.5659,9.2104,1224293.523
26,2021-10-11,9.3146,10.042,9.593,9.5785,963445.278
27,2021-10-10,9.5644,10.3292,10.2002,9.6023,865390.652
28,2021-10-09,9.9171,10.4284,10.0786,10.2025,899541.664
29,2021-10-08,9.9752,10.4681,10.2881,10.0671,966860.387
30,2021-10-07,9.8965,10.4577,10.2574,10.2968,1133072.141
31,2021-10-06,9.6306,10.5271,10.5131,10.2591,1283573.839
32,2021-10-05,10.0128,10.6629,10.2804,10.5054,1335060.172
33,2021-10-04,10.08,10.7378,10.6942,10.2744,900984.998
34,2021-10-03,10.5069,11.2383,10.7736,10.6973,1099825.181
35,2021-10-02,10.2957,11.4911,10.4878,10.7731,1305460.323
36,2021-10-01,9.5228,10.4956,9.5948,10.4859,964395.207
37,2021-09-30,9.2418,9.7628,9.2823,9.5948,667889.669
38,2021-09-29,9.14,9.8992,9.3057,9.2814,892736.276
39,2021-09-28,9.2614,10.064,9.832,9.3095,980969.196
40,2021-09-27,9.7977,11.1613,10.4577,9.8397,1110496.87
41,2021-09-26,9.2644,10.7585,10.1782,10.4688,1239050.27
42,2021-09-25,9.9852,10.6979,10.5124,10.1789,901725.926
43,2021-09-24,9.7773,11.7962,11.7459,10.5169,1390086.762
44,2021-09-23,10.6469,12.1077,10.9124,11.7488,1585612.795
45,2021-09-22,9.3188,10.97,9.5312,10.9207,1539548.01
46,2021-09-21,9.25,11.0546,10.6372,9.5297,1637407.485
47,2021-09-20,10.061,12.8812,12.8498,10.6497,1936730.686
48,2021-09-19,12.0171,13.3467,12.5789,12.8246,1653986.033
49,2021-09-18,12.3535,13.6,12.7917,12.5773,1365532.383
50,2021-09-17,12.4429,14.9497,14.6172,12.7812,2025093.828
51,2021-09-16,13.8258,15.8428,15.0136,14.6194,2274097.129
52,2021-09-15,13.0539,15.3754,13.8156,15.0179,2584058.84
53,2021-09-14,12.2014,13.9899,12.8645,13.8155,2641662.983
54,2021-09-13,10.0592,12.9453,10.9471,12.8688,2443911.623
55,2021-09-12,10.5626,11.4354,10.8292,10.9527,482493.793
56,2021-09-11,10.4744,11.0685,10.5545,10.8316,425704.148
57,2021-09-10,10.23,11.8453,11.3441,10.5576,901750.382
58,2021-09-09,10.7668,11.5804,11.077,11.3336,1293238.939
59,2021-09-08,9.871,11.3353,10.7535,11.0761,2049653.564
60,2021-09-07,9.3501,14.3028,13.5858,10.7459,2270023.273
61,2021-09-06,12.4905,13.92,12.9403,13.5858,1360024.496
62,2021-09-05,12.224,13.1304,12.3763,12.9345,1066570.871
63,2021-09-04,12.25,12.9283,12.4607,12.3706,784543.864
64,2021-09-03,12.1037,12.9267,12.5252,12.45,978332.125
65,2021-09-02,12.1201,13.0,12.5125,12.5207,1247736.798
66,2021-09-01,11.3008,12.5321,11.5715,12.5139,1216789.963
67,2021-08-31,10.9211,11.8769,11.1035,11.584,1225556.532
68,2021-08-30,10.96,11.954,11.6466,11.1116,1320854.032
69,2021-08-29,11.2542,12.1671,12.0179,11.653,1616200.094
70,2021-08-28,11.8354,12.4078,12.2438,11.9923,623010.047
71,2021-08-27,11.1073,12.333,11.432,12.245,1205511.802
72,2021-08-26,11.138,12.62,12.4061,11.4154,1260506.569
73,2021-08-25,11.7614,12.772,12.2179,12.4073,1164714.351
74,2021-08-24,12.1123,13.8371,13.622,12.2177,1427645.192
75,2021-08-23,13.3096,14.3633,13.518,13.65,1109062.43
76,2021-08-22,12.7477,13.9179,13.0761,13.52,900717.933
77,2021-08-21,12.3356,14.5363,12.5925,13.0778,1906759.466
78,2021-08-20,12.1254,12.9976,12.4052,12.5882,1169603.947
79,2021-08-19,11.0439,12.4982,11.3657,12.3975,1123302.522
80,2021-08-18,10.7688,11.9051,11.2497,11.3353,1260904.445
81,2021-08-17,11.13,13.1085,12.131,11.242,1785604.899
82,2021-08-16,12.0407,13.3463,12.859,12.129,1434963.973
83,2021-08-15,12.0172,13.4363,13.0213,12.862,908409.881
84,2021-08-14,11.6832,13.2069,12.113,13.0279,1609994.265
85,2021-08-13,10.2856,12.1984,10.417,12.1149,1639236.604
86,2021-08-12,10.0,11.175,10.6536,10.4174,1432162.971
87,2021-08-11,10.1541,11.5104,10.272,10.6593,1667201.844
88,2021-08-10,9.81,10.5672,10.1601,10.2681,740275.585
89,2021-08-09,9.3216,10.3318,9.6995,10.1612,1126671.112
90,2021-08-08,9.5298,10.7911,10.581,9.6986,1105583.061
91,2021-08-07,10.0589,11.0819,10.1923,10.581,1702243.977
92,2021-08-06,9.9699,10.6742,10.536,10.1908,1208060.23
93,2021-08-05,9.3502,10.8681,9.6679,10.5371,2109662.143
94,2021-08-04,8.9081,9.8057,9.0604,9.6584,697595.267
95,2021-08-03,8.8213,9.5817,9.4864,9.0427,787455.967
96,2021-08-02,9.2781,9.8707,9.458,9.4955,656353.803
97,2021-08-01,9.3188,10.4162,10.1406,9.4579,912624.885
98,2021-07-31,9.4626,10.2297,9.6206,10.1408,909072.121
99,2021-07-30,8.9776,10.2435,9.9914,9.6068,1106976.55
100,2021-07-29,8.8531,10.0614,9.1114,9.9879,758488.145
101,2021-07-28,8.9122,9.4675,9.3518,9.0983,575980.299
102,2021-07-27,8.785,9.8489,9.3304,9.3483,932425.616
103,2021-07-26,8.3497,10.4531,8.3908,9.3377,2270250.91
104,2021-07-25,8.0117,8.6493,8.6202,8.3903,709252.654
105,2021-07-24,8.3455,8.7855,8.7498,8.6168,821679.27
106,2021-07-23,8.0762,8.9522,8.5347,8.7474,986108.144
107,2021-07-22,8.2247,8.9296,8.4823,8.5258,929807.284
108,2021-07-21,7.1535,8.6105,7.5452,8.4822,1528800.621
109,2021-07-20,7.2523,8.3149,8.1944,7.5393,995722.741
110,2021-07-19,8.0584,8.9288,8.8697,8.1964,975350.491
111,2021-07-18,8.8257,9.5,8.8327,8.8671,589857.137
112,2021-07-17,8.6889,9.22,8.9074,8.8521,811257.204
113,2021-07-16,8.8324,10.22,9.5851,8.9102,1149517.814
114,2021-07-15,9.4123,10.8,10.46,9.5776,1386899.798
115,2021-07-14,10.0129,11.1112,11.0,10.46,1366017.024
116,2021-07-13,10.803,12.2287,12.095,10.9825,1613043.342
117,2021-07-12,12.05,13.6224,12.4216,12.095,2327144.209
118,2021-07-11,10.7736,12.8761,11.0411,12.427,1873596.517
119,2021-07-10,10.4785,11.95,11.4807,11.0486,1256364.591
120,2021-07-09,9.1861,12.1394,9.6056,11.4816,2682871.638
121,2021-07-08,9.3873,10.7668,10.7666,9.6307,1128223.671
122,2021-07-07,10.6753,11.8679,11.1807,10.7627,1330630.581
123,2021-07-06,10.37,12.7662,10.5997,11.1752,3724425.353
124,2021-07-05,8.375,11.5424,8.5923,10.5902,4162792.836
125,2021-07-04,7.0211,9.0,7.271,8.5992,1619546.592
126,2021-07-03,6.7602,7.4913,6.9268,7.2736,411573.766
127,2021-07-02,6.4145,6.953,6.8356,6.9264,363749.358
128,2021-07-01,6.6442,7.3557,7.3486,6.8356,610252.326
129,2021-06-30,6.6606,7.3736,7.2002,7.3398,635751.475
130,2021-06-29,6.9787,7.4943,7.0187,7.2082,689461.22
131,2021-06-28,6.3216,7.3898,6.4198,7.0187,664359.097
132,2021-06-27,5.8247,6.4247,5.9702,6.4212,307081.752
133,2021-06-26,5.56,6.0207,5.8091,5.9701,608789.294
134,2021-06-25,5.7,6.7069,6.6441,5.809,769707.18
135,2021-06-24,6.3,6.9649,6.6534,6.6237,730461.139
136,2021-06-23,6.0906,7.1528,6.3507,6.648,775169.651
137,2021-06-22,5.5515,7.0408,6.5545,6.3526,1529027.81
138,2021-06-21,6.4858,8.5322,8.4706,6.5512,1197714.717
139,2021-06-20,7.7555,8.6639,8.0909,8.4706,637649.349
140,2021-06-19,8.0559,8.6251,8.309,8.0909,395484.957
141,2021-06-18,7.9309,9.0182,9.0084,8.3057,613531.208
142,2021-06-17,8.7237,9.5079,9.0627,9.0173,408037.165
