,Date,Open,High,Low,Close,Volume
0,2021-11-06,235.016,244.742,236.306,244.306,214053.006
1,2021-11-05,230.537,248.622,247.202,236.364,1200989.781
2,2021-11-04,234.421,250.566,243.525,247.244,1905230.547
3,2021-11-03,216.003,246.884,221.031,243.553,2683716.258
4,2021-11-02,201.024,222.428,204.061,221.168,1588257.618
5,2021-11-01,197.85,211.687,202.673,204.035,1629045.016
6,2021-10-31,185.584,205.264,195.924,202.673,1261559.945
7,2021-10-30,187.51,200.687,200.428,195.913,890535.465
8,2021-10-29,194.627,205.307,195.481,200.439,1263193.234
9,2021-10-28,181.75,201.561,184.682,195.377,1854736.75
10,2021-10-27,179.761,205.599,199.911,184.682,2409699.187
11,2021-10-26,196.446,214.163,209.585,199.857,1686387.215
12,2021-10-25,198.127,218.97,202.303,209.6,1982476.011
13,2021-10-24,185.313,205.0,197.71,202.304,1541736.74
14,2021-10-23,192.017,205.719,196.246,197.707,1343191.296
15,2021-10-22,188.025,215.0,190.501,196.247,3388534.536
16,2021-10-21,176.759,194.415,176.759,190.473,3159255.295
17,2021-10-20,155.144,176.89,155.852,176.787,1543942.471
18,2021-10-19,153.183,159.4,157.125,155.85,701464.136
19,2021-10-18,155.0,162.952,160.132,157.15,770654.878
20,2021-10-17,153.2,167.5,157.615,160.097,934358.565
21,2021-10-16,156.578,164.766,163.193,157.562,663795.43
22,2021-10-15,146.75,165.268,150.026,163.214,1745195.785
23,2021-10-14,147.318,155.65,148.068,150.016,1147763.989
24,2021-10-13,144.344,155.549,152.441,148.039,1172944.074
25,2021-10-12,137.66,153.626,144.854,152.452,2273847.701
26,2021-10-11,140.175,154.0,147.637,144.853,1380478.104
27,2021-10-10,145.67,158.554,156.783,147.624,868755.423
28,2021-10-09,154.23,161.581,158.858,156.827,1039124.53
29,2021-10-08,152.368,169.0,154.355,158.833,1679953.047
30,2021-10-07,150.35,161.5,153.949,154.338,1709809.442
31,2021-10-06,150.29,165.527,164.679,153.922,2138586.249
32,2021-10-05,160.0,170.25,167.231,164.623,1500271.579
33,2021-10-04,162.102,173.151,173.15,167.212,1442327.633
34,2021-10-03,165.537,177.935,169.057,173.129,1326862.196
35,2021-10-02,156.24,175.108,161.682,168.979,1698493.988
36,2021-10-01,138.242,165.0,141.358,161.649,2216533.667
37,2021-09-30,134.069,142.951,135.241,141.358,1465567.481
38,2021-09-29,131.101,140.156,132.214,135.304,1627779.074
39,2021-09-28,128.167,139.484,136.378,132.182,1352512.649
40,2021-09-27,133.75,149.0,135.632,136.35,1726577.772
41,2021-09-26,125.0,140.888,136.109,135.698,1490127.859
42,2021-09-25,133.554,144.09,139.272,136.117,1164823.189
43,2021-09-24,128.0,151.421,150.0,139.308,2948981.097
44,2021-09-23,143.021,152.477,148.19,150.034,2203577.139
45,2021-09-22,122.105,152.408,124.219,148.197,4596483.091
46,2021-09-21,116.0,144.653,132.622,124.3,4647220.266
47,2021-09-20,130.275,153.432,152.81,132.567,4576526.507
48,2021-09-19,150.66,171.06,169.391,152.842,2365355.373
49,2021-09-18,144.2,171.726,147.619,169.336,3950219.334
50,2021-09-17,134.1,153.341,152.018,147.592,3754629.705
51,2021-09-16,147.254,162.95,158.478,152.043,2056945.058
52,2021-09-15,153.75,166.386,158.64,158.433,2604815.418
53,2021-09-14,142.0,171.95,169.57,158.64,4242412.34
54,2021-09-13,150.331,175.153,174.288,169.797,4089808.101
55,2021-09-12,170.175,181.675,179.122,174.272,1620970.25
56,2021-09-11,175.3,193.775,179.557,179.122,2638639.869
57,2021-09-10,167.808,197.489,187.907,179.51,4013536.024
58,2021-09-09,180.901,216.47,190.927,187.908,6536735.823
59,2021-09-08,146.69,198.0,173.4,191.03,6756738.524
60,2021-09-07,134.242,200.0,164.377,173.4,9199937.041
61,2021-09-06,137.512,166.206,142.137,164.316,3112382.442
62,2021-09-05,135.011,145.258,139.01,142.138,1848408.649
63,2021-09-04,135.681,150.721,146.487,138.998,2581545.357
64,2021-09-03,128.174,149.062,128.339,146.524,4579017.233
65,2021-09-02,109.203,132.162,110.674,128.346,3311427.776
66,2021-09-01,105.96,119.68,108.29,110.671,3442549.797
67,2021-08-31,103.099,130.066,110.347,108.29,6557518.475
68,2021-08-30,93.722,116.6,94.305,110.347,4791434.929
69,2021-08-29,90.403,97.836,96.254,94.287,1382531.706
70,2021-08-28,85.634,98.0,88.087,96.246,2092854.72
71,2021-08-27,72.577,88.881,74.905,88.053,2938270.348
72,2021-08-26,66.254,78.372,72.0,74.823,3107777.074
73,2021-08-25,66.151,72.82,70.503,71.986,1664086.031
74,2021-08-24,68.595,79.467,75.655,70.591,2213179.66
75,2021-08-23,71.548,76.783,72.811,75.655,1353786.018
76,2021-08-22,71.321,77.64,73.896,72.809,919777.031
77,2021-08-21,72.672,82.044,78.72,73.937,1561200.394
78,2021-08-20,70.926,80.0,72.803,78.746,2237442.953
79,2021-08-19,68.339,75.496,72.703,72.831,2780702.829
80,2021-08-18,59.772,80.55,64.209,72.736,5284962.631
81,2021-08-17,58.677,75.0,62.087,64.169,4654781.901
82,2021-08-16,52.3,69.8,53.565,62.055,3983494.186
83,2021-08-15,43.427,54.778,44.201,53.556,2003802.362
84,2021-08-14,42.8,44.906,44.885,44.178,356870.109
85,2021-08-13,40.702,44.963,41.126,44.9,899382.997
