,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.01556,0.0185,0.01689,0.01809,1573124610
1,2021-12-19,0.01608,0.0189,0.01673,0.01689,3106140896
2,2021-12-18,0.01285,0.017,0.01328,0.01672,1973632829
3,2021-12-17,0.01255,0.01439,0.01383,0.01327,1265760533
4,2021-12-16,0.01382,0.01663,0.01445,0.01383,1863871752
5,2021-12-15,0.01123,0.01582,0.01125,0.01445,2463842915
6,2021-12-14,0.01048,0.01178,0.0113,0.01123,885340717
7,2021-12-13,0.01097,0.01363,0.01334,0.01133,901587702
8,2021-12-12,0.01267,0.014,0.01383,0.01331,950173544
9,2021-12-11,0.0128,0.01529,0.01322,0.01378,1949400835
10,2021-12-10,0.0121,0.01562,0.01461,0.01319,3604332736
11,2021-12-09,0.01364,0.0184,0.01792,0.01464,3000578761
12,2021-12-08,0.01601,0.0214,0.01853,0.01792,4047251802
13,2021-12-07,0.01745,0.0225,0.01879,0.01854,3145524401
