,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.6015,1.648,1.6179,1.6436,811206.06
1,2021-11-05,1.5853,1.7424,1.6192,1.6183,6484290.27
2,2021-11-04,1.5672,1.7092,1.7075,1.6204,4704695.11
3,2021-11-03,1.657,1.8592,1.8576,1.7073,9359330.54
4,2021-11-02,1.8041,2.1846,1.8525,1.8585,20719949.98
5,2021-11-01,1.6601,2.0395,2.035,1.8532,34298769.92
6,2021-10-31,1.294,3.1599,1.3209,2.0303,120567850.6
7,2021-10-30,1.2042,1.342,1.25,1.3225,6285072.31
8,2021-10-29,1.1823,1.25,1.1974,1.25,2607130.54
9,2021-10-28,1.1085,1.2,1.1377,1.1971,3392284.27
10,2021-10-27,1.109,1.3507,1.3029,1.1378,5634014.59
11,2021-10-26,1.2852,1.3678,1.3244,1.3013,2119746.96
12,2021-10-25,1.2542,1.3249,1.2774,1.3244,1699377.53
13,2021-10-24,1.2257,1.2857,1.2758,1.2777,1431671.55
14,2021-10-23,1.2346,1.3065,1.2695,1.2764,1390284.07
15,2021-10-22,1.2367,1.2861,1.2426,1.2688,1265713.37
16,2021-10-21,1.2238,1.3159,1.2989,1.2426,2081011.2
17,2021-10-20,1.2312,1.3306,1.2719,1.2989,1803194.97
18,2021-10-19,1.2211,1.2795,1.276,1.2706,1747559.89
19,2021-10-18,1.2235,1.3229,1.2835,1.2761,2164635.49
20,2021-10-17,1.2289,1.3373,1.3373,1.2829,1807368.1
21,2021-10-16,1.3022,1.4078,1.3139,1.3377,4046980.09
22,2021-10-15,1.2449,1.3567,1.3562,1.3139,3659987.09
23,2021-10-14,1.3233,1.3599,1.3455,1.3558,1204012.7
24,2021-10-13,1.2614,1.3547,1.3074,1.3464,2350141.36
25,2021-10-12,1.2358,1.4293,1.4289,1.3077,3942845.53
26,2021-10-11,1.3558,1.5143,1.514,1.4287,5118020.54
27,2021-10-10,1.3668,1.531,1.3933,1.5151,7353162.06
28,2021-10-09,1.353,1.4816,1.4172,1.3942,4944698.36
29,2021-10-08,1.309,1.4297,1.335,1.417,4119889.73
30,2021-10-07,1.2956,1.4798,1.3602,1.3344,3330195.35
31,2021-10-06,1.2653,1.436,1.3412,1.359,9069409.4
32,2021-10-05,1.2087,1.3656,1.2528,1.3407,4591639.79
33,2021-10-04,1.1664,1.2597,1.2185,1.2509,4953371.78
34,2021-10-03,1.1578,1.2374,1.1914,1.2188,2142774.07
35,2021-10-02,1.1831,1.2379,1.2048,1.192,2833925.87
36,2021-10-01,1.0718,1.226,1.0961,1.2049,3938103.8
37,2021-09-30,1.0035,1.11,1.0102,1.0956,2689279.25
38,2021-09-29,0.9743,1.0461,0.9778,1.0108,2261971.14
39,2021-09-28,0.9746,1.0483,1.0282,0.9796,2042650.85
40,2021-09-27,1.0178,1.1178,1.0815,1.0288,2541988.52
41,2021-09-26,0.9874,1.1455,1.093,1.0814,4613614.86
42,2021-09-25,1.0411,1.1095,1.1007,1.094,1875701.63
43,2021-09-24,1.0143,1.205,1.205,1.101,3671662.38
44,2021-09-23,1.1221,1.2059,1.1572,1.2051,2236426.09
45,2021-09-22,1.0139,1.1589,1.0377,1.1577,3103163.13
46,2021-09-21,1.0142,1.1749,1.1415,1.0369,3163399.36
47,2021-09-20,1.0859,1.342,1.3416,1.1419,4505634.18
