,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.4713,0.5539,0.5538,0.4987,3877662.7
1,2021-12-19,0.5019,0.5631,0.5078,0.5545,4761897.1
2,2021-12-18,0.4833,0.5391,0.4891,0.5078,2983797.1
3,2021-12-17,0.4861,0.5225,0.5083,0.4892,2395882.8
4,2021-12-16,0.5043,0.5744,0.5047,0.5072,4131885.2
5,2021-12-15,0.4843,0.5071,0.4972,0.5047,1141481.1
6,2021-12-14,0.475,0.5735,0.5232,0.4976,4790064.0
7,2021-12-13,0.4625,0.55,0.529,0.5235,3612139.0
8,2021-12-12,0.5153,0.5382,0.535,0.5289,818197.4
9,2021-12-11,0.4939,0.5392,0.4996,0.5355,2131705.4
10,2021-12-10,0.4967,0.576,0.5433,0.5004,4076582.8
11,2021-12-09,0.542,0.6299,0.6077,0.5435,2583964.2
12,2021-12-08,0.5948,0.6264,0.6158,0.6056,2220491.8
13,2021-12-07,0.6136,0.6758,0.6475,0.6164,5798861.9
14,2021-12-06,0.6,0.7318,0.6665,0.6478,11367698.1
15,2021-12-05,0.6276,0.7818,0.6298,0.6665,12799115.2
16,2021-12-04,0.5917,0.7341,0.7204,0.6298,8833928.9
17,2021-12-03,0.7107,0.77,0.7673,0.7204,3010816.6
18,2021-12-02,0.75,0.7938,0.7937,0.7671,2758864.8
19,2021-12-01,0.77,0.8285,0.8062,0.7924,4902651.9
20,2021-11-30,0.78,0.889,0.7925,0.8064,12571735.1
21,2021-11-29,0.78,0.8511,0.8082,0.7914,4950097.6
22,2021-11-28,0.7533,0.8507,0.7904,0.8082,8264893.6
23,2021-11-27,0.7602,0.9523,0.775,0.7923,12373271.1
24,2021-11-26,0.7444,0.8665,0.8404,0.775,5898178.8
25,2021-11-25,0.7861,0.9518,0.8045,0.8405,6194849.2
26,2021-11-24,0.777,0.892,0.8573,0.804,4668929.9
27,2021-11-23,0.8093,1.012,0.9094,0.8548,12529523.2
28,2021-11-22,0.75,1.08,0.7738,0.9094,23061146.4
29,2021-11-21,0.7702,0.82,0.8033,0.7724,1660009.7
30,2021-11-20,0.7751,0.8891,0.8025,0.8042,3675991.4
31,2021-11-19,0.7201,0.8725,0.7503,0.8033,6350261.4
32,2021-11-18,0.7441,0.8687,0.85,0.7502,4429043.2
33,2021-11-17,0.8224,0.9168,0.8879,0.85,8020827.5
34,2021-11-16,0.8726,1.002,1.0016,0.8878,5509004.7
35,2021-11-15,0.956,1.09,1.055,1.0016,4509623.1
36,2021-11-14,1.013,1.0887,1.0704,1.0557,2731677.7
37,2021-11-13,1.02,1.125,1.1148,1.0708,5915463.2
38,2021-11-12,1.04,1.1615,1.1152,1.1148,6008206.8
39,2021-11-11,1.0614,1.25,1.0757,1.1156,22319068.4
40,2021-11-10,0.982,1.24,1.0401,1.0751,18549051.2
41,2021-11-09,1.0195,1.14,1.0616,1.0458,9668642.9
42,2021-11-08,1.06,1.18,1.1556,1.0629,9481673.4
43,2021-11-07,1.1259,1.34,1.2583,1.1561,15212190.4
44,2021-11-06,1.0263,1.3968,1.0447,1.2583,24213163.2
45,2021-11-05,0.9887,1.33,1.1913,1.0461,17505772.0
46,2021-11-04,1.072,1.5822,1.0849,1.1913,39880552.5
47,2021-11-03,0.88,1.44,1.018,1.0849,35102446.0
48,2021-11-02,0.93,1.3717,1.13,1.0173,19248021.8
