,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.07,1.28,1.16,1.2,1887590.56
1,2021-12-19,1.16,1.25,1.23,1.17,658487.38
2,2021-12-18,1.19,1.29,1.22,1.24,661218.59
3,2021-12-17,1.15,1.26,1.21,1.22,1124676.37
4,2021-12-16,1.21,1.41,1.32,1.22,1960619.54
5,2021-12-15,1.16,1.52,1.28,1.31,10756021.3
6,2021-12-14,1.03,3.97,1.08,1.28,8534971.66
7,2021-12-13,1.07,1.28,1.27,1.08,1162932.31
8,2021-12-12,1.19,1.34,1.24,1.27,1062803.94
9,2021-12-11,1.17,1.27,1.2,1.23,1180421.87
10,2021-12-10,1.18,1.45,1.31,1.21,2324645.99
11,2021-12-09,1.3,1.62,1.59,1.3,2174520.31
12,2021-12-08,1.5,1.65,1.55,1.58,3016174.17
13,2021-12-07,1.51,2.0,2.0,1.55,2399747.39
