,Date,Open,High,Low,Close,Volume
0,2021-12-20,5.09,5.53,5.34,5.48,1414142.41
1,2021-12-19,5.3,5.64,5.61,5.34,1409601.74
2,2021-12-18,5.45,5.93,5.52,5.61,2336662.13
3,2021-12-17,5.35,5.85,5.69,5.51,1354109.06
4,2021-12-16,5.65,6.21,5.95,5.69,1413375.37
5,2021-12-15,5.61,6.16,5.74,5.95,2416696.35
6,2021-12-14,5.35,5.94,5.64,5.74,2645547.49
7,2021-12-13,5.28,6.37,5.59,5.65,5591815.12
8,2021-12-12,5.33,5.74,5.74,5.58,896596.67
9,2021-12-11,5.0,5.78,5.09,5.72,1897652.52
10,2021-12-10,5.06,5.77,5.52,5.09,2164285.34
11,2021-12-09,5.42,6.651,6.633,5.51,2207594.49
12,2021-12-08,5.644,6.951,5.872,6.639,4639796.57
13,2021-12-07,5.78,6.455,6.335,5.869,2785713.71
14,2021-12-06,4.806,6.477,5.286,6.334,4989105.3
15,2021-12-05,5.088,5.976,5.839,5.283,3143996.38
16,2021-12-04,4.892,6.877,6.836,5.832,4361190.37
17,2021-12-03,6.619,7.484,7.365,6.827,1605123.17
18,2021-12-02,7.192,7.626,7.558,7.368,1216532.32
19,2021-12-01,7.521,8.198,8.008,7.558,1619314.16
20,2021-11-30,7.185,8.066,7.465,8.013,1890971.25
21,2021-11-29,7.453,8.174,7.952,7.47,3015349.14
22,2021-11-28,6.654,8.05,7.046,7.955,3739924.97
23,2021-11-27,6.961,7.344,7.035,7.053,1461981.18
24,2021-11-26,6.863,8.427,8.212,7.031,4166388.93
25,2021-11-25,7.663,8.414,7.948,8.209,1800113.15
26,2021-11-24,7.827,8.406,8.376,7.953,1426602.73
27,2021-11-23,8.133,8.661,8.229,8.374,1208916.01
28,2021-11-22,8.123,8.778,8.757,8.227,1867080.99
29,2021-11-21,8.679,9.17,9.055,8.743,1069842.03
30,2021-11-20,8.71,9.246,9.01,9.052,1210412.28
31,2021-11-19,8.637,9.345,8.798,9.01,1300264.48
32,2021-11-18,8.617,10.144,9.743,8.788,2202519.32
33,2021-11-17,9.516,10.105,9.666,9.742,887387.02
34,2021-11-16,9.138,10.347,10.344,9.651,1921152.82
35,2021-11-15,10.321,11.217,11.06,10.341,1005097.62
36,2021-11-14,10.774,11.302,11.19,11.053,345941.28
37,2021-11-13,10.704,11.218,10.989,11.189,576594.9
38,2021-11-12,10.557,11.392,11.136,10.978,920370.35
39,2021-11-11,10.921,11.409,11.087,11.149,687714.41
40,2021-11-10,10.75,12.259,11.979,11.11,2286301.14
41,2021-11-09,11.951,12.448,12.308,11.959,1095010.01
42,2021-11-08,11.942,12.333,12.105,12.314,757484.56
43,2021-11-07,11.563,12.274,11.849,12.091,884073.72
44,2021-11-06,11.323,12.235,12.149,11.848,1174803.75
45,2021-11-05,12.125,13.306,12.942,12.147,1199322.74
46,2021-11-04,12.075,13.444,13.439,12.954,1738103.57
47,2021-11-03,11.876,13.45,12.13,13.439,2697599.9
48,2021-11-02,12.078,12.984,12.75,12.127,1898429.21
49,2021-11-01,10.556,13.113,10.906,12.75,4964394.07
50,2021-10-31,10.575,11.294,11.075,10.898,1295771.76
51,2021-10-30,10.817,11.48,11.478,11.094,989589.54
52,2021-10-29,10.888,11.787,10.974,11.469,1359526.25
53,2021-10-28,10.1,11.043,10.154,10.974,1508743.13
54,2021-10-27,10.143,12.238,11.379,10.154,2685071.32
55,2021-10-26,10.74,12.168,10.769,11.377,3017442.48
56,2021-10-25,10.486,10.774,10.537,10.762,618725.01
57,2021-10-24,10.234,11.144,10.992,10.532,1010526.21
58,2021-10-23,10.527,11.043,10.692,10.997,506285.3
59,2021-10-22,10.579,11.378,10.898,10.693,634994.08
60,2021-10-21,10.76,11.715,11.549,10.902,1159610.85
61,2021-10-20,10.482,11.602,10.724,11.542,838240.09
62,2021-10-19,10.471,11.029,10.798,10.726,745322.49
63,2021-10-18,10.707,11.337,11.145,10.807,539501.75
