,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.9871,1.0991,1.0771,1.0476,1777192.1
1,2021-12-19,1.0683,1.1604,1.1551,1.0789,1398896.1
2,2021-12-18,1.0635,1.1724,1.1096,1.1512,1256342.6
3,2021-12-17,1.0754,1.1681,1.1518,1.1124,1298516.1
4,2021-12-16,1.1304,1.29,1.2594,1.1518,2092836.1
5,2021-12-15,1.0626,1.343,1.0907,1.2594,6815227.1
6,2021-12-14,0.94,1.175,0.9567,1.0912,2935497.4
7,2021-12-13,0.9505,1.1129,1.1048,0.957,1528333.1
8,2021-12-12,1.066,1.1878,1.1063,1.1057,1215886.5
9,2021-12-11,1.03,1.1486,1.0613,1.1026,1238427.6
10,2021-12-10,1.05,1.1589,1.0661,1.0613,2135515.4
11,2021-12-09,1.05,1.2193,1.1818,1.0685,2219762.9
12,2021-12-08,1.1806,1.287,1.2293,1.1845,1186021.1
13,2021-12-07,1.1902,1.3415,1.3096,1.2293,2126553.5
14,2021-12-06,1.0407,1.3547,1.2747,1.3107,4009612.0
15,2021-12-05,1.2559,1.4188,1.3992,1.2747,2258081.4
16,2021-12-04,1.2343,1.5485,1.5484,1.399,3663961.5
17,2021-12-03,1.4906,1.849,1.5661,1.5451,4647641.7
18,2021-12-02,1.5101,1.65,1.6022,1.564,2256518.1
19,2021-12-01,1.57,1.6895,1.6032,1.6023,2082092.1
20,2021-11-30,1.5697,1.7496,1.6824,1.6031,2600355.0
21,2021-11-29,1.5893,1.9,1.7056,1.6828,6339049.2
22,2021-11-28,1.45,1.9,1.5444,1.7056,7643901.9
23,2021-11-27,1.5,1.65,1.5317,1.5459,2345500.9
24,2021-11-26,1.5002,1.7448,1.7103,1.5331,2890151.3
25,2021-11-25,1.6047,1.765,1.7003,1.7107,3134786.5
26,2021-11-24,1.6708,1.9236,1.7017,1.699,3361740.4
27,2021-11-23,1.6055,1.8065,1.6601,1.7019,2612304.3
28,2021-11-22,1.6058,1.8,1.7678,1.6602,3335590.8
29,2021-11-21,1.7492,1.9908,1.9443,1.7684,3466380.5
30,2021-11-20,1.8501,2.1304,1.8571,1.9423,10189479.3
31,2021-11-19,1.3755,1.9378,1.4136,1.8571,7950190.8
32,2021-11-18,1.3911,1.7081,1.6032,1.4122,4539504.4
33,2021-11-17,1.543,1.7651,1.6833,1.6054,4826763.0
34,2021-11-16,1.5713,1.896,1.8945,1.6812,4334919.7
35,2021-11-15,1.8239,2.0499,1.9664,1.8944,3014305.1
36,2021-11-14,1.8519,2.0614,2.0167,1.969,2728370.7
37,2021-11-13,1.9404,2.18,1.9453,2.0167,5491367.5
38,2021-11-12,1.881,2.099,2.059,1.9451,4441797.0
39,2021-11-11,1.9,2.2472,2.0102,2.0534,9358723.2
40,2021-11-10,1.9446,2.481,2.1289,2.0047,14249226.6
41,2021-11-09,2.02,2.2599,2.1965,2.1295,10079276.6
42,2021-11-08,2.1,2.6177,2.4215,2.1999,15078278.1
43,2021-11-07,2.1609,3.1999,2.3395,2.4205,41035830.6
44,2021-11-06,1.6729,2.55,1.7613,2.3397,30520915.9
45,2021-11-05,1.65,1.9534,1.83,1.7613,12023414.2
46,2021-11-04,1.72,2.789,2.3704,1.83,27632527.9
47,2021-11-03,2.0124,3.85,2.6491,2.3704,84858445.4
48,2021-11-02,1.262,6.24,1.5,2.6491,36086420.4
