,Date,Open,High,Low,Close,Volume
0,2021-11-06,60.55,61.576,61.171,61.279,4439.03
1,2021-11-05,60.65,64.224,62.357,61.121,34550.811
2,2021-11-04,62.19,69.639,63.909,62.316,91960.804
3,2021-11-03,59.488,63.906,63.206,63.906,33428.613
4,2021-11-02,60.355,66.869,62.188,63.278,54214.904
5,2021-11-01,57.68,66.855,59.578,62.235,100157.684
6,2021-10-31,54.348,60.918,55.328,59.578,100705.978
7,2021-10-30,51.336,55.325,52.598,55.322,28314.699
8,2021-10-29,50.3,53.886,50.593,52.608,16623.533
9,2021-10-28,48.132,51.504,48.445,50.733,38093.454
10,2021-10-27,44.528,54.219,53.808,48.431,117430.993
11,2021-10-26,53.753,58.126,55.73,53.846,64710.168
12,2021-10-25,53.532,56.966,53.889,55.737,27889.914
13,2021-10-24,52.945,55.589,55.583,53.89,47923.198
14,2021-10-23,54.89,57.392,57.261,55.615,24375.367
15,2021-10-22,56.93,62.951,58.976,57.308,43916.937
16,2021-10-21,54.783,59.741,58.735,58.976,34597.43
17,2021-10-20,54.351,60.82,55.266,58.815,57319.379
18,2021-10-19,53.209,57.363,53.737,55.27,87372.217
19,2021-10-18,51.223,54.798,53.147,53.719,80038.844
20,2021-10-17,49.8,60.999,50.934,53.087,183671.622
21,2021-10-16,49.34,63.85,49.574,50.9,226480.162
22,2021-10-15,45.6,52.499,47.465,49.51,142528.645
23,2021-10-14,45.51,48.877,46.003,47.475,43181.293
24,2021-10-13,43.582,46.033,44.635,45.993,37616.749
25,2021-10-12,41.713,44.999,44.999,44.612,31139.95
26,2021-10-11,43.59,47.294,45.02,45.051,31316.233
27,2021-10-10,44.94,48.958,48.381,45.043,26156.979
28,2021-10-09,47.87,50.199,49.837,48.528,25105.647
29,2021-10-08,49.209,52.168,49.466,49.856,18068.428
30,2021-10-07,47.527,51.62,49.11,49.432,40584.455
31,2021-10-06,45.81,53.658,49.97,49.162,56127.964
32,2021-10-05,46.76,50.683,47.363,49.97,31313.558
33,2021-10-04,45.362,49.347,49.141,47.363,28233.539
34,2021-10-03,47.234,51.929,48.447,49.215,27640.312
35,2021-10-02,47.128,50.535,48.021,48.33,20861.235
36,2021-10-01,42.68,48.165,43.055,48.021,32309.065
37,2021-09-30,41.251,43.501,41.392,43.048,20990.056
38,2021-09-29,40.727,44.651,41.423,41.417,41978.577
39,2021-09-28,41.152,44.376,43.03,41.413,27945.398
40,2021-09-27,42.919,47.626,45.487,42.99,31069.209
41,2021-09-26,40.5,46.085,45.24,45.61,29139.274
42,2021-09-25,42.603,46.248,44.439,45.24,36206.37
43,2021-09-24,41.86,50.703,49.41,44.429,47197.586
44,2021-09-23,45.77,49.912,46.434,49.402,38910.433
45,2021-09-22,40.88,47.453,41.343,46.416,38773.597
46,2021-09-21,40.417,49.219,46.817,41.341,61244.403
47,2021-09-20,46.0,55.605,55.47,46.836,71861.93
48,2021-09-19,54.267,60.5,59.726,55.469,32505.167
49,2021-09-18,57.24,62.891,58.432,59.719,48618.218
50,2021-09-17,56.152,66.931,57.557,58.361,159960.529
51,2021-09-16,55.718,60.707,60.53,57.464,37565.209
52,2021-09-15,54.84,62.077,55.986,60.562,57850.398
53,2021-09-14,50.923,56.957,51.23,56.03,45202.744
54,2021-09-13,50.594,58.935,56.52,51.24,74755.627
55,2021-09-12,49.75,57.047,51.066,56.516,34999.621
56,2021-09-11,48.434,53.758,49.273,51.076,17941.795
57,2021-09-10,47.664,54.851,52.789,49.224,49167.291
58,2021-09-09,51.412,59.421,52.378,52.794,70981.211
59,2021-09-08,45.6,57.251,50.975,52.68,89743.953
60,2021-09-07,40.612,66.897,62.74,50.965,95511.012
61,2021-09-06,57.496,67.714,64.884,62.688,76167.891
62,2021-09-05,59.916,67.373,60.667,64.865,60762.209
63,2021-09-04,57.943,66.603,58.327,60.621,106491.488
64,2021-09-03,56.226,64.328,58.061,58.345,83407.761
65,2021-09-02,55.564,71.33,56.642,58.097,186947.773
66,2021-09-01,50.369,56.823,51.27,56.518,36737.833
67,2021-08-31,50.167,54.174,52.095,51.364,30908.206
68,2021-08-30,50.512,55.451,52.417,52.144,39724.976
69,2021-08-29,50.557,54.406,53.227,52.45,34075.239
70,2021-08-28,51.748,54.804,53.034,53.253,25141.427
71,2021-08-27,48.588,53.564,50.005,52.971,30951.671
72,2021-08-26,48.392,55.677,55.238,49.965,52838.363
73,2021-08-25,51.162,55.738,53.775,55.19,38926.892
74,2021-08-24,52.683,59.784,59.56,53.793,34353.823
75,2021-08-23,58.498,62.902,61.368,59.7,18563.103
76,2021-08-22,56.888,61.648,59.698,61.368,32253.512
77,2021-08-21,55.702,64.344,56.927,59.619,58977.194
78,2021-08-20,54.099,57.831,54.9,56.926,33786.83
79,2021-08-19,50.469,54.909,51.308,54.89,28514.075
80,2021-08-18,47.01,55.14,50.83,51.012,61906.085
81,2021-08-17,50.15,58.458,52.32,50.638,87373.181
82,2021-08-16,51.702,56.938,52.291,52.32,64639.685
83,2021-08-15,49.304,53.047,52.619,52.26,25603.862
84,2021-08-14,48.149,54.952,50.26,52.594,62434.168
85,2021-08-13,46.379,50.729,47.125,50.268,36944.798
86,2021-08-12,44.767,50.551,47.52,47.001,44420.601
87,2021-08-11,47.44,51.743,48.173,47.44,77111.918
88,2021-08-10,44.61,50.384,45.38,48.221,100151.738
89,2021-08-09,41.154,48.378,43.184,45.356,90974.95
90,2021-08-08,42.3,46.312,46.101,43.04,40025.009
91,2021-08-07,44.85,48.1,46.113,46.033,35820.517
92,2021-08-06,45.316,48.541,45.94,46.125,66095.041
93,2021-08-05,41.075,46.736,42.888,45.95,51256.708
94,2021-08-04,39.849,43.588,41.226,42.817,51289.136
95,2021-08-03,37.833,42.697,40.826,41.159,69444.037
96,2021-08-02,38.25,42.177,38.999,40.807,43024.911
97,2021-08-01,38.105,43.603,40.697,38.798,52652.207
98,2021-07-31,40.069,45.261,40.66,40.638,95968.345
99,2021-07-30,36.125,41.044,36.615,40.71,73086.503
100,2021-07-29,35.327,38.043,36.276,36.595,41250.571
101,2021-07-28,34.97,37.086,36.081,36.276,37831.462
102,2021-07-27,33.554,37.606,34.781,36.125,47226.668
103,2021-07-26,34.176,38.349,34.292,34.761,73629.774
104,2021-07-25,32.945,35.749,34.293,34.292,27260.68
105,2021-07-24,33.304,35.42,34.298,34.3,28388.274
106,2021-07-23,31.69,34.739,31.998,34.283,46262.355
107,2021-07-22,31.179,34.518,31.907,31.952,43575.856
108,2021-07-21,28.469,33.055,29.665,32.066,35550.476
109,2021-07-20,27.24,31.059,29.531,29.712,65752.72
110,2021-07-19,29.361,32.597,32.377,29.63,25511.488
111,2021-07-18,31.714,33.66,31.93,32.567,20793.46
112,2021-07-17,30.94,33.235,32.223,31.952,27858.423
113,2021-07-16,31.575,34.5,34.012,32.241,33091.225
114,2021-07-15,33.278,37.257,36.552,33.922,50573.441
115,2021-07-14,33.255,37.536,37.373,36.553,50966.963
116,2021-07-13,36.613,39.401,38.942,37.39,36791.876
117,2021-07-12,38.016,41.833,40.389,38.962,33984.63
118,2021-07-11,39.965,42.98,41.593,40.368,56617.269
119,2021-07-10,37.434,42.827,38.256,41.551,85759.91
120,2021-07-09,36.15,39.241,38.109,38.222,34672.28
121,2021-07-08,36.93,42.601,42.205,38.096,86622.566
122,2021-07-07,39.081,44.84,39.795,42.26,80265.294
123,2021-07-06,37.32,43.2,37.362,39.86,175012.054
124,2021-07-05,36.507,40.159,39.276,37.365,63753.468
125,2021-07-04,36.833,40.985,38.699,39.35,49059.934
126,2021-07-03,36.209,39.045,37.124,38.75,20940.886
127,2021-07-02,34.493,37.429,36.715,37.124,57049.172
128,2021-07-01,36.212,40.302,40.302,36.761,68702.026
129,2021-06-30,37.503,41.778,41.108,40.311,52184.069
130,2021-06-29,38.231,43.868,38.47,41.135,65510.372
131,2021-06-28,37.769,39.919,39.056,38.479,57305.09
132,2021-06-27,33.829,39.071,34.641,39.056,86504.312
133,2021-06-26,31.619,34.974,33.924,34.661,53038.654
134,2021-06-25,33.598,39.242,38.176,33.924,65014.948
