,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.5911,0.5988,0.5942,0.5961,149725.6
1,2021-11-05,0.5885,0.6418,0.639,0.594,1612768.1
2,2021-11-04,0.5927,0.6394,0.6101,0.6389,2151608.4
3,2021-11-03,0.604,0.6432,0.6399,0.6103,2647646.6
4,2021-11-02,0.6335,0.6986,0.6471,0.6399,3175371.7
5,2021-11-01,0.5927,0.653,0.5936,0.6471,4189198.8
6,2021-10-31,0.5844,0.6275,0.6008,0.5939,2473690.3
7,2021-10-30,0.5715,0.633,0.606,0.6006,3645747.4
8,2021-10-29,0.5937,0.6495,0.6246,0.6055,3227785.3
9,2021-10-28,0.6034,0.7402,0.6824,0.6258,8943952.8
10,2021-10-27,0.5537,0.729,0.5813,0.6823,11768103.7
11,2021-10-26,0.5419,0.6037,0.5732,0.5808,3860339.8
12,2021-10-25,0.5,0.5952,0.5018,0.5732,4313632.1
13,2021-10-24,0.4858,0.5283,0.5212,0.5015,1731746.7
14,2021-10-23,0.5131,0.5541,0.554,0.5211,3368371.7
15,2021-10-22,0.5457,0.5907,0.574,0.5539,2753618.9
16,2021-10-21,0.5702,0.6485,0.6041,0.5719,3637394.0
17,2021-10-20,0.5719,0.6254,0.6134,0.6042,4818382.7
18,2021-10-19,0.5509,0.64,0.5611,0.6132,7745661.3
19,2021-10-18,0.5442,0.6478,0.575,0.5619,12686651.4
20,2021-10-17,0.4885,0.67,0.4935,0.5748,16395565.4
21,2021-10-16,0.4711,0.5533,0.4913,0.493,7163555.8
22,2021-10-15,0.4516,0.6078,0.4645,0.4902,12669399.6
23,2021-10-14,0.4278,0.4731,0.4344,0.4657,3206351.0
24,2021-10-13,0.413,0.4413,0.4275,0.4331,1720959.4
25,2021-10-12,0.4078,0.4299,0.4283,0.4278,1850654.2
26,2021-10-11,0.4237,0.4678,0.4355,0.4283,2770957.7
27,2021-10-10,0.4323,0.4717,0.4683,0.4368,1960772.0
28,2021-10-09,0.4572,0.4948,0.4609,0.4684,2126585.9
29,2021-10-08,0.457,0.4812,0.47,0.4596,1460531.8
30,2021-10-07,0.4676,0.5081,0.4849,0.4695,3086305.3
31,2021-10-06,0.4659,0.5598,0.4907,0.4841,5736811.5
32,2021-10-05,0.4561,0.5161,0.4602,0.4905,4538998.5
33,2021-10-04,0.4524,0.4949,0.4946,0.4599,2644519.0
34,2021-10-03,0.4725,0.5017,0.4868,0.4962,1875127.2
35,2021-10-02,0.4644,0.5177,0.4816,0.4869,2983249.4
36,2021-10-01,0.4244,0.4828,0.4422,0.482,3452713.6
37,2021-09-30,0.4088,0.4417,0.4145,0.4416,2277988.3
38,2021-09-29,0.4006,0.4359,0.4075,0.4141,2346847.0
39,2021-09-28,0.405,0.4464,0.4211,0.4073,2312873.2
40,2021-09-27,0.4192,0.4587,0.4335,0.4213,1370140.1
41,2021-09-26,0.4018,0.4641,0.4502,0.4336,1849198.5
42,2021-09-25,0.44,0.4846,0.4571,0.4507,2214153.7
43,2021-09-24,0.4259,0.5096,0.507,0.457,4384008.5
44,2021-09-23,0.4773,0.5345,0.4881,0.5069,5351723.7
45,2021-09-22,0.4487,0.5325,0.4508,0.4881,7445330.3
46,2021-09-21,0.42,0.5309,0.4494,0.4493,4456765.9
47,2021-09-20,0.4278,0.5425,0.5425,0.4471,4794702.6
48,2021-09-19,0.5327,0.5708,0.5596,0.5416,1530085.2
49,2021-09-18,0.5472,0.6153,0.5625,0.5579,2221588.6
50,2021-09-17,0.5515,0.646,0.644,0.5621,2867474.4
51,2021-09-16,0.5805,0.6649,0.5835,0.6432,6865328.1
52,2021-09-15,0.539,0.6657,0.5789,0.5835,11158064.7
53,2021-09-14,0.4319,0.6089,0.438,0.5814,11752250.8
54,2021-09-13,0.4286,0.5426,0.502,0.4397,6953993.2
55,2021-09-12,0.41,0.505,0.4208,0.5004,6369872.0
56,2021-09-11,0.4118,0.4481,0.4217,0.4208,3048837.0
57,2021-09-10,0.4019,0.4814,0.4719,0.4223,6876075.4
58,2021-09-09,0.4654,0.4987,0.4841,0.4716,3356542.8
59,2021-09-08,0.4327,0.51,0.4801,0.4839,5321768.2
60,2021-09-07,0.42,0.72,0.6366,0.48,10100528.8
61,2021-09-06,0.5923,0.6701,0.613,0.6381,4577816.0
62,2021-09-05,0.5702,0.6402,0.5799,0.6135,4055455.6
63,2021-09-04,0.5708,0.61,0.5737,0.5799,5284223.0
64,2021-09-03,0.5435,0.588,0.5679,0.5728,2566251.9
65,2021-09-02,0.565,0.645,0.62,0.5674,5523908.4
