,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.3232,0.368,0.368,0.3354,10963848.1
1,2021-12-19,0.3645,0.484,0.4389,0.3679,50393479.5
2,2021-12-18,0.2607,0.5578,0.2662,0.4388,66176066.3
3,2021-12-17,0.255,0.2885,0.2705,0.2661,2440226.9
4,2021-12-16,0.2691,0.2842,0.2721,0.2705,2044543.7
5,2021-12-15,0.2558,0.2792,0.2716,0.272,2114576.7
6,2021-12-14,0.2502,0.2716,0.2562,0.2716,2272706.2
7,2021-12-13,0.2544,0.3001,0.2994,0.2563,2644133.5
8,2021-12-12,0.2772,0.303,0.2901,0.2996,1809058.3
9,2021-12-11,0.2704,0.2916,0.2769,0.2893,1263434.5
10,2021-12-10,0.2731,0.3032,0.2959,0.2765,1800139.3
11,2021-12-09,0.292,0.3317,0.3251,0.2952,1596034.0
12,2021-12-08,0.3028,0.3347,0.3194,0.3251,2753190.0
13,2021-12-07,0.3105,0.3449,0.3125,0.3194,2957189.6
14,2021-12-06,0.2767,0.3167,0.3158,0.3129,3541143.0
15,2021-12-05,0.3041,0.3497,0.3478,0.3157,3446980.7
16,2021-12-04,0.2531,0.4189,0.4189,0.3468,8540526.3
17,2021-12-03,0.4099,0.4799,0.4446,0.4196,4088600.6
18,2021-12-02,0.4201,0.4525,0.4435,0.4443,2011511.1
19,2021-12-01,0.4338,0.4642,0.4443,0.4431,2977738.9
20,2021-11-30,0.4275,0.474,0.4404,0.4443,4316440.8
21,2021-11-29,0.4368,0.4583,0.4448,0.4403,2334758.7
22,2021-11-28,0.4119,0.4458,0.444,0.4458,2306005.6
23,2021-11-27,0.4195,0.4728,0.4205,0.4446,3003189.1
24,2021-11-26,0.405,0.4867,0.4752,0.4207,4356906.2
25,2021-11-25,0.4358,0.4752,0.4462,0.4751,2945521.7
26,2021-11-24,0.4333,0.4644,0.4638,0.4443,2598756.4
27,2021-11-23,0.4574,0.4834,0.4592,0.4633,2297570.2
28,2021-11-22,0.4506,0.5035,0.5023,0.4594,3366546.5
29,2021-11-21,0.4561,0.5334,0.4668,0.5026,4716106.9
30,2021-11-20,0.4459,0.4733,0.4693,0.4668,1931317.6
31,2021-11-19,0.4229,0.472,0.4301,0.4691,2075565.0
32,2021-11-18,0.4121,0.4807,0.4633,0.4289,2863350.3
33,2021-11-17,0.445,0.4809,0.4775,0.4631,3020956.0
34,2021-11-16,0.4638,0.5267,0.5262,0.4771,3640176.7
35,2021-11-15,0.526,0.5637,0.557,0.526,3576836.0
36,2021-11-14,0.5467,0.5904,0.5843,0.5573,2536098.5
37,2021-11-13,0.58,0.6289,0.6064,0.5836,1281753.7
38,2021-11-12,0.5777,0.6308,0.6127,0.6065,1292384.0
39,2021-11-11,0.5977,0.632,0.6034,0.6148,1572631.4
40,2021-11-10,0.5932,0.7138,0.6383,0.6046,6022264.6
41,2021-11-09,0.598,0.6646,0.6062,0.6381,2384165.3
42,2021-11-08,0.6019,0.6432,0.61,0.6057,1556464.4
43,2021-11-07,0.5984,0.6247,0.6065,0.61,1205235.4
44,2021-11-06,0.5759,0.6238,0.5942,0.6079,1172912.1
45,2021-11-05,0.5885,0.6418,0.639,0.594,1612768.1
46,2021-11-04,0.5927,0.6394,0.6101,0.6389,2151608.4
47,2021-11-03,0.604,0.6432,0.6399,0.6103,2647646.6
48,2021-11-02,0.6335,0.6986,0.6471,0.6399,3175371.7
49,2021-11-01,0.5927,0.653,0.5936,0.6471,4189198.8
50,2021-10-31,0.5844,0.6275,0.6008,0.5939,2473690.3
51,2021-10-30,0.5715,0.633,0.606,0.6006,3645747.4
52,2021-10-29,0.5937,0.6495,0.6246,0.6055,3227785.3
53,2021-10-28,0.6034,0.7402,0.6824,0.6258,8943952.8
54,2021-10-27,0.5537,0.729,0.5813,0.6823,11768103.7
55,2021-10-26,0.5419,0.6037,0.5732,0.5808,3860339.8
56,2021-10-25,0.5,0.5952,0.5018,0.5732,4313632.1
57,2021-10-24,0.4858,0.5283,0.5212,0.5015,1731746.7
58,2021-10-23,0.5131,0.5541,0.554,0.5211,3368371.7
59,2021-10-22,0.5457,0.5907,0.574,0.5539,2753618.9
60,2021-10-21,0.5702,0.6485,0.6041,0.5719,3637394.0
61,2021-10-20,0.5719,0.6254,0.6134,0.6042,4818382.7
62,2021-10-19,0.5509,0.64,0.5611,0.6132,7745661.3
63,2021-10-18,0.5442,0.6478,0.575,0.5619,12686651.4
64,2021-10-17,0.4885,0.67,0.4935,0.5748,16395565.4
65,2021-10-16,0.4711,0.5533,0.4913,0.493,7163555.8
66,2021-10-15,0.4516,0.6078,0.4645,0.4902,12669399.6
67,2021-10-14,0.4278,0.4731,0.4344,0.4657,3206351.0
68,2021-10-13,0.413,0.4413,0.4275,0.4331,1720959.4
