,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.0007,1.0014,1.0012,1.001,26630664.43
1,2021-11-05,1.0005,1.0017,1.0008,1.0011,100355415.21
2,2021-11-04,1.0,1.001,1.0006,1.0007,107547265.68
3,2021-11-03,1.0004,1.01,1.0009,1.0005,125058829.52
4,2021-11-02,1.0006,1.0013,1.0007,1.0009,92787805.3
5,2021-11-01,1.0005,1.0009,1.0007,1.0007,62931397.02
6,2021-10-31,1.0004,1.0025,1.0005,1.0008,68541670.12
7,2021-10-30,1.0,1.0006,1.0003,1.0004,81059650.8
8,2021-10-29,0.9999,1.0007,1.0005,1.0003,98015645.25
9,2021-10-28,1.0002,1.0045,1.0012,1.0005,174405078.71
10,2021-10-27,1.0,1.01,1.0001,1.0012,236401965.39
11,2021-10-26,0.99,1.0003,1.0,1.0002,81909474.58
12,2021-10-25,0.9996,1.0001,1.0,1.0,77319918.61
13,2021-10-24,0.9941,1.0003,0.9999,1.0001,91716249.26
14,2021-10-23,0.9998,1.0001,0.9998,1.0,35753325.4
15,2021-10-22,0.9996,1.0003,1.0003,0.9999,50354245.36
16,2021-10-21,0.999,1.0024,1.0002,1.0002,68987306.19
17,2021-10-20,1.0,1.0003,1.0003,1.0001,38998995.4
18,2021-10-19,0.9998,1.0004,0.9999,1.0003,33411520.15
19,2021-10-18,0.9921,1.004,1.0,0.9999,47690816.82
20,2021-10-17,0.9999,1.0002,1.0,1.0001,19535310.05
21,2021-10-16,0.9998,1.0003,0.9999,1.0001,28703130.06
22,2021-10-15,0.9953,1.0003,1.0002,0.9998,74352141.29
23,2021-10-14,0.9989,1.0007,1.0001,1.0002,39746330.75
24,2021-10-13,0.9999,1.0004,1.0,1.0,35331333.54
25,2021-10-12,0.9998,1.0004,1.0004,1.0,37389429.1
26,2021-10-11,1.0001,1.0014,1.0004,1.0003,33376477.44
27,2021-10-10,0.9998,1.0004,1.0002,1.0003,24274387.95
28,2021-10-09,1.0001,1.0004,1.0001,1.0003,38511833.98
29,2021-10-08,1.0001,1.0005,1.0004,1.0002,68918639.7
30,2021-10-07,0.9999,1.0009,1.0005,1.0004,130929521.85
31,2021-10-06,0.9997,1.0011,1.0007,1.0005,96129186.81
32,2021-10-05,1.0002,1.0012,1.0005,1.0007,65395797.84
33,2021-10-04,1.0001,1.0007,1.0006,1.0005,42487639.58
34,2021-10-03,1.0002,1.0007,1.0006,1.0006,18372484.76
35,2021-10-02,1.0003,1.0006,1.0005,1.0006,19589400.0
36,2021-10-01,1.0,1.0006,1.0002,1.0005,30784454.81
37,2021-09-30,0.9998,1.0003,0.9999,1.0002,21663631.11
38,2021-09-29,0.9998,1.0003,1.0003,0.9999,20618266.79
39,2021-09-28,0.9997,1.0005,1.0002,1.0002,32472740.48
40,2021-09-27,1.0002,1.0005,1.0004,1.0003,23091806.95
41,2021-09-26,1.0003,1.0008,1.0006,1.0004,23064874.17
42,2021-09-25,1.0005,1.0008,1.0007,1.0006,18293084.18
43,2021-09-24,1.0004,1.0013,1.0006,1.0008,43731385.91
44,2021-09-23,1.0004,1.0014,1.0005,1.0006,28569563.84
45,2021-09-22,0.9998,1.0006,1.0,1.0005,39621127.99
46,2021-09-21,0.9996,1.0001,0.9997,0.9999,43148466.29
47,2021-09-20,0.9997,1.0007,1.0001,0.9997,62301997.39
48,2021-09-19,1.0001,1.0004,1.0003,1.0002,19558566.7
49,2021-09-18,1.0,1.0003,1.0002,1.0002,19120010.64
50,2021-09-17,1.0,1.0004,1.0003,1.0002,37083158.55
51,2021-09-16,1.0001,1.0014,1.0004,1.0003,68746747.11
52,2021-09-15,1.0002,1.0008,1.0003,1.0004,21965909.89
53,2021-09-14,0.9997,1.0004,1.0003,1.0003,38720551.51
54,2021-09-13,0.9999,1.0025,1.0001,1.0004,45404680.81
55,2021-09-12,1.0,1.0003,1.0002,1.0,17388801.54
56,2021-09-11,0.997,1.0002,1.0002,1.0002,23553861.79
57,2021-09-10,0.9998,1.0004,1.0002,1.0001,51734252.02
58,2021-09-09,0.9999,1.0003,1.0001,1.0002,43562538.17
59,2021-09-08,1.0,1.0021,1.0006,1.0002,60478260.41
60,2021-09-07,0.9996,1.005,1.0003,1.0005,114286875.13
61,2021-09-06,1.0001,1.0008,1.0005,1.0004,29324469.03
62,2021-09-05,1.0004,1.0006,1.0006,1.0005,17256740.99
63,2021-09-04,1.0003,1.0007,1.0006,1.0005,25452709.55
64,2021-09-03,1.0001,1.0007,1.0006,1.0005,38344299.75
65,2021-09-02,1.0003,1.0006,1.0003,1.0005,28138882.93
66,2021-09-01,1.0002,1.0005,1.0003,1.0003,25091101.62
67,2021-08-31,1.0002,1.0005,1.0005,1.0002,28357013.07
68,2021-08-30,1.0003,1.0008,1.0007,1.0004,25724431.01
69,2021-08-29,1.0005,1.0008,1.0007,1.0006,12738246.73
70,2021-08-28,1.0004,1.0007,1.0007,1.0007,14683596.49
71,2021-08-27,1.0,1.0051,1.0003,1.0007,35097260.34
72,2021-08-26,1.0,1.0054,1.0002,1.0003,36336427.3
73,2021-08-25,1.0,1.0004,1.0003,1.0003,24386597.01
74,2021-08-24,1.0,1.0004,1.0003,1.0002,38449420.23
75,2021-08-23,1.0001,1.0008,1.0008,1.0003,33053772.67
76,2021-08-22,1.0006,1.0009,1.0008,1.0008,17045238.03
77,2021-08-21,1.0004,1.001,1.0004,1.0008,21003672.43
78,2021-08-20,0.9999,1.0005,1.0,1.0004,28136403.59
79,2021-08-19,0.9999,1.0004,1.0003,1.0,30116601.33
80,2021-08-18,0.9999,1.0005,1.0,1.0003,29650969.08
81,2021-08-17,0.9999,1.0005,1.0003,1.0,42349692.84
82,2021-08-16,1.0,1.0008,1.0008,1.0003,28728296.77
83,2021-08-15,1.0005,1.0009,1.0007,1.0008,17077484.49
84,2021-08-14,1.0003,1.001,1.0004,1.0007,22515523.13
85,2021-08-13,1.0002,1.0007,1.0004,1.0003,35106065.64
86,2021-08-12,1.0002,1.0009,1.0004,1.0005,45259972.8
87,2021-08-11,0.9999,1.0011,1.0004,1.0004,43249740.32
88,2021-08-10,0.9998,1.0006,1.0,1.0003,37187122.65
89,2021-08-09,0.9998,1.0008,1.0007,1.0,25406233.96
90,2021-08-08,1.0004,1.0009,1.0009,1.0007,17538624.06
91,2021-08-07,1.0003,1.0009,1.0004,1.0009,19005774.8
92,2021-08-06,1.0,1.0008,1.0004,1.0004,26458972.34
93,2021-08-05,0.9997,1.0007,1.0,1.0004,24820938.78
94,2021-08-04,0.9997,1.0001,1.0,1.0,21139908.59
95,2021-08-03,0.9998,1.0006,1.0001,1.0,19783292.18
96,2021-08-02,0.9998,1.0005,1.0005,1.0001,14421089.03
97,2021-08-01,0.9998,1.0009,1.0006,1.0004,16003183.45
98,2021-07-31,1.0,1.0007,1.0006,1.0006,14666786.55
99,2021-07-30,1.0001,1.0007,1.0002,1.0006,16893773.83
100,2021-07-29,1.0002,1.0004,1.0003,1.0003,15300516.69
101,2021-07-28,1.0,1.0005,1.0004,1.0003,20445575.72
102,2021-07-27,1.0001,1.0006,1.0003,1.0004,23671489.92
103,2021-07-26,0.9998,1.0007,1.0006,1.0002,37910759.59
104,2021-07-25,1.0004,1.0007,1.0005,1.0006,8816273.02
105,2021-07-24,1.0002,1.0007,1.0003,1.0005,10523894.49
106,2021-07-23,1.0,1.0003,1.0001,1.0003,12481334.41
