,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.002,1.003,1.002,1.003,339282.43
1,2021-11-05,1.001,1.01,1.004,1.003,3456377.15
2,2021-11-04,1.001,1.017,1.003,1.004,6876318.14
3,2021-11-03,1.002,1.005,1.004,1.003,6107780.76
4,2021-11-02,1.002,1.004,1.004,1.004,3586972.34
5,2021-11-01,1.002,1.004,1.004,1.003,2913607.5
6,2021-10-31,1.002,1.005,1.003,1.004,3725574.13
7,2021-10-30,1.001,1.004,1.002,1.002,5286885.63
8,2021-10-29,1.001,1.005,1.002,1.002,5587663.39
9,2021-10-28,1.001,1.005,1.003,1.002,6227529.13
10,2021-10-27,1.0,1.004,1.003,1.002,7014934.62
11,2021-10-26,1.002,1.013,1.003,1.003,4390029.66
12,2021-10-25,1.001,1.004,1.003,1.004,1831980.4
13,2021-10-24,1.001,1.007,1.002,1.002,5189253.88
14,2021-10-23,1.001,1.006,1.002,1.002,2521608.06
15,2021-10-22,1.001,1.003,1.002,1.001,1990033.71
16,2021-10-21,1.001,1.004,1.001,1.002,3565912.73
17,2021-10-20,1.0,1.003,1.001,1.001,1959080.96
18,2021-10-19,1.0,1.002,1.0,1.0,954066.46
19,2021-10-18,0.999,1.001,1.0,1.001,2325370.17
20,2021-10-17,0.999,1.002,1.0,1.001,1830185.67
21,2021-10-16,0.999,1.002,1.001,1.0,2107072.49
22,2021-10-15,0.999,1.001,1.0,1.0,3071386.99
23,2021-10-14,1.0,1.002,1.001,1.0,2259604.89
24,2021-10-13,1.0,1.001,1.0,1.001,1145039.16
25,2021-10-12,0.998,1.001,1.0,1.0,2310035.03
26,2021-10-11,0.999,1.001,0.999,1.0,1826259.49
27,2021-10-10,0.999,1.002,1.001,1.0,1914109.24
28,2021-10-09,0.999,1.002,1.001,1.0,1909091.72
29,2021-10-08,0.996,1.003,1.002,1.001,3232401.03
30,2021-10-07,0.999,1.003,1.001,1.002,5168733.5
31,2021-10-06,1.0,1.003,1.001,1.002,2804195.23
32,2021-10-05,1.0,1.004,1.002,1.002,3037110.71
33,2021-10-04,1.0,1.004,1.001,1.001,3769390.47
34,2021-10-03,1.001,1.003,1.002,1.002,1509689.72
35,2021-10-02,1.0,1.009,1.002,1.002,2010466.67
36,2021-10-01,0.999,1.003,1.0,1.001,1883798.31
37,2021-09-30,0.997,1.001,1.001,1.0,1150978.7
38,2021-09-29,1.0,1.003,1.001,1.0,1503919.51
39,2021-09-28,1.0,1.004,1.001,1.002,1664157.69
40,2021-09-27,1.0,1.002,1.001,1.001,1206925.03
41,2021-09-26,0.999,1.002,1.002,1.002,1335176.38
42,2021-09-25,0.999,1.002,1.002,1.002,1298149.97
43,2021-09-24,1.0,1.005,1.001,1.001,2605875.65
44,2021-09-23,1.0,1.002,1.002,1.0,1613150.61
45,2021-09-22,1.001,1.003,1.002,1.001,1486997.79
46,2021-09-21,1.0,1.002,1.001,1.001,1499431.74
47,2021-09-20,1.0,1.005,1.003,1.0,3032485.1
48,2021-09-19,1.003,1.005,1.003,1.003,782538.7
49,2021-09-18,1.002,1.004,1.004,1.004,1558103.85
50,2021-09-17,1.002,1.005,1.003,1.004,1832727.62
51,2021-09-16,1.003,1.005,1.004,1.004,1657597.59
52,2021-09-15,1.003,1.006,1.003,1.004,1958369.3
53,2021-09-14,1.003,1.005,1.004,1.004,1876828.78
54,2021-09-13,1.001,1.006,1.004,1.004,2578627.59
55,2021-09-12,1.004,1.008,1.004,1.004,1644252.95
56,2021-09-11,1.002,1.009,1.005,1.004,3044952.48
57,2021-09-10,1.001,1.009,1.002,1.005,4110905.1
58,2021-09-09,1.0,1.003,1.0,1.003,2683940.5
59,2021-09-08,1.0,1.003,1.0,1.0,2136780.68
60,2021-09-07,0.979,1.002,1.001,1.001,6035391.69
61,2021-09-06,1.0,1.003,1.001,1.0,817542.33
62,2021-09-05,1.001,1.004,1.002,1.001,793413.69
63,2021-09-04,1.0,1.002,1.001,1.002,1122389.19
64,2021-09-03,0.999,1.002,1.0,1.0,1430048.41
65,2021-09-02,0.999,1.002,1.002,0.999,2536271.84
66,2021-09-01,1.001,1.003,1.001,1.001,2753157.14
67,2021-08-31,1.0,1.003,1.001,1.002,1686287.5
68,2021-08-30,1.0,1.002,1.002,1.001,1180528.6
69,2021-08-29,1.001,1.003,1.002,1.001,925276.74
70,2021-08-28,1.001,1.002,1.001,1.002,344291.44
71,2021-08-27,1.0,1.003,1.0,1.002,1113523.68
72,2021-08-26,1.0,1.002,1.0,1.001,771067.64
73,2021-08-25,1.0,1.002,1.001,1.0,1444903.24
74,2021-08-24,1.0,1.004,1.002,1.001,2226111.2
75,2021-08-23,1.001,1.005,1.004,1.003,1013865.85
76,2021-08-22,1.003,1.006,1.004,1.005,768573.46
77,2021-08-21,1.004,1.006,1.004,1.005,760286.15
78,2021-08-20,1.003,1.006,1.004,1.005,1748979.58
79,2021-08-19,1.002,1.005,1.004,1.004,1599249.06
80,2021-08-18,1.001,1.007,1.004,1.004,3168974.52
81,2021-08-17,1.002,1.008,1.003,1.004,4279229.25
82,2021-08-16,1.002,1.008,1.003,1.003,1559191.13
83,2021-08-15,1.002,1.007,1.004,1.003,1419169.79
84,2021-08-14,1.002,1.005,1.004,1.004,982896.63
85,2021-08-13,1.001,1.005,1.002,1.004,787902.06
86,2021-08-12,1.002,1.006,1.003,1.002,501575.15
