,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.001,1.006,1.002,1.001,6012356.45
1,2021-12-19,1.0,1.004,1.002,1.002,4750645.08
2,2021-12-18,1.0,1.004,1.002,1.002,7974295.94
3,2021-12-17,1.001,1.003,1.001,1.002,3859835.06
4,2021-12-16,1.0,1.002,1.0,1.002,3281060.99
5,2021-12-15,1.0,1.002,1.001,1.0,4685921.48
6,2021-12-14,0.998,1.001,1.001,1.0,7211631.03
7,2021-12-13,0.993,1.003,1.001,1.0,13991948.75
8,2021-12-12,1.0,1.002,1.001,1.001,1638179.81
9,2021-12-11,1.0,1.003,1.003,1.0,5681601.18
10,2021-12-10,1.001,1.003,1.002,1.002,3951627.57
11,2021-12-09,1.0,1.004,1.002,1.002,5461452.17
12,2021-12-08,1.001,1.003,1.003,1.001,3442868.87
13,2021-12-07,1.001,1.003,1.001,1.002,5572316.35
14,2021-12-06,1.001,1.003,1.002,1.001,6634824.89
15,2021-12-05,0.999,1.004,1.0,1.001,6539272.08
16,2021-12-04,1.0,1.004,1.001,1.001,12377755.89
17,2021-12-03,1.001,1.012,1.004,1.001,8692662.61
18,2021-12-02,1.002,1.009,1.005,1.004,5786244.94
19,2021-12-01,1.003,1.011,1.01,1.005,4713833.75
20,2021-11-30,1.002,1.017,1.003,1.011,6151168.96
21,2021-11-29,1.002,1.004,1.002,1.002,3243032.71
22,2021-11-28,1.001,1.003,1.002,1.003,3163352.07
23,2021-11-27,1.001,1.013,1.004,1.001,6834135.43
24,2021-11-26,1.0,1.006,1.003,1.003,8276006.61
25,2021-11-25,1.002,1.006,1.002,1.003,3708761.96
26,2021-11-24,1.001,1.004,1.002,1.003,3831641.44
27,2021-11-23,1.0,1.003,1.001,1.001,3749809.75
28,2021-11-22,1.001,1.003,1.002,1.001,3976734.92
29,2021-11-21,0.999,1.005,1.002,1.003,3971030.78
30,2021-11-20,0.999,1.004,1.0,1.002,5911716.68
31,2021-11-19,0.994,1.002,1.002,1.001,12656268.9
32,2021-11-18,0.995,1.005,1.004,1.001,11625522.84
33,2021-11-17,1.002,1.005,1.004,1.004,4804622.14
34,2021-11-16,1.002,1.009,1.006,1.005,7281981.33
35,2021-11-15,1.004,1.008,1.007,1.005,4622367.46
36,2021-11-14,1.005,1.011,1.006,1.007,3504562.11
37,2021-11-13,1.004,1.009,1.005,1.007,2874628.65
38,2021-11-12,1.003,1.01,1.005,1.005,4300297.12
39,2021-11-11,1.002,1.006,1.005,1.004,5785128.47
40,2021-11-10,1.003,1.012,1.006,1.006,6048134.89
41,2021-11-09,1.003,1.006,1.004,1.006,4922588.19
42,2021-11-08,1.002,1.006,1.003,1.003,3556580.28
43,2021-11-07,1.001,1.003,1.003,1.003,1601167.53
44,2021-11-06,1.002,1.003,1.002,1.002,1624247.78
