,Date,Open,High,Low,Close,Volume
0,2021-12-20,2.74,3.09,3.07,2.89,2374543.2
1,2021-12-19,3.02,3.26,3.13,3.06,685871.23
2,2021-12-18,3.0,3.25,3.1,3.12,640412.19
3,2021-12-17,3.0,3.32,3.14,3.1,1031413.88
4,2021-12-16,3.11,3.5,3.37,3.14,790989.77
5,2021-12-15,3.06,3.48,3.2,3.36,1183087.85
6,2021-12-14,3.01,3.4,3.31,3.2,1478740.9
7,2021-12-13,3.14,3.67,3.67,3.31,1431671.06
8,2021-12-12,3.49,3.71,3.61,3.67,515482.19
9,2021-12-11,3.27,3.67,3.35,3.62,823547.9
10,2021-12-10,3.29,3.7,3.61,3.34,1492897.95
11,2021-12-09,3.55,4.04,4.01,3.6,1584193.15
12,2021-12-08,3.71,4.35,3.86,4.0,1550464.05
13,2021-12-07,3.7,4.07,3.92,3.87,1485327.03
14,2021-12-06,3.56,3.96,3.96,3.91,1905347.93
15,2021-12-05,3.79,4.24,4.17,3.96,1166197.44
16,2021-12-04,3.41,4.42,4.41,4.16,3865490.28
17,2021-12-03,4.1,4.78,4.57,4.41,2188049.76
18,2021-12-02,4.5,5.08,4.76,4.58,2998755.69
19,2021-12-01,4.55,5.5,4.64,4.77,12408128.37
20,2021-11-30,3.85,4.83,4.21,4.62,4128246.48
21,2021-11-29,3.86,4.47,3.93,4.22,2490132.0
22,2021-11-28,3.48,4.32,3.78,3.93,4037689.34
23,2021-11-27,3.71,4.07,3.85,3.79,1895209.85
24,2021-11-26,3.82,4.47,4.26,3.85,3387336.35
25,2021-11-25,4.17,4.98,4.36,4.27,4680819.11
26,2021-11-24,4.16,4.9,4.9,4.36,5156231.04
27,2021-11-23,4.68,5.84,5.19,4.9,11733752.6
28,2021-11-22,3.64,5.93,3.79,5.21,28694462.51
29,2021-11-21,3.73,4.11,4.08,3.78,2902998.6
30,2021-11-20,3.61,4.12,3.85,4.08,3574113.4
31,2021-11-19,3.72,4.55,4.35,3.86,8627877.59
32,2021-11-18,3.97,5.7,4.17,4.36,5505207.04
