,Date,Open,High,Low,Close,Volume
0,2021-11-06,60887.7,61358.29,61031.95,61316.04,0.52353513
1,2021-11-05,60796.13,62661.86,61548.52,60992.89,5.51727042
2,2021-11-04,60761.05,63133.39,62950.0,61454.13,6.43567355
3,2021-11-03,60344.82,63582.3,63345.98,62977.54,11.93038554
4,2021-11-02,60722.84,64322.25,60969.0,63325.8,13.88367845
5,2021-11-01,59529.24,62452.18,61405.96,60946.15,6.83593084
6,2021-10-31,60033.49,62458.11,62060.86,61414.53,7.45636207
7,2021-10-30,60779.67,62329.83,62310.71,61931.08,7.15680173
8,2021-10-29,60326.99,62968.89,60615.65,62308.83,9.05959039
9,2021-10-28,56497.26,62442.04,58468.72,60653.31,21.83989536
10,2021-10-27,58125.0,61530.97,60296.18,58450.43,20.02760208
11,2021-10-26,59898.33,63292.3,63125.0,60383.82,11.63311656
12,2021-10-25,60670.86,63741.69,60931.77,63125.0,8.83474382
13,2021-10-24,59551.77,61514.09,61402.83,60893.8,8.9685284
14,2021-10-23,59650.66,61741.13,60762.97,61398.08,6.94758975
15,2021-10-22,60022.9,63751.76,62234.58,60679.98,16.81269012
16,2021-10-21,62081.57,66699.29,66050.23,62215.06,36.56708456
17,2021-10-20,63573.86,67062.89,64345.91,66090.97,23.35975944
18,2021-10-19,60693.15,64584.14,62139.69,64345.91,16.87666093
19,2021-10-18,59892.0,62659.02,61691.73,61923.16,10.44061747
20,2021-10-17,58968.71,61691.73,60859.92,61674.54,6.60632378
21,2021-10-16,60192.98,62360.84,61719.47,60861.35,10.2388545
22,2021-10-15,56922.52,62818.3,57343.53,61696.54,61.30589553
23,2021-10-14,56908.34,58547.13,57480.46,57456.81,13.00385197
24,2021-10-13,54283.32,58623.0,56065.06,57409.32,13.21848527
25,2021-10-12,53951.52,57704.37,57411.34,56030.35,12.55971112
26,2021-10-11,54524.1,57851.82,54524.1,57483.92,22.48188118
27,2021-10-10,54198.35,56550.21,54879.64,54563.3,15.64613212
28,2021-10-09,53708.63,55507.41,54070.29,54909.07,6.37174536
29,2021-10-08,53632.59,56097.65,53778.63,53920.03,11.74541088
30,2021-10-07,53425.7,55367.64,55348.93,53837.2,11.89423129
31,2021-10-06,50450.05,56000.0,51420.87,55330.66,31.86719825
32,2021-10-05,49104.06,51953.23,49290.02,51480.23,12.52928558
33,2021-10-04,46931.42,49513.24,48158.55,49229.41,8.10907068
34,2021-10-03,47136.98,49270.8,47789.82,48150.81,5.80629959
35,2021-10-02,47480.71,48357.94,48159.4,47671.56,2.96284442
36,2021-10-01,43334.71,48473.68,43865.12,48132.96,14.63954337
37,2021-09-30,41450.0,44108.1,41594.45,43824.52,6.43002479
38,2021-09-29,40792.28,42599.75,41083.61,41572.82,6.35946631
39,2021-09-28,40856.0,42770.43,42157.84,41079.71,8.51590916
40,2021-09-27,42123.89,44374.83,43149.68,42157.84,27.38846685
41,2021-09-26,40820.56,43919.37,42726.95,43133.48,3.59321786
42,2021-09-25,41708.65,42943.39,42828.71,42727.09,4.0416774
43,2021-09-24,40923.07,45136.25,44979.87,42872.37,8.61154618
44,2021-09-23,43120.52,45008.07,43511.71,44893.23,7.82103356
45,2021-09-22,40580.09,44026.76,40653.11,43579.26,9.57411262
46,2021-09-21,39574.75,43616.37,42982.87,40660.5,18.24387235
47,2021-09-20,42471.22,47243.85,47197.05,43007.84,52.72571169
48,2021-09-19,46833.69,48367.31,48266.36,47288.14,14.83492824
49,2021-09-18,47069.45,48812.84,47334.37,48281.48,5.91554489
50,2021-09-17,46774.79,48671.32,47776.75,47370.47,6.45466208
51,2021-09-16,47046.27,48540.52,48140.31,47811.13,27.63592232
52,2021-09-15,46723.95,48473.68,47120.75,48158.35,26.53533015
53,2021-09-14,44773.73,47222.43,44918.0,47128.2,27.69297924
54,2021-09-13,43446.62,46815.79,46188.58,44989.76,5.76384391
55,2021-09-12,44777.0,46404.71,45196.05,46123.7,2.54295334
56,2021-09-11,44685.7,45993.92,44988.08,45134.77,5.03888571
57,2021-09-10,44114.34,46992.17,46385.9,44806.97,10.03767024
58,2021-09-09,45551.11,47263.79,46072.34,46392.31,10.53950567
59,2021-09-08,44458.01,47315.87,46730.99,46056.95,8.21330012
60,2021-09-07,43025.64,52888.54,52645.02,46935.0,17.07763574
61,2021-09-06,49650.0,52771.23,51909.53,52670.45,7.93744337
62,2021-09-05,49537.78,52368.42,49939.5,51798.59,6.5008806
63,2021-09-04,49435.89,50560.66,49909.67,49998.8,5.91669191
64,2021-09-03,48410.23,51024.63,49321.72,49908.85,10.38073277
65,2021-09-02,48666.66,50387.24,48923.07,49388.78,16.04809741
66,2021-09-01,46535.51,49128.25,46947.46,48923.07,7.02586685
67,2021-08-31,46733.42,48264.34,47008.25,47053.69,5.49987745
68,2021-08-30,46913.92,48831.61,48755.05,46934.03,19.89789447
69,2021-08-29,47823.81,49657.97,48931.82,48767.77,3.74437153
70,2021-08-28,48455.73,49310.49,49081.73,48899.73,3.94588932
71,2021-08-27,46461.53,49185.9,46468.81,49078.71,2.84797175
72,2021-08-26,46340.91,49374.63,48909.36,46769.23,4.38242709
73,2021-08-25,47162.19,49239.89,47878.49,49114.97,2.46410226
74,2021-08-24,47636.94,49867.31,49661.66,47764.5,6.3877463
75,2021-08-23,49060.23,50534.09,49432.2,49407.43,12.13735058
76,2021-08-22,48176.12,49499.9,48775.28,49350.16,3.56354905
77,2021-08-21,48312.23,49800.37,49177.19,48824.52,5.58618753
78,2021-08-20,46674.59,49370.5,46735.84,49367.17,6.66611767
79,2021-08-19,44043.94,46995.03,44897.71,46680.93,4.39540086
80,2021-08-18,44252.59,45987.46,44923.07,44752.38,3.62152998
81,2021-08-17,44398.93,47135.35,45839.35,44808.52,7.51549177
82,2021-08-16,45692.29,48000.0,47075.99,45880.76,5.60787269
83,2021-08-15,45532.59,47402.52,47151.24,47059.78,4.11142741
84,2021-08-14,46074.56,48149.32,47722.07,47085.47,4.82895189
85,2021-08-13,44274.69,47866.56,44519.64,47791.41,11.70462958
86,2021-08-12,43824.64,46228.61,45541.44,44448.16,7.62060567
87,2021-08-11,45384.61,46752.14,45616.64,45589.23,6.15483398
88,2021-08-10,44679.7,46670.76,46410.25,45697.74,14.0413358
89,2021-08-09,42811.64,46466.84,43698.7,46232.91,9.88603667
90,2021-08-08,43301.69,45308.39,44461.06,43923.82,8.63005989
91,2021-08-07,42610.4,44754.67,42812.59,44639.79,9.1474697
92,2021-08-06,39920.9,43369.8,40852.27,42821.77,10.32282197
93,2021-08-05,37374.55,41418.43,39758.0,40833.99,8.89619736
94,2021-08-04,37571.64,39995.7,38031.66,39754.33,4.5385674
95,2021-08-03,37657.72,39743.58,38996.14,38059.04,15.77136308
96,2021-08-02,38697.55,40414.06,39776.72,39063.85,7.08153319
97,2021-08-01,39466.17,42542.69,41394.58,39837.47,8.85367776
98,2021-07-31,40916.64,42317.63,42317.63,41410.03,12.76558678
99,2021-07-30,38371.7,42313.98,40018.63,42313.98,15.33051719
100,2021-07-29,39254.39,40582.68,39832.13,40078.51,3.73557025
101,2021-07-28,38809.85,40887.55,39457.03,39852.88,18.83379494
102,2021-07-27,36400.0,39457.04,37158.42,39457.04,21.45101401
103,2021-07-26,35262.4,40504.94,35304.61,37246.5,20.10804635
104,2021-07-25,33895.91,35419.26,34259.97,35413.69,13.33263299
105,2021-07-24,33444.42,34530.71,33709.23,34209.76,7.88068598
106,2021-07-23,32027.15,33665.92,32363.41,33665.92,8.57601574
