,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.82,1.96,1.86,1.94,218413.0
1,2021-11-05,1.81,1.96,1.94,1.85,384485.86
2,2021-11-04,1.92,2.09,2.03,1.94,534013.48
3,2021-11-03,1.8,2.09,1.87,2.02,1240342.2
4,2021-11-02,1.8,1.97,1.85,1.86,609213.81
5,2021-11-01,1.63,2.0,1.65,1.85,1243967.26
6,2021-10-31,1.46,1.85,1.74,1.64,1577149.2
7,2021-10-30,1.69,1.86,1.76,1.73,447671.66
8,2021-10-29,1.71,1.8,1.77,1.75,328377.11
9,2021-10-28,1.68,1.8,1.68,1.77,269974.7
10,2021-10-27,1.68,1.96,1.8,1.68,650102.34
11,2021-10-26,1.78,1.95,1.94,1.79,561151.53
12,2021-10-25,1.75,1.99,1.75,1.93,377131.93
13,2021-10-24,1.71,2.01,1.88,1.75,837424.8
14,2021-10-23,1.81,1.91,1.87,1.88,333158.46
15,2021-10-22,1.85,1.95,1.91,1.87,394010.23
16,2021-10-21,1.9,2.08,2.08,1.92,653361.87
17,2021-10-20,1.94,2.09,1.96,2.08,723279.45
18,2021-10-19,1.84,2.23,1.85,1.95,1550502.43
19,2021-10-18,1.84,2.02,1.93,1.85,752865.46
20,2021-10-17,1.89,2.12,1.93,1.92,1418879.62
21,2021-10-16,1.86,2.11,1.9,1.93,1181354.6
22,2021-10-15,1.8,2.14,2.12,1.9,3121106.43
23,2021-10-14,1.7,2.61,1.83,2.12,16901944.76
24,2021-10-13,1.51,1.87,1.54,1.83,2161912.23
25,2021-10-12,1.51,1.71,1.62,1.53,2311459.2
26,2021-10-11,1.46,1.84,1.51,1.61,3862340.5
27,2021-10-10,1.5,1.75,1.71,1.51,1481373.75
28,2021-10-09,1.62,1.86,1.63,1.71,2210125.86
29,2021-10-08,1.43,1.74,1.69,1.63,2905871.58
30,2021-10-07,1.6,2.26,2.0,1.7,2379487.6
