,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.92,0.98,0.98,0.97,264577.23
1,2021-12-19,0.96,1.01,0.98,0.98,246088.54
2,2021-12-18,0.95,1.01,0.96,0.97,339835.04
3,2021-12-17,0.95,1.07,1.06,0.96,301895.05
4,2021-12-16,1.04,1.13,1.05,1.07,229754.69
5,2021-12-15,1.0,1.13,1.02,1.05,291762.21
6,2021-12-14,1.0,1.04,1.04,1.03,157744.87
7,2021-12-13,1.03,1.14,1.13,1.04,125230.65
8,2021-12-12,1.11,1.16,1.15,1.13,132364.44
9,2021-12-11,1.11,1.16,1.11,1.16,134657.59
10,2021-12-10,1.11,1.18,1.16,1.11,137496.7
11,2021-12-09,1.15,1.31,1.22,1.16,348863.03
12,2021-12-08,1.13,1.4,1.14,1.22,779354.36
13,2021-12-07,1.13,1.22,1.16,1.14,695246.44
14,2021-12-06,1.13,1.26,1.26,1.16,885894.81
15,2021-12-05,1.25,1.37,1.25,1.26,369825.29
16,2021-12-04,1.23,1.38,1.38,1.25,595029.56
17,2021-12-03,1.35,1.45,1.42,1.38,143043.85
18,2021-12-02,1.41,1.48,1.46,1.42,131387.33
19,2021-12-01,1.44,1.51,1.5,1.47,245503.11
20,2021-11-30,1.49,1.58,1.57,1.5,111577.37
21,2021-11-29,1.52,1.6,1.6,1.58,221772.23
22,2021-11-28,1.46,1.74,1.49,1.6,455865.73
23,2021-11-27,1.48,1.54,1.53,1.49,128172.39
24,2021-11-26,1.5,1.79,1.69,1.53,348405.41
25,2021-11-25,1.51,1.71,1.68,1.68,408288.29
26,2021-11-24,1.28,1.74,1.4,1.68,1215032.9
27,2021-11-23,1.39,1.46,1.41,1.42,128903.8
28,2021-11-22,1.4,1.47,1.47,1.41,155496.65
29,2021-11-21,1.43,1.52,1.48,1.46,136495.82
30,2021-11-20,1.45,1.51,1.47,1.48,144047.04
31,2021-11-19,1.4,1.49,1.4,1.46,370130.73
32,2021-11-18,1.4,1.63,1.61,1.41,698874.66
33,2021-11-17,1.31,1.64,1.51,1.6,1422964.67
34,2021-11-16,1.4,1.6,1.6,1.51,1013885.26
35,2021-11-15,1.55,1.75,1.66,1.59,607392.69
36,2021-11-14,1.58,1.79,1.72,1.65,1091324.05
37,2021-11-13,1.69,1.81,1.8,1.72,390437.09
38,2021-11-12,1.73,1.92,1.87,1.81,365737.07
39,2021-11-11,1.75,1.94,1.86,1.87,887002.9
40,2021-11-10,1.86,1.98,1.97,1.87,393214.5
41,2021-11-09,1.9,1.99,1.91,1.98,287938.01
42,2021-11-08,1.9,2.07,2.02,1.91,385284.37
43,2021-11-07,1.93,2.35,2.07,2.02,2150670.58
44,2021-11-06,1.82,2.07,1.86,2.06,581184.01
45,2021-11-05,1.81,1.96,1.94,1.85,384485.86
46,2021-11-04,1.92,2.09,2.03,1.94,534013.48
47,2021-11-03,1.8,2.09,1.87,2.02,1240342.2
48,2021-11-02,1.8,1.97,1.85,1.86,609213.81
49,2021-11-01,1.63,2.0,1.65,1.85,1243967.26
50,2021-10-31,1.46,1.85,1.74,1.64,1577149.2
51,2021-10-30,1.69,1.86,1.76,1.73,447671.66
52,2021-10-29,1.71,1.8,1.77,1.75,328377.11
53,2021-10-28,1.68,1.8,1.68,1.77,269974.7
54,2021-10-27,1.68,1.96,1.8,1.68,650102.34
55,2021-10-26,1.78,1.95,1.94,1.79,561151.53
56,2021-10-25,1.75,1.99,1.75,1.93,377131.93
57,2021-10-24,1.71,2.01,1.88,1.75,837424.8
58,2021-10-23,1.81,1.91,1.87,1.88,333158.46
59,2021-10-22,1.85,1.95,1.91,1.87,394010.23
60,2021-10-21,1.9,2.08,2.08,1.92,653361.87
61,2021-10-20,1.94,2.09,1.96,2.08,723279.45
62,2021-10-19,1.84,2.23,1.85,1.95,1550502.43
63,2021-10-18,1.84,2.02,1.93,1.85,752865.46
64,2021-10-17,1.89,2.12,1.93,1.92,1418879.62
65,2021-10-16,1.86,2.11,1.9,1.93,1181354.6
66,2021-10-15,1.8,2.14,2.12,1.9,3121106.43
67,2021-10-14,1.7,2.61,1.83,2.12,16901944.76
68,2021-10-13,1.51,1.87,1.54,1.83,2161912.23
69,2021-10-12,1.51,1.71,1.62,1.53,2311459.2
70,2021-10-11,1.46,1.84,1.51,1.61,3862340.5
71,2021-10-10,1.5,1.75,1.71,1.51,1481373.75
72,2021-10-09,1.62,1.86,1.63,1.71,2210125.86
73,2021-10-08,1.43,1.74,1.69,1.63,2905871.58
74,2021-10-07,1.6,2.26,2.0,1.7,2379487.6
