,Date,Open,High,Low,Close,Volume
0,2021-11-06,6.4102,6.7094,6.465,6.6827,707787.31
1,2021-11-05,6.235,6.86,6.3475,6.465,5606395.75
2,2021-11-04,6.1027,6.49,6.322,6.3491,3065496.51
3,2021-11-03,6.0501,6.4978,6.266,6.3221,5080653.39
4,2021-11-02,6.1359,6.3642,6.2406,6.2657,3075007.07
5,2021-11-01,6.053,6.3834,6.3584,6.2407,2480724.38
6,2021-10-31,6.0168,6.5643,6.2984,6.3593,4567153.95
7,2021-10-30,6.1705,6.787,6.5639,6.3014,4083791.5
8,2021-10-29,6.075,6.8,6.1345,6.5674,4484072.01
9,2021-10-28,5.8066,6.2686,5.9036,6.1476,5122515.34
10,2021-10-27,5.6391,6.8935,6.823,5.9022,9123458.48
11,2021-10-26,6.6178,7.1792,6.6302,6.8193,5301565.28
12,2021-10-25,6.4199,6.72,6.4756,6.6302,2726120.19
13,2021-10-24,6.2783,6.7456,6.7368,6.4739,3005166.46
14,2021-10-23,6.634,6.8195,6.7059,6.7387,1758896.82
15,2021-10-22,6.5579,6.9012,6.6545,6.7044,2804729.38
16,2021-10-21,6.6,7.1464,7.0163,6.6556,4847978.12
17,2021-10-20,6.5701,7.1278,6.7478,7.0143,3891191.11
18,2021-10-19,6.5107,6.8954,6.5481,6.7428,4611270.53
19,2021-10-18,6.38,6.6725,6.6259,6.5483,3379157.91
20,2021-10-17,6.3697,6.98,6.9106,6.6281,3824413.59
21,2021-10-16,6.8331,7.1377,6.8427,6.9105,2998907.82
22,2021-10-15,6.74,7.1469,7.1389,6.8445,5012182.46
23,2021-10-14,7.0352,7.4122,7.3027,7.1385,3595289.27
24,2021-10-13,6.852,7.3221,7.116,7.3002,4959967.8
25,2021-10-12,6.6142,7.2877,6.8974,7.1195,7934791.06
26,2021-10-11,6.6425,7.3953,6.9704,6.8972,6241032.8
27,2021-10-10,6.9335,8.0996,7.6266,6.97,6450297.0
28,2021-10-09,7.2035,7.6364,7.3011,7.6223,3670843.36
29,2021-10-08,7.232,7.7972,7.613,7.2991,5005895.77
30,2021-10-07,7.426,8.0693,7.7505,7.6085,7881490.29
31,2021-10-06,7.1597,8.5258,7.9386,7.7481,12384439.11
32,2021-10-05,7.7069,8.5424,8.3323,7.9356,9420912.67
33,2021-10-04,8.18,9.1446,8.6976,8.3323,17983246.5
34,2021-10-03,7.3318,8.9291,7.3318,8.6981,20582380.91
35,2021-10-02,6.5249,7.77,6.6939,7.337,14964930.11
36,2021-10-01,6.0055,6.8512,6.0772,6.694,13408001.32
37,2021-09-30,5.5917,6.0989,5.6441,6.0742,7121476.92
38,2021-09-29,5.3454,6.0825,5.4658,5.6399,7435121.9
39,2021-09-28,5.4346,6.2697,6.034,5.4678,9743768.04
40,2021-09-27,6.0089,6.6786,6.5171,6.0377,7904500.59
41,2021-09-26,6.42,7.0872,6.83,6.5187,8729697.5
42,2021-09-25,6.7793,7.5032,6.9912,6.8304,14648775.35
43,2021-09-24,5.8001,7.4017,6.2173,6.9968,21645479.86
44,2021-09-23,5.5051,6.5903,5.5779,6.2139,13580539.34
45,2021-09-22,4.5062,5.6292,4.6855,5.5767,11312315.3
46,2021-09-21,4.482,5.535,5.3087,4.6853,14683516.5
47,2021-09-20,5.1,6.5562,6.521,5.3074,15629082.73
48,2021-09-19,6.103,6.9495,6.4026,6.5227,8169894.95
49,2021-09-18,5.897,6.73,6.1107,6.4028,8982530.3
50,2021-09-17,6.0404,6.9764,6.9405,6.1083,10106709.92
51,2021-09-16,6.4511,7.0418,6.8977,6.9481,7942349.5
52,2021-09-15,6.7321,7.6449,7.1197,6.9009,10386340.25
53,2021-09-14,6.8385,8.0227,7.1721,7.1199,15361832.93
54,2021-09-13,6.3,7.8929,7.0216,7.1721,27167260.96
55,2021-09-12,5.9058,7.24,6.1236,7.0255,15202256.94
56,2021-09-11,6.05,6.95,6.1825,6.1207,14528737.59
57,2021-09-10,5.3166,6.8777,5.5846,6.1817,33225583.39
58,2021-09-09,4.2624,5.7,4.3381,5.5798,14848647.21
59,2021-09-08,3.9,4.5185,4.4187,4.3353,6309750.57
60,2021-09-07,3.8927,5.7159,5.5974,4.42,10672695.0
61,2021-09-06,5.4039,5.77,5.5688,5.5971,5458660.4
62,2021-09-05,5.2688,5.5988,5.403,5.5688,4020174.46
63,2021-09-04,5.2425,5.6,5.3161,5.3997,3524865.46
64,2021-09-03,5.12,5.4874,5.2935,5.3138,5330130.54
65,2021-09-02,5.2053,5.4446,5.4226,5.296,3592010.18
66,2021-09-01,5.0,5.51,5.1632,5.4252,5766742.98
67,2021-08-31,5.0098,5.598,5.3925,5.1645,7571538.72
68,2021-08-30,5.2804,6.01,5.8962,5.3946,10124797.21
69,2021-08-29,5.4,6.1321,5.6372,5.8985,13045239.57
70,2021-08-28,5.0227,5.6973,5.2436,5.6372,7411860.44
71,2021-08-27,4.249,5.5253,4.4328,5.2435,12769522.02
72,2021-08-26,4.31,5.1173,5.0988,4.4371,11725470.76
73,2021-08-25,3.9584,5.44,3.9585,5.0988,17096962.7
74,2021-08-24,3.8948,4.4727,4.315,3.961,6004435.91
75,2021-08-23,3.7794,4.511,3.8008,4.315,8304510.49
76,2021-08-22,3.6718,3.8837,3.7008,3.8028,1982743.21
77,2021-08-21,3.6163,3.8343,3.7297,3.698,2422551.8
78,2021-08-20,3.5839,3.7341,3.6372,3.7297,2502430.24
79,2021-08-19,3.2857,3.6481,3.3558,3.6372,3113185.32
80,2021-08-18,3.237,3.4713,3.3993,3.3514,2144382.29
81,2021-08-17,3.3811,3.8037,3.6331,3.4007,2554435.04
82,2021-08-16,3.61,3.8946,3.7392,3.6332,2830318.52
83,2021-08-15,3.5524,3.7629,3.6988,3.7392,1888187.59
84,2021-08-14,3.4681,3.7197,3.595,3.6997,2729583.92
85,2021-08-13,3.3,3.597,3.3538,3.5933,2264331.77
86,2021-08-12,3.2168,3.61,3.4449,3.352,2805247.69
87,2021-08-11,3.26,3.5634,3.2705,3.4477,3012355.69
88,2021-08-10,3.183,3.3539,3.2877,3.2677,2455472.89
89,2021-08-09,3.1063,3.35,3.1884,3.2844,2706745.47
90,2021-08-08,3.1573,3.4908,3.4251,3.1847,1992449.38
91,2021-08-07,3.3042,3.535,3.3618,3.4275,2924042.51
92,2021-08-06,3.15,3.3644,3.2212,3.361,1830744.07
93,2021-08-05,3.0735,3.2733,3.1763,3.2212,2472576.28
94,2021-08-04,2.9949,3.1888,3.0566,3.1748,1216612.75
95,2021-08-03,2.9726,3.2064,3.1278,3.0551,2083227.66
96,2021-08-02,2.8897,3.31,2.952,3.1291,2820354.98
97,2021-08-01,2.9054,3.1809,3.0362,2.9505,2859035.56
98,2021-07-31,2.9206,3.1056,2.9706,3.0384,2298167.72
99,2021-07-30,2.7655,2.9727,2.8591,2.968,1755891.77
100,2021-07-29,2.7391,2.8665,2.8119,2.8528,1623847.28
101,2021-07-28,2.7617,2.9008,2.8614,2.8147,1566073.91
102,2021-07-27,2.7423,2.9311,2.8428,2.8595,2012656.99
103,2021-07-26,2.8225,3.1183,2.8935,2.8407,4268338.7
104,2021-07-25,2.7206,2.9088,2.8206,2.8938,2770407.34
105,2021-07-24,2.6502,2.8239,2.6899,2.8201,1955653.67
106,2021-07-23,2.4958,2.6936,2.5022,2.6903,1751223.39
107,2021-07-22,2.3361,2.5112,2.3993,2.5022,1367776.12
108,2021-07-21,2.1034,2.44,2.1516,2.3988,1546558.86
109,2021-07-20,2.102,2.3346,2.2902,2.155,2019121.93
110,2021-07-19,2.2634,2.45,2.4306,2.2881,1535243.31
111,2021-07-18,2.3846,2.4955,2.4075,2.4283,953623.08
112,2021-07-17,2.3714,2.4826,2.4099,2.4078,1448532.68
113,2021-07-16,2.4011,2.6423,2.5736,2.407,1962706.87
114,2021-07-15,2.5216,2.7514,2.7177,2.5768,1538558.58
115,2021-07-14,2.5392,2.82,2.8106,2.7178,2113993.4
116,2021-07-13,2.7662,2.9179,2.8065,2.8111,2465934.47
117,2021-07-12,2.7624,2.9523,2.8457,2.8068,1810980.61
118,2021-07-11,2.7348,2.89,2.7869,2.8447,1501668.08
119,2021-07-10,2.6963,2.8385,2.7495,2.7869,1062099.91
120,2021-07-09,2.5798,2.7999,2.6942,2.7523,1153466.08
121,2021-07-08,2.6195,2.8973,2.8714,2.694,2401607.29
122,2021-07-07,2.8202,2.9662,2.8679,2.8777,1593257.66
123,2021-07-06,2.8052,2.985,2.8335,2.8676,1489138.75
124,2021-07-05,2.7969,3.0407,3.0397,2.8319,1382842.46
125,2021-07-04,2.9124,3.11,3.0305,3.0407,1222455.3
126,2021-07-03,2.8768,3.03,2.9572,3.03,1025305.71
127,2021-07-02,2.75,2.9791,2.9434,2.9549,1500419.51
128,2021-07-01,2.8391,3.066,3.0463,2.9483,1634079.77
129,2021-06-30,2.7502,3.095,2.977,3.044,2823013.59
130,2021-06-29,2.6965,2.9907,2.7042,2.978,2172983.03
131,2021-06-28,2.5636,2.7378,2.6289,2.7041,1319528.39
132,2021-06-27,2.4529,2.6289,2.5421,2.6289,1188040.96
133,2021-06-26,2.3872,2.6217,2.522,2.5428,1441736.57
134,2021-06-25,2.4844,2.8799,2.8368,2.522,2339201.25
135,2021-06-24,2.5728,2.85,2.6876,2.83,1803495.12
136,2021-06-23,2.2798,2.788,2.3769,2.6877,2982805.64
137,2021-06-22,2.118,2.6591,2.4859,2.3736,6988530.48
138,2021-06-21,2.479,3.0983,3.0783,2.4845,3613557.77
139,2021-06-20,2.876,3.117,3.0274,3.0768,1507845.58
140,2021-06-19,3.0204,3.1777,3.0983,3.0295,1162442.75
141,2021-06-18,2.9973,3.3835,3.3732,3.0983,2393335.85
142,2021-06-17,3.1116,3.4358,3.1126,3.3732,3387383.93
143,2021-06-16,3.0891,3.3278,3.2714,3.1119,1772165.16
144,2021-06-15,3.2103,3.3934,3.354,3.2714,1562147.96
145,2021-06-14,3.1889,3.3551,3.3175,3.3515,1638645.23
146,2021-06-13,3.004,3.3262,3.1427,3.3153,1734857.05
