,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.88,4.26,4.13,4.1,2554243.83
1,2021-12-19,4.11,4.32,4.25,4.13,2040465.93
2,2021-12-18,4.08,4.34,4.14,4.24,2334556.57
3,2021-12-17,4.05,4.39,4.31,4.15,3320348.72
4,2021-12-16,4.3,4.7,4.48,4.31,3727687.77
5,2021-12-15,4.06,4.57,4.52,4.48,4961137.92
6,2021-12-14,4.03,4.62,4.04,4.52,7573817.41
7,2021-12-13,3.9132,4.53,4.51,4.05,3647759.5
8,2021-12-12,4.32,4.68,4.53,4.51,1955458.28
9,2021-12-11,4.25,4.63,4.34,4.54,3250114.71
10,2021-12-10,4.3083,5.0,4.88,4.33,5986979.93
11,2021-12-09,4.8275,6.1843,5.688,4.85,11618428.26
12,2021-12-08,5.1293,6.0314,5.6699,5.6894,15702804.7
13,2021-12-07,4.0648,5.6996,4.1557,5.6753,11970016.11
14,2021-12-06,3.7937,4.2215,4.0227,4.1563,3698493.19
15,2021-12-05,3.8739,4.377,4.2863,4.0319,3496835.21
16,2021-12-04,3.424,4.9689,4.8047,4.295,6793740.22
17,2021-12-03,4.68,5.3667,5.1025,4.806,4754659.97
18,2021-12-02,5.0174,5.3277,5.243,5.1024,3390122.1
19,2021-12-01,5.1213,5.515,5.4868,5.2437,3800834.37
20,2021-11-30,5.2412,5.9673,5.6173,5.4848,8559602.84
21,2021-11-29,4.6336,5.7972,4.6513,5.6156,7887654.92
22,2021-11-28,4.2727,4.66,4.6174,4.6505,2442538.67
23,2021-11-27,4.5722,4.7755,4.6602,4.6237,1523838.03
24,2021-11-26,4.49,5.2089,5.0725,4.6609,3457814.01
25,2021-11-25,4.8263,5.1878,4.8919,5.0694,2691193.95
26,2021-11-24,4.7843,5.1116,5.1089,4.8916,2272204.57
27,2021-11-23,4.9304,5.2115,5.0156,5.1099,1750701.47
28,2021-11-22,4.9066,5.2398,5.2277,5.0159,2213500.31
29,2021-11-21,5.2151,5.56,5.5267,5.227,1361691.04
30,2021-11-20,5.2711,5.6079,5.2757,5.5267,2577131.63
31,2021-11-19,4.6867,5.3254,4.7923,5.2769,2284866.59
32,2021-11-18,4.6473,5.2859,5.2448,4.794,3415765.05
33,2021-11-17,4.9751,5.33,5.2149,5.2407,2435071.37
34,2021-11-16,4.99,5.7225,5.7219,5.2149,4136672.51
35,2021-11-15,5.67,5.9647,5.8253,5.7218,1774691.34
36,2021-11-14,5.6945,6.0669,5.8889,5.8232,1291249.97
37,2021-11-13,5.6626,5.9905,5.7711,5.8883,1834984.05
38,2021-11-12,5.5245,5.9968,5.863,5.7691,3388579.3
39,2021-11-11,5.7097,6.0564,5.8047,5.8642,3468087.13
40,2021-11-10,5.3191,6.4754,6.299,5.8025,5930604.23
41,2021-11-09,6.246,6.6259,6.5024,6.2965,4416365.8
42,2021-11-08,6.2837,6.566,6.3759,6.5016,3946148.98
43,2021-11-07,6.3,6.4687,6.4467,6.3759,1665687.37
44,2021-11-06,6.24,6.8265,6.465,6.4466,2371887.24
45,2021-11-05,6.235,6.86,6.3475,6.465,5606395.75
46,2021-11-04,6.1027,6.49,6.322,6.3491,3065496.51
47,2021-11-03,6.0501,6.4978,6.266,6.3221,5080653.39
48,2021-11-02,6.1359,6.3642,6.2406,6.2657,3075007.07
49,2021-11-01,6.053,6.3834,6.3584,6.2407,2480724.38
50,2021-10-31,6.0168,6.5643,6.2984,6.3593,4567153.95
51,2021-10-30,6.1705,6.787,6.5639,6.3014,4083791.5
52,2021-10-29,6.075,6.8,6.1345,6.5674,4484072.01
53,2021-10-28,5.8066,6.2686,5.9036,6.1476,5122515.34
54,2021-10-27,5.6391,6.8935,6.823,5.9022,9123458.48
55,2021-10-26,6.6178,7.1792,6.6302,6.8193,5301565.28
56,2021-10-25,6.4199,6.72,6.4756,6.6302,2726120.19
57,2021-10-24,6.2783,6.7456,6.7368,6.4739,3005166.46
58,2021-10-23,6.634,6.8195,6.7059,6.7387,1758896.82
59,2021-10-22,6.5579,6.9012,6.6545,6.7044,2804729.38
60,2021-10-21,6.6,7.1464,7.0163,6.6556,4847978.12
61,2021-10-20,6.5701,7.1278,6.7478,7.0143,3891191.11
62,2021-10-19,6.5107,6.8954,6.5481,6.7428,4611270.53
63,2021-10-18,6.38,6.6725,6.6259,6.5483,3379157.91
64,2021-10-17,6.3697,6.98,6.9106,6.6281,3824413.59
65,2021-10-16,6.8331,7.1377,6.8427,6.9105,2998907.82
66,2021-10-15,6.74,7.1469,7.1389,6.8445,5012182.46
